No.,Equipment Name,Serial No,SITE,Rated Power (MVA),HV Rate (kV),LV Rate (kV),Rated Voltage (kV),Service Type,Service Age (Year),Condition Health Index,Health Index Status,Estimated DP (From Furan),Estimated Remaining Life time (Year),Visual Inspection,Active Part,Insulation Resistance & PI,Insulation Power Factor,Exciting Current,Ratio&Polarity,Winding Resistance,1∅ Short Circuit Impedance,3∅ Short Circuit Impedance,Core to Ground,Bushing,Surge Arrester,Dynamic Resistance Measurement (OLTC),Frequency Response Analysis (FRA),%Moisture in paper (FDS),Main Tank Oil,DGA,Water Content,Dielectric Breakdown,PF at 25 °C,PF at 100 °C,Conductivity,Interfratial Tension (IFT),Acidity,Color,Inhibitor,Corrosive Sulfur,Passivator,Furan,Sludge,OLTC Oil,DGA (OLTC),Dielectric Breakdown (OLTC),Water Content (OLTC),Date To Assess,FAT,2011,2012,2013,Last PM,Next PM,Recommendation
15,GT2C Bleeding,383204886,GEN,4.5,11,6.9,11/6.9,Auxiliary,31,92,Monitor,1774,,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,N/A,N/A,Q,A,A,A,A,A,U,A,A,A,N/A,Q,N/A,A,A,N/A,N/A,N/A,N/A,04/01/2026,,,,,2021,2024,"3Y PM program overdue, Plan for oil regeneration: Concern oil conductivity is unacceptable limit, Corrosive sulfur is suspect corrosive (3b)."
16,ETR1,6611059,GEN,315,22,0.4,22/0.4,Auxiliary,3,92,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
17,ETR2,6611060,GEN,315,22,0.4,22/0.4,Auxiliary,3,100,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
18,ETR3,5310991,GEN,315,22,0.4,22/0.4,Auxiliary,16,100,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
19,EDTRF-TCC1 (TR7),3905095,GEN,4,22,6.6,22/6.6,Auxiliary,30,88,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
20,EDTRF-TCC2 (TR6),56118448EE,GEN,2,22,0.4,22/0.4,Auxiliary,13,100,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
21,EDTRF-TCC3 (TR5),50310092,GEN,1.6,22,0.4,22/0.4,Auxiliary,19,100,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
22,41BFT30 (Starting TR),E541351_1,GEN,1.25,11,0.69,11/0.69,Auxiliary,5,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
23,42BFT30 (Starting TR),E541351_2,GEN,1.25,11,0.69,11/0.69,Auxiliary,5,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
24,61BFT30 (Starting TR),E541361_1,GEN,1.25,11,0.69,11/0.69,Auxiliary,5,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
