SERIAL_NUMBER,DEVICE_CODE,LOCAL_EQUIPMENT_CODE,SITE,COMPANY_CODE,LOCATION_CODE,MANUFACTURING_DATE,BRAND,MANUFACTURER_COMPANY,MADE_IN,MODEL_TYPE,POWER_RATING,POWER_RATING_DETAIL,HV_RATED,LV_RATED,LV2_RATED,HV_RATED_A,LV_RATED_A,LV2_RATED_A,TYPE_OF_COOLING,TAP_CHANGER_TYPE,PHASES,VECTOR_GROUP,IMPEDANCE_MIDDLE_TAP,IMPEDANCE_DETAIL,STANDARD,TEMP_RISE_MAX,WINDING_INSULATION,TYPE_OF_INSULATION,TOTAL_MASS,CORE_AND_COIL_MASS,TANK_AND_FITTING_MASS,OIL_MASS,SHIPPING_MASS,OIL_QUANTITY,DIMENSION,SPECIFICATION,APPLICATION,BUSHING_LV_TYPE,BUSHING_HV_TYPE,REMARK,DATA,NO_WINDING,LOCATION_GPS,FILEUPLOAD,Service_Type,SPARE2,SPARE3,GI,API,IOI,OLTCI,BI,ARI,DGA,HI,Result_Date
5103170,36120-TR-303,36120-TR-303,CUP-3,-,-,2008-11-14 00:00:00,EKARAT,EKARAT,THAILAND,12FL,2000,-,6.6,0.4,,174.95,2886.75,,ONAN,NLTC,3,Dyn5,6.54,-,IEC 60076,55,-,Mineral Oil,7460,2800,3270,1390,7460,1570,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.693552, 101.122519",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-04-04
5103171,36120-TR-304,36120-TR-304,CUP-3,-,-,2008-11-14 00:00:00,EKARAT,EKARAT,THAILAND,-,2000,-,6.6,0.4,,174.95,2886.75,,ONAN,NLTC,3,Dyn5,6.52,-,IEC 60076,55,-,Mineral Oil,7460,2800,3270,1390,7460,1570,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.693557, 101.122465",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-04-04
5103176,36120-TR-202,36120-TR-202,CUP-3,-,-,2008-11-14 00:00:00,EKARAT,EKARAT,THAILAND,104TL,10000,-,22,6.9,,262.43,836.74,,ONAN,NLTC,3,Dyn5,8.50,,IEC 60076,55,-,Mineral Oil,26330,10500,8330,5910,19330,6650,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.693565, 101.122711",,Auxiliary Transformer,,100,5,18,15,,,,,95,2026-04-02
5110023,36120-TR-103 (STG31),36120-TR-103 (STG31),CUP-3,-,-,2008-11-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 3W 22 100/118,21000,-,118,11,,102.7,1102,,ONAN,NLTC,3,YNd11,10.14,-,IEC 60076,55,-,Mineral Oil,48000,23000,6300,14400,42000,-,-,-,EMM,Oil-To-Air,Oil-To-Air,EMM,OIL TYPE,2,"12.693329, 101.122903",,GSUT,,100,5,20,15,0,20,20,20,100,2026-02-26
PP0158B01,34101-TR-001,34101-TR-001,CUP-3,-,-,2008-01-01 00:00:00,DAIHEN,DAIHEN,THAILAND,-,40000,,115,22,,201,1050,,ONAN,OLTC1,3,Dyn1,12.15,12.38/12.15/11.90(POS 1/6/11),IEC 60076,55,,Mineral Oil,70500,35500,,16470,49500,18300,-,-,EMM,Oil-To-Air,Oil-To-Air,EMM,OIL TYPE,2,"12.693330, 101.123793",,Distribution Transformer,,100,5,20,15,20,20,20,20,100,2026-08-31
PP0181B01,34101-TR-002,34101-TR-002,CUP-3,-,-,2008-03-17 00:00:00,DAIHEN,DAIHEN,THAILAND,-,40000,-,115,22,,201,1050,,ONAN,OLTC1,3,Dyn1,12.15,12.38/12.15/11.90(POS 1/6/11),IEC 60076,55,-,Mineral Oil,70500,35500,-,16470,49500,18300,-,-,EMM,Oil-To-Air,Oil-To-Air,EMM,OIL TYPE,2,"12.693425, 101.123789",,Distribution Transformer,,100,5,20,15,20,20,20,20,100,2026-02-26
6110201,41BAT01 (GTG41),41BAT01 (GTG41),CUP-4,-,-,2018-01-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 4W 103 024/115,91000,70000/91000,115,11,,456.9,4776,,ONAF,OLTC1,3,YNd11,13.94,13.94 % at 91 MVA,IEC 60076,55,-,Mineral Oil,110000,-,14300,25100,70300,-,-,-,EMM,Oil-To-Air,Oil-To-Air,EMM,OIL TYPE,2,"12.705047, 101.100984",,GSUT,,100,5,20,15,20,20,20,20,100,2026-04-18
6110202,41BAT02,41BAT02,CUP-4,-,-,2019-01-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 4W 57 453/115,52000,40000/52000 kVA,115,22,,261.1,1365,,ONAF,OLTC1,3,Dyn1,13.97,13.97% at 52 MVA,IEC 60076,55,-,Mineral Oil,77500,-,10040,19700,47400,-,-,-,EMM,Oil-To-Air,Oil-To-Air,EMM,OIL TYPE,2,"12.704894848089713, 101.10096218589663",,Distribution Transformer,,100,5,20,15,0,20,20,20,100,2026-04-18
6110203,41BBT20GT001,41BBT20GT001,CUP-4,-,-,2019-01-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 3W 10000/11,10000,-,11,6.9,,524.9,836.7,,ONAN,OLTC1,3,Dyn5,9.46,-,IEC 60076,55,-,Mineral Oil,24800,-,7050,5850,24100,-,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.705051, 101.100174",,Unit Auxiliary Transformer,,100,5,20,15,0,0,0,0,67,2026-04-18
6110204,41BFT20GT001,41BFT20GT001,CUP-4,-,-,2019-01-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,LH11,2750,-,6.6,0.4,,240.8,3989,,ONAN,NLTC,3,Dyn5,8.79,-,IEC 60076,55,-,Mineral Oil,8700,-,-,-,-,1800,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.70494674590581, 101.10015470187307",,Auxiliary Transformer,,100,5,18,15,,,,,95,2026-04-18
6110245,41BFT80GT001,41BFT80GT001,CUP-4,-,-,2019-01-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,LH16,1000,-,6.6,0.4,,87.5,1443,,ONAN,NLTC,3,Dyn5,5.15,-,IEC 60076,55,-,Mineral Oil,4200,2150,-,-,-,735,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.706061, 101.102696",,Auxiliary Transformer,,11.11,5,20,12,,,,,93,2025-04-10
170709/1,35-61-61GBK30GT001,61GBK30 (REC CHLORINATION #1),GHECO-ONE,,,2010-01-01 00:00:00,MF Trasformatori,MF Trasformatori,Italy,,1170,,10.5,0.156,,64.3,4330,,AN,NLTC,3,Dyn11,6.5,,,,,Cast Resin,,,,,,,,,Plant Maintenance,Others,Others,,DRY TYPE,2,"12.673748, 101.136918",,Auxiliary Transformer,,,,,,,,,,0,
170709/2,35-61-61GBK40GT001,61GBK40 (REC CHLORINATION#2),GHECO-ONE,,,2010-01-01 00:00:00,MF Trasformatori,MF Trasformatori,Italy,,1170,,10.5,0.156,,64.3,4330,,AN,NLTC,3,Dyn11,6.5,,,,,Cast Resin,,,,,,,,,Plant Maintenance,Others,Others,,DRY TYPE,2,"12.673685, 101.136911",,Auxiliary Transformer,,,,,,,,,,0,
3011080055,35-61-61BBT01,GH1 UAT01,GHECO-ONE,-,-,2010-01-01 00:00:00,PAUWELS,PAUWELS TRAFO,Indonesia,-,60000,42/60MVA,23,11,,1506.1,3149.2,,ONAN/ONAF,NLTC,3,Dyn1,15.593,-,IEC 60076,60/65,,Mineral Oil,61000,-,-,9460,-,-,-,-,Plant Maintenance,OIL-TO-AIR,OIL-TO-AIR,-,OIL TYPE,2,"12.674746, 101.136123",,Unit Auxiliary Transformer,,100,5,20,15,0,0,0,0,100,2023-03-09
3011080056,35-61-61BBT02,GH1 UAT02,GHECO-ONE,-,-,2010-01-01 00:00:00,PAUWELS,PAUWELS TRAFO,Indonesia,-,60000,42/60MVA,23,11,,1506.1,3149.2,,ONAN/ONAF,NLTC,3,Dyn1,15.723,-,IEC 60076,60/65,-,Mineral Oil,61000,-,-,9460,-,-,-,-,Plant Maintenance,OIL-TO-AIR,OIL-TO-AIR,-,OIL TYPE,2,"12.674746, 101.136058",,Unit Auxiliary Transformer,,100,5,17,15,0,0,0,0,93,2020-09-22
5513053,36-61-61BMT03,GH1 Back Up Transformer,GHECO-ONE,,,2012-12-25 00:00:00,TIRATHAI,"TIRA THAI CO., LTD.",THAILAND,PT 3W 10 500 / 22,10000,,22,11,,262.4,524.9,,ONAF,OLTC1,3,Dyn1,7.79,,IEC 60076,55,,Mineral Oil,23300,,5300,5560,19500,,,,Plant Maintenance,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.674795413704217, 101.13602867413056",,Unit Auxiliary Transformer,,83.33,5,20,15,20,0,20,20,100,2025-06-12
JD85034202,35-61-61BBT03,Excitation TR,GHECO-ONE,,,2010-05-01 00:00:00,HYOSUNG,HYOSUNG,KOREA,-,7000,,23,0.92,,175.7,4392.8,,ONAN,NLTC,3,Yd11,6.44,6.44 % at 75 C,,50/55,,Mineral Oil,31500,,,,,5900,,,Plant Maintenance,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.674753, 101.135992",,Auxiliary Transformer,,88.89,5,13,15,,,,,83,2026-01-22
