SN&Ph.,Serial_No,Parent_Serial_No,Status,Phase,Manufacturer,Manufacturer_Year,Model,Type,kV,mA,Watts,Capacitance,PF,PF_20,Corr_Fact,G_Ohm,layer,mA2,Watts2,File_Upload
PTE 1689/02X1,W605-10,PTE 1689/02,Energized,X1,EMP,1998,-,-,108,0.12,79,-,-,-,-,-,1,-,-,-
PTE 1689/02X2,W605-11,PTE 1689/02,Energized,X2,EMP,1998,-,-,108,0.11,90,-,-,-,-,-,1,-,-,-
PTE 1689/02X3,W605-12,PTE 1689/02,Energized,X3,EMP,1998,-,-,108,0.12,90,-,-,-,-,-,1,-,-,-
PTE 1689/01X1,W605-13,PTE 1689/01,Energized,X1,EMP,1998,-,MAA3-108,108,0.17,176,-,19.781,19.781,1,-,1,-,-,-
PTE 1689/01X2,W605-14,PTE 1689/01,Energied,X2,EMP,1998,-,MAA3-108,108,0.16,231,-,18.73,18.73,1,-,1,-,-,-
PTE 1689/01X3,W605-17,PTE 1689/01,Energized,X3,EMP,1998,-,MAA3-108,108,0.12,123,-,18.532,18.532,1,-,1,-,-,-
PTE 1689/04X2,W605/8,PTE 1689/04,Energized,X2,EMP,1998,-,MAA3-108,108,0.102,46.8,-,-,-,40,-,1,-,-,-
PTE 1689/04X3,W605/9,PTE 1689/04,Energized,X3,EMP,1998,-,MAA3-108,108,0.104,54,-,-,-,40,-,1,-,-,-
PTE 1689/01H1,W606-7,PTE 1689/01,Energized,H1,EMP,1998,-,MCA3-116/MCA2-76,116/76,0.05,162.73,-,43.6,43.6,1,1,2,0.27,489,-
PTE 1689/01H2,W606-8,PTE 1689/01,Energized,H2,EMP,1998,-,MCA3-116/MAC2-76,116/76,0.06,215,-,39.83,39.83,1,-,2,0.21,386,-
PTE 1689/01H3,W606-9,PTE 1689/01,Energized,H3,EMP,1998,-,MCA3-116/MCA2-76,116/76,0.08,254.76,-,34,34,1,-,2,0.21,395,-
PTE 1689/04H1,W606/1,PTE 1689/04,Energized,H1,EMP,1998,-,MCA3.2-192,192,0.08,29.13,-,-,-,-,-,2,0.09,51.05,-
PTE 1689/04H2,W606/2,PTE 1689/04,Energized,H2,EMP,1998,-,MCA3.2-192,192,0.09,30.68,-,-,-,-,-,2,0.09,58.84,-
PTE 1689/04H3,W606/6,PTE 1689/04,Energized,H3,EMP,1998,-,MCA3.2-192,192,0.09,32.31,-,-,-,-,-,2,0.15,63,-
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
