SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
5110021,2025-11-03 00:00:00,10000,-,-,-,2,73.75,-,-,-,-,-,58.2,-,-,-,-,75.5,-,-,-,-,3.15,-,-,-,-,8.79,-,-,-,-,4.14,-,-,-,-,-,-,-,-,-,71.5,53.5,72.5,-,-,-,,Mr.Jirask S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,,,,,8.79
56016,2025-07-20 00:00:00,10,12.569,15.063,18.21,,,,,5.399,6.495,7.787,,,12.543,14.934,18.159,,,0.07,0.02,0.00,,,0.00,0.08,0.09,,,0.02,0.03,0.05,,,,,,,,,,,,,,,,,,,Pimchart P.,Hitachi Energy,GPSC,TESTRANO 600,DA193X,,32,52,52,64,,0.09
5110023,2025-07-09 00:00:00,10000,-,28.979,-,-,-,-,-,-,22.258,-,-,-,-,29.265,-,-,-,-,2.23,-,-,-,-,2.85,-,-,-,-,2.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,,,,,2.85
PTE 1689/04,2025-07-07 00:00:00,10000,17.72,20.875,298.4,-,-,-,-,12.07,14.055,19.059,-,-,18.8,22.06,29.817,-,-,21.31,23.39,706.70,-,-,24.95,29.69,33.32,-,-,33.55,31.99,29.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,,,,,706.7
5513053,2025-06-11 00:00:00,10000,29.91,32.43,35.36,,,,,76.40,83.10,90.86,,,74.32,80.30,87.13,,,0.01,0.02,0.00,,,0.01,0.00,0.00,,,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,Mr. Polasart P.,,HITACHI,,TESTRANO 600,CH158W,,,,,,,0.02
PTE 1689/02,2025-05-22 00:00:00,10000,18.34,21.57,29.28,-,-,-,-,12.06,14.00,18.98,-,-,18.29,21.35,28.75,-,-,2.98,2.91,2.92,-,-,0.33,0.14,0.42,-,-,3.99,4.52,4.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,,,,,4.83
EDP008001,2025-05-09 00:00:00,10000,45.928,59.281,79.439,,-,,-,29.61,40.042,54.61,-,-,47.428,60.877,81.162,-,-,2.06,0.48,0.56,-,-,2.10,0.11,1.13,-,-,0.91,1.46,0.20,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TRESTRANO 600,DA193X,,,,,,,2.1
4803321,2025-04-30 00:00:00,3000,-,-,-,4,68.87,,,-,-,-,31.029,,-,-,-,69.33,,-,-,-,0.10,,-,-,-,0.09,,-,-,-,0.04,,,,,,,,,,68.8,31,69.3,,,,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,,,,,0.1
4810106,2025-03-20 00:00:00,10000,-,58.067,-,-,-,-,-,-,40.89,-,-,-,-,57.63,-,-,-,-,3.09,-,-,-,-,1.59,-,-,-,-,2.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,,,,,3.09
510049,2025-02-05 00:00:00,10,16.217,18.169,24.372,,,,,9.312,10.030,14.342,,,16.572,18.922,25.504,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,Mr. Pimchat P.,,GPSC,,TESTRANO 600,DA193X,2025-10-09,31,31,31,60,,0
