Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
4010922,SITE3,LH.18,500,22,0.400,2019-03-13,,,,22000,400,95.2628,,,,,,,,,,,,,,,,2.283,1.696,1.788,,,,,,2646.9,1363.4,1282.5,6310.8,1363.1,4947.7,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.91,,,,,40,75,,,,2.2753,2.2843,2.2730,,,,1.2076,1.2290,1.2290,,,,,,,Factory Test,
4011560,SITE3,LH.18,1000,22,0.4,2019-08-08,23100,400,100.023,22000,400,95.263,20900,400,90.497,-,-,-,-,-,-,-,-,-,-,-,-,11.7,5.3,12.4,-,-,-,,,2520,1722,796,6705,1723,4982,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.97,-,-,-,-,30,75,NaN,NaN,NaN,5.7688,5.7453,5.7571,NaN,NaN,NaN,0.8366,0.8402,0.8390,NaN,NaN,NaN,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
4104077,SITE3,15FL,1600,6.9,0.416,,7245,416,17.1416,6900,416,16.468,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.32,,,,,,75,,,,,,,,,,,,,,,,,,,,
4104453,SITE3,,1600,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
4104758,SITE3,-,6000,22,7.2,,23100,7200,5.557,22000,7200,5.292,20900,7200,5.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.27,,,,,,75,,,,,,,,,,,,,,,,,,,,
4104759,SITE3,130TL,6000,22,7.2,,23100,7200,5.557,22000,7200,5.292,20900,7200,5.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.27,,,,,,75,,,,,,,,,,,,,,,,,,,,
4202021,SITE3,,500,6.9,0.4,2019-08-20,7245,400,31.372,6900,400,29.878,6555,400,28.384,,,,,,,,,,80.936,33.958,73.735,,,,,,,,,228.23,1575.8,706.5,4357.6,1576.4,2781,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",4.45,4.37,,,,,35,75,1.1599,1.1565,1.1725,,,,,,,1.5079,1.4918,1.5090,,,,,,,,
424758_01,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
424758_02,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,,,,,
424758_03,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
424758_04,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
424759_01,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
424759_02,SITE4,TTG 2510-8,2500,6.6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
4612314,SITE3,,2000,11.5,7.2,,12650,7200,3.043,11500,7200,2.766,10350,7200,2.490,,,,,,,,,,5.318,9.423,5.861,6.234,11.185,6.945,7.445,13.81,8.326,,,4930.2,3654.9,1275.3,8126,3655,4471,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",6.66,6.36,6.21,,,,32,75,718.5278,721.3150,717.2503,640.0205,643.3884,644.4336,718.6439,721.3150,718.5278,94.9056,95.1030,94.7895,,,,Lastest Test,Factory Test,Lastest Test,Factory Test,Lastest Test
4700830,SITE5,-,2500,22,0.4,2018-01-31,,,,22000,400,95.262,,,,,,,,,,,,,,,,,,,,,,,,3310,2006,1304,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.98,,,,,35,75,,,,2009.7403,2016.6308,2005.1466,,,,0.3307,0.3216,0.3216,,,,Lastest Test,Lastest Test,,,
4700831,SITE5,-,2500,22,0.4,2018-01-29,,,,22000,400,95.262,,,,,,,,,,,,,,,,,,,,,,,,3427,2102,1325,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.96,,,,,34,75,,,,2022.9888,2014.9199,2012.6145,,,,0.3320,0.3205,0.3181,,,,Lastest Test,Lastest Test,Lastest Test,Factory Test,Lastest Test
4710346,SITE3,PT3W52500/123,50000,123,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
4710348,SITE2,PT 3W 52 500/123,385/50 MVA,123 kV,11 kV,2005-04-02,129105,11000,6.779,123000,11000,6.456,116850,11000,6.133,,,,,,,,,,3.987,3.08,4.18,46.781,33.798,46.951,4.8274,3.5667,4.3181,,,10166,7456,2710,19309,7455,12514,,,,,,,11.14,10.85,10.61,,,,35.3,75,551.7772,550.6301,550.6301,523.0986,521.9514,523.0986,495.5671,494.4199,495.5671,7.183,7.177,7.161,,,,,,,,
4710349,SITE2,PT 3W 52 500/123,38.5/50 MVA,123 kV,11 kV,2021-07-07,129150,11000,6.779,123000,11000,6.456,116850,11000,6.133,,,,,,,,,,,,,50.275,35.239,50.644,,,,,,10532,7768,2764,20977,7767,13210,,,,,,,11.05,10.80,10.56,,,,33.1,75,548.2730,547.8023,547.5392,520.0248,519.4031,519.3331,491.7187,491.2364,491.0155,7.1234,7.1199,7.0921,,,,,,,,
4711343,SITE3,,2000,11.5,7.2,2016-02-04,12650,7200,3.0431,11500,7200,2.7665,10350,7200,2.4898,,,,,,,,,,38.034,16.020,34.173,45.502,19.856,40.728,57.861,25.166,49.931,,,5003.6,3663.4,1340.2,8065.5,3662.7,4402.8,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",6.83,6.54,6.4,,,,34,75,707.7579,708.5648,709.4870,630.9881,630.8728,631.4492,752.1369,742.8000,741.5320,96.5386,96.5041,96.0545,,,,,,,,
4803167,CUP-1,11FL,2660,6.9,0.4,2023-10-08,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,96,71,95,,,,,,3568,2278,1290,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.3,,,,,32,75,,,,214.8499,213.6886,214.8499,,,,0.3484,0.3484,0.3484,,,,,,,,
4803168,CUP-1,11FL,2660,6.9,0.4,2022-05-28,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,258,109,262,,,,,,3437,2191,1246,8034,2191,5842,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.34,,,,,40,75,,,,208.5883,209.7158,208.5883,,,,0.3495,0.3383,0.3495,,,,,,,,
4803321,CUP-1,160TL,6000,11,6.9,2022-05-28,11550,6900,2.89,11000,6900,2.76,10450,6900,2.62,,,,,,,,,,,,,,,,,,,,,5467,3645,1822,9039,3644,5394,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.35,,,,,32,75,,,,,,,,,,32.9824,32.8662,32.9824,,,,,,,,
4810106,CUSTOMER-BWN,PT 3W 58500/115,55000,115,10.5,2019-05-17,120750,10500,6.639,115000,10500,6.323,109250,10500,6.007,-,-,-,-,-,-,-,-,-,-,-,-,56.325,40.252,56.188,-,-,-,,,10999.9,8070.5,2929.28,19637,8070.3,11564.35,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",11.04,10.78,10.52,-,-,-,44,75,377.3344,379.1569,381.0239,357.4642,358.2199,360.1091,335.7492,337.3939,339.2831,5.2232,5.2443,5.2321,NaN,NaN,NaN,,,,,
4811735,CUP-1,PT 3W 58500/115,55000,115,10.5,2023-10-07,120750,10500,6.64,115000,10500,6.32,109250,10500,6.00,,,,,,,,,,-,-,-,83.19,60.18,86.31,-,-,-,,,10732,7879,2853,19463,7879,11583,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",11.1,10.83,10.57,,,,32,75,NaN,NaN,NaN,368.7289,370.7032,370.0064,NaN,NaN,NaN,5.3074,5.2958,5.3074,NaN,NaN,NaN,,,,,
48310781,SITE3,-,500,22,0.400,2018-11-27,23100,400,57.75,22000,400,55,20900,400,52.25,,,,,,,,,,,,,,,,,,,,,1812.6,1241.1,571.5,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,4.12,,,,,33,75,NaN,,,14.7484,14.7218,14.7299,,,,1.8663,1.8616,1.8929,,,,Lastest Test,Factory Test,,,
4902687,CUP-1,160TL,6000,11,6.9,2023-10-09,11550,6900,2.89,11000,6900,2.76,10450,6900,2.62,,,,,,,,,,,,,,,,,,,,,5843,4010,1833,9017,4010,5005,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.11,,,,,30,75,,,,,,,,,,34.0509,33.8168,33.8168,,,,,,,,
4912019,CUP-2,,55000,117,11,2007-12-08,122850,11000,6.448,117000,11000,6.141,111150,11000,5.834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,9395.27,6890.86,2795,"19,032.64",6706.64,12326,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,14.62,-,-,-,-,31.3,75,745.2220,742.8932,744.0576,700.9744,702.1388,703.3032,0.6567,0.6591,0.6591,9.4003,9.4375,9.4387,NaN,NaN,NaN,,,,,
4912020,GENERAL,,44000,117,11,2007-08-17,122850,11000,6.448,117000,11000,6.141,111150,11000,5.834,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,9468.77,6701.14,2760.36,18285,6707.41,11614,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,14.62,-,-,-,-,31,75,1479.3051,1479.3051,1480.4708,1395.3729,1395.3729,1396.5386,1310.2750,1307.9435,1310.2750,9.3724,9.3608,9.3724,NaN,NaN,NaN,,,,,
4912021,GENERAL,-,41000,117,11,2007-08-17,122850,11000,6.448,117000,11000,6.141,111150,11000,5.834,-,-,-,-,-,-,-,-,-,-,-,-,3.15,2.34,3.08,-,-,-,,,9533.46,6880.76,2653.83,18544.8,6879.78,11667.89,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",14.09,13.79,13.47,,,,31.8,75,1580.6234,1582.9478,1581.7856,1491.1322,1492.2944,1491.1322,1399.3166,1399.3166,1399.3166,10.0416,9.9695,10.0404,,,,,,,,
4912022,GENERAL,-,8800,11,7,2023-07-13,12320,7000,3.04,11000,7000,2.72,9680,7000,2.39,,,,,,,,,,13.9,10.3,14.2,16.9,12.5,17.2,21.0,15.6,21.4,,,9980,7933,2047,14417,7935,6481,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.97,7.39,6.97,-,-,-,38,75,101.1412,101.3116,101.6523,87.5686,87.6822,87.9094,75.0750,75.1886,75.5294,14.0837,14.1972,14.1972,,,,,,,,
4912023,GENERAL,-,8800,11,7,2017-06-13,12320,7000,3.04,11000,7000,2.72,9680,7000,2.39,,,,,,,,,,14.53,10.85,14.68,17.58,13.07,17.76,21.94,16.12,22.14,,,9926,7864,2062,14627,7864,6763,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.96,7.38,6.97,,,,26,75,106.8221,106.9884,107.5230,92.6480,92.6361,93.0639,79.2225,79.2819,79.9235,14.9701,14.9701,15.0889,,,,,,,,
5000574,GENERAL,10FL,2000,6.9,0.4,2023-08-05,,,,6900,400,29.87,,,,,,,,,,,,,,,,84,38,87,,,,,,3848,2637,1210,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.02,-,-,-,-,34,75,NaN,NaN,NaN,187.8901,187.8901,187.8901,NaN,NaN,NaN,0.3343,0.3228,0.3228,,,,,,,,
5000575,GENERAL,10FL,2000,6.9,0.4,2023-08-05,,,,6900,400,29.87,,,,,,,,,,,,,,,,83,38,87,,,,,,4144,2899,1244,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,4.95,,,,,34,75,,,,185.5847,185.5847,185.5847,,,,0.3274,0.3285,0.3228,,,,,,,,
5000576,GENERAL,10FL,2000,6.9,0.4,,,,,6900,400,29.97,,,,,,,,,,,,,,,,84,38,87,,,,,,3855,2662,1192,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.02,,,,,34,75,,,,189.0428,189.0428,189.0428,,,,0.3343,0.3308,0.3297,,,,,,,,
5000577,GENERAL,10FL,2000,6.9,0.4,2023-07-23,,,,6900,400,29.87,,,,,,,,,,,,,,,,92,40,88,,,,,,3972,2718,1253,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5,-,,,,28,75,,,,186.2895,186.2895,186.2895,,,,0.3301,0.3183,0.3183,,,,,,,,
5001700,CUSTOMER-BWN,17FL,1600,6.9,0.4,2022-01-31,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,38,16,38,,,,,,3553,2420,1132,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.47,,,,,34,75,,,,476.0652,480.6760,478.3706,,,,0.5671,0.5637,0.5614,,,,,,,,
5001766,CUP-1,17FL,1600,6.9,0.4,2021-07-16,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,48,21,49,,,,,,3442,2341,1100,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.49,,,,,34,75,,,,473.7598,476.0652,470.3017,,,,0.5717,0.5544,0.5544,,,,,,,,
5001769,CUP-1,160TL,6000,11,6.9,2021-07-15,11550,6900,2.89,11000,6900,2.76,10450,6900,2.62,,,,,,,,,,,,,165,88,178,,,,,,5326,3523,1802,9171,3523,5648,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.42,,,,,45,75,,,,228.1109,228.1109,228.1109,,,,32.7771,32.5556,32.4449,,,,,,,,
5011857,SITE3,PT 5W 161200/118,124/155 MVA,118 kV,15.75 kV,1999-11-17,123900,15750,4.542,118000,15750,4.328,112100,15750,4.109,,,,,,,,,,,,,22.682,16.969,23.121,,,,,,107488.5,25843.9,81718.6,42228.1,25773,16928.33,,,,,,,12.51,12.36,12.25,,,,41,75,147.6805,147.4288,148.2102,141.6083,141.9465,142.3262,133.2269,133.3035,133.0797,3.8050,3.7792,3.7870,,,,,,,,
5011858,SITE3,-,20000,15.7,7.2,2015-01-29,17.325,7.2,4.1677,15.75,7.2,3.7889,14.175,7.2,3.41,-,-,-,-,-,-,-,-,-,347.675,126.483,344.037,405.042,147.437,400.815,477.833,173.77,472.974,,,13399.5,11066.9,2332.6,19568.9,11070.5,8498.4,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.31,9.82,9.59,-,-,-,38,75,79.4364,79.3001,79.3797,70.0095,69.9413,69.9300,79.8340,79.6295,79.6863,5.8663,5.8890,5.9117,NaN,NaN,NaN,,,,,
50310092,SITE2,,1600,22,0.4,2019-02-27,23100,400,100.023,22000,400,95.26,20900,400,90.497,,,,,,,,,,,,,,,,,,,,,3234,2195,1038,7928,2195,5733,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.44,,,,,35,75,,,,,,,,,,379.7180,374.5053,377.5280,,,,,,,,
508038,SITE2,ABB,50MVA,113000,23000,2009-02-07,129984,23000,3.263,113000,23000,2.837,96016,23000,2.410,,,,,,,,,,32.592,26.161,33.395,43.141,33.381,43.962,60.950,45.338,61.852,,,9600,5886,3387,13170,6096,7074,,,,,,,19.36,18.17,17.8,,,,30.1,75,691.4038,697.3692,692.8074,600.7528,607.3031,602.8583,694.3280,699.2407,692.5735,45.4343,45.4483,45.5045,NaN,NaN,NaN,,,,,
510049,SITE3,-,120/160/200 MVA,230 kV,115 kV,2011-08-06,253000,121000,2.091,230000,121000,1.901,195500,121000,1.616,253000,11000,13.28,230000,11000,12.07,195500,11000,10.26,16.217,9.312,16.572,18.169,10.030,18.922,24.372,14.342,25.504,,,21520.1,9245,12130,-,-,-,,,,11832.6,9245,2676,16.25,16.6,18.18,,,,33.5,75,483.1896,482.0463,482.9239,442.9546,442.0191,442.6658,482.8085,482.0463,482.4389,214.0054,213.7629,214.5944,98.5319,NaN,NaN,,,,,
5101711,CUP-1,160TL,6000,11,6.9,2022-02-02,11550,6900,2.89,11000,6900,2.76,10450,6900,2.62,,,,,,,,,,,,,63,28,64,,,,,,5506,3706,1796,8884,3710,5173,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.23,,,,,38,75,,,,231.7672,231.8127,231.8467,,,,32.7105,32.5969,32.5969,,,,,,,,
5102852,GENERAL,104TL,10000,22,6.9,2022-03-08,,,,22000,6900,5.522,,,,,,,,,,,,,,,,7.3,5.8,6.7,,,,,,8455,6088,2367,12256,6088,6168,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.54,,,,,32,75,,,,294.9831,294.9831,297.3058,,,,9.8366,9.8366,9.8366,,,,,,,,
5103168,GENERAL,12FL,2000,6.6,0.4,2022-05-22,6930,400,30.001,,,,,,,,,,,,,,,,14,10,14,,,,,,,,,4545,3109,1436,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.2,6.52,,,,,34,75,149.8510,148.6983,149.8510,,,,,,,270.8845,278.9534,267.4264,,,,,,,,
5103169,GENERAL,12FL,2000,6.6,0.4,2022-05-22,6930,400,30.007,,,,,,,,,,,,,,,,18,17,18,,,,,,,,,4473,3060,1413,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.2,6.55,,,,,34,75,151.0037,149.8510,151.0037,,,,,,,271.1612,276.6723,271.6741,,,,,,,,
5103170,GENERAL,12FL,2000,6.6,0.4,2022-05-23,6930,400,30.007,,,,,,,,,,,,,,,,297,131,296,,,,,,,,,4563,3141,1422,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.24,6.54,,,,,34,75,151.0037,149.8510,151.0037,,,,,,,269.7318,284.7169,267.4264,,,,,,,,
5103171,GENERAL,-,2000,6.6,0.4,2022-05-23,6930,400,30.007,,,,,,,,,,,,,,,,247,105,247,,,,,,,,,4605,3114,1490,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.13,6.52,,,,,38,75,148.7872,148.7872,148.7872,,,,,,,0.2612,0.2726,0.2612,,,,,,,,
5103176,GENERAL,104TL,10000,22,6.9,2022-05-14,,,,22000,6900,5.522,,,,,,,,,,,,,,,,7.5,5.9,7.5,,,,,,8255,5993,2262,11960,5993,5966,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.5,,,,,50,75,,,,285.0228,285.0228,285.0228,,,,9.4427,9.4645,9.4754,,,,,,,,
5110021,CUP-1,PT 3W 57 900/118,55000,118,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11981,8843,3137,21756,8843,12912,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,34,75,,,,,,,,,,5.2678,5.2678,5.2794,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
5110022,GENERAL,PT 3W 57 900/118,55000,118,11,2023-01-16,123900,11000,6.503,118000,11000,6.193,112100,11000,5.883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,11764,8626,3138.2,20835,8626,12208,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.09,12.75,12.45,,,,35,75,,,,,,,,,,5.1955,5.1840,5.2024,,,,,,,,
5110023,GENERAL,PT 3W 22 100/118,21000,118,11,2022-08-02,123900,11000,6.487,118000,11000,6.193,112100,11000,5.883,,,,,,,,,,,,,28.347,21.641,28.612,,,,,,8365.2,5781,2584.2,14697,5781.1,8916.4,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.42,10.14,9.92,,,,30,75,,,,1.2766,1.2778,1.2860,,,,17.1331,17.1179,17.1401,,,,,,,,
512033,SITE3,Trafostar,35/40 MVA,115 kV,23 kV,2012-12-27,129409,23000,3.248,112500,23000,2.824,95591,23000,2.400,,,,,,,,,,44.464,30.000,45.173,57.703,39.462,58.448,76.494,53.530,77.257,,,9420,6167,3250,15800,6168,9635,,,,,,,15.440,14.450,14.150,,,,75,75,509.1000,510.6900,510.6200,439.6800,439.9500,441.2900,509.5000,508.1700,511.2200,33.3400,33.4000,33.3900,,,,,,,,
52-800017,,,,,,,,,,,,,,,,,,,,,,,,,2.894,4.425,3.243,3.365,5.124,3.765,4.014,5.95,4.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oldest Test,,
5200523,CUP-1,17FL,1600,6.9,0.4,2022-10-28,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,54,23,46,,,,,,4420,3024,1395,-,-,-,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.66,,,,,40,75,,,,467.6889,468.0271,467.6889,,,,0.5604,0.5423,0.5468,,,,,,,,
5200524,CUP-1,17FL,1600,6.9,0.4,2023-01-22,7245,400,31.37,6900,400,29.87,6555,400,28.38,,,,,,,,,,,,,10.8,8.2,10.9,,,,,,4582,3077,3077,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,6.65,-,-,-,-,37,75,,,,466.2449,467.3849,466.2449,,,,0.5540,0.5540,0.5517,,,,,,,,
5201090,CUP-1,160TL,6000,11,6.9,2022-10-28,11550,6900,2.89,11000,6900,2.76,10450,6900,2.63,,,,,,,,,,,,,107,54,95,,,,,,7129,4595,2533,11752,4595,7156,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.34,,,,,30,75,,,,228.5268,228.2928,228.4098,,,,32.7637,32.7637,32.7637,,,,,,,,
