Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
1LKR091731,SITE3,-,400,6.9,0.42,2015-03-03,,,,6900,420,28.544,,,,,,,,,,,,,,,,5.773,7.149,7.347,,,,,,0.78832,0.59806,0.19026,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,4.00,,,,,26.6,75,,,,1.2698,1.2661,1.2654,,,,1.5297,1.5285,1.5196,,,,Oldest Test,,Oldest Test,Factory Test,Oldest Test
20083122TIC003,SITE3,-,325000,115,20,2010-01-24,126500,20000,3.652,115000,20000,3.32,103500,20000,2.988,,,,,,,,,,284.44,196.95,289.04,337.68,234.44,343.44,406.71,283.12,413.07,,,539135,15127.3,523570,39393.2,15127.3,24194.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",14.926,14.121,13.465,,,,36,75,79.9814,80.6691,80.7652,74.3006,75.0763,74.4356,69.3623,70.6152,69.5259,1.9920,1.9689,1.9762,,,,,,,,
20083122TIC008,SITE3,-,175000,115,15.75,2010-01-25,126500,15750,4.6371,115000,15750,4.2156,103500,15750,3.7940,,,,,,,,,,150.53,107.47,150.56,178.18,128.16,178.18,213.63,154.87,213.32,,,304969,12736,292231,29033.71,12437.13,16594.51,,,,,,,14.316,13.559,12.928,,,,30,75,106.0561,111.0058,112.6053,98.8469,97.6534,99.1617,86.2622,85.6315,85.9462,2.1449,2.1313,2.1387,,,,,,,,
225307,SITE3,,8000,11,6.9,2023-05-02,12375,6900,3.106,11000,6900,2.761,10175,6900,2.554,,,,,,,,,,11.16,8.27,11.15,13.65,10.15,13.67,15.63,11.60,15.67,,,6733,4508,2227,8700,4506,4194,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",8.78,8.26,8.08,,,,27.1,75,91.3617,91.3593,91.4776,82.9805,82.9734,83.2006,91.5853,91.6302,91.7012,10.2838,10.2350,10.2767,,,,,,,,
225308,SITE3,,8000,11,6.9,2023-05-05,12375,6900,3.106,11000,6900,2.761,10175,6900,2.554,,,,,,,,,,,,,,,,,,,,,6674,4500,2176,8714,4498,4216,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",8.75,8.23,8.06,,,,27.10,75,91.5640,91.4835,91.4267,83.3627,83.0527,83.0776,91.9769,91.5841,91.7000,10.2795,10.2305,10.3210,,,,,,,,
225309,SITE3,,1500,6.6,0.42,2023-05-03,7245,420,29.88,6900,420,28.46,6555,420,27.03,,,,,,,,,,7.95,6.10,7.86,8.65,6.65,8.51,9.49,7.21,9.38,,,3830,2596,1236,5876,2597,3279,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,7.41,,,,,32.15,75,398.2353,399.1639,399.9764,378.2713,379.1999,380.0124,358.0752,358.8877,359.7002,0.6146,0.6059,0.6099,,,,,,,,
225310,SITE3,,1500,6.6,0.42,2023-05-02,7245,420,29.88,6900,420,28.46,6555,420,27.03,,,,,,,,,,8.00,6.66,7.84,8.81,6.76,8.66,9.66,7.31,9.52,,,3849,2601,1249,5782,2600,3182,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,7.46,,,,,32.25,75,400.7546,401.4508,400.7546,380.6821,381.2622,380.6821,360.2615,360.9576,360.2615,0.6144,0.6109,0.6178,,,,,,,,
243597801,SITE3,VENT,1500/2000,6.9,0.416,2018-08-29,7245,416,17.418,6900,416,16.587,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,1639.4,1419.7,219.7,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.85,-,,,,32,75,,,,401.5162,402.8134,402.3372,,,,0.9326,0.9419,0.9477,,,,Oldest Test,Oldest Test,Oldest Test,Factory Test,Oldest Test
243597802,SITE3,VENT,1500,6.9,0.416,2015-10-09,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,1643.6,1427.1,216.8,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.84,-,,,,28,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4976,0.4893,0.4858,NaN,NaN,NaN,Oldest Test,Factory Test,,Factory Test,Oldest Test
3011080055,GHECO-ONE,-,60000,23,11,2009-10-10,24150,11000,3.803,23000,11000,3.622,21850,11000,3.44,-,-,-,-,-,-,-,-,-,,,,178.79,45.33,172.39,,,,,,14800,11740,3058,24370,11740,12644,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",16.163,15.593,15.075,,,,32.5,75,34.4275,34.5434,34.5434,32.4569,32.4569,32.4569,30.2545,30.3704,30.2545,3.2724,3.2028,3.2051,,,,,,,,
