serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
4811735,2023-10-02 00:00:00,,5000,5110,6470,7150,7660,8030,8370,8730,8950,9150,9280,1.8160,2500,2100,2760,3250,3630,3940,4200,4420,4610,4780,4930,2.3476,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger MIT515,1716385,0000-00-00,30,32,32,70,1000,1000,1000
5310991,2023-09-14 00:00:00,30000013388,2500,50200,56000,58200,61000,62100,63300,64200,65400,66000,67200,1.3386,500,28600,34500,37800,41000,43400,45600,47500,49700,51200,52500,1.8357,-,-,,,,,,,,,-,-,,Mr.Pimchart P.,,GPSC,,Megger S1-1068,101716389,0000-00-00,32,39,39,70,1000,1000,1000
54001,2023-09-14 00:00:00,30000013388,5000,3120,3540,3970,4260,4500,4720,4920,5080,5230,5390,1.7276,2500,1400,1750,2000,2230,2430,2540,2590,2620,2790,3280,2.3429,-,-,,,,,,,,,-,-,,Mr.Pimchart P.,,GPSC,,Megger S1-1068,101716389,2021-08-27,32,38,38,70,1000,1000,1000
225309,2023-09-11 00:00:00,,2500,43430,,,,,,,,,98600,2.2703,500,14260,,,,,,,,,31500,2.2090,,,,,,,,,,,,,SAT,Mr. Aran P.,,THAI TRAFO,,MEGGER MIT 515,101732695,0000-00-00,32,32,32,51,1000,1000,1000
PTE 1689/01,2023-09-10 00:00:00,,5000,3337,,,,,,,,,4940,1.6746,2500,2987,,,,,,,,,7080,2.3703,,-,-,-,-,-,-,-,-,-,-,-,,Prawit Nakrob,Pimchart P.,Hitachi Energy,GPSC,Megger / MIT515,,0000-00-00,29,32,32,56,5820,4060,2650
225307,2023-09-08 00:00:00,,2500,27700,,,,,,,,,65700,2.3718,2500,16620,,,,,,,,,38900,2.3406,,,,,,,,,,,,,SAT,Mr. Aran P.,,THAI TRAFO,,MEGGER MIT 515,101732695,0000-00-00,32,32,32,56,45900,30300,61100
225310,2023-09-08 00:00:00,,2500,43070,,,,,,,,,100800,2.3404,500,13040,,,,,,,,,27000,2.0706,,,,,,,,,,,,,SAT,Mr. Aran P.,,THAI TRAFO,,MEGGER MIT 515,101732695,0000-00-00,34,34,34,53,1000,1000,1000
9640549,2023-08-27 00:00:00,,-,-,,,,,,,,,-,-,2500,2110,2900,3580,4210,4800,5360,5890,6380,6840,7280,3.4502,2500,2070,2770,3330,3830,4280,4700,5090,5440,5780,6080,2.9372,HV ไม่สามารถทดสอบได้ เนื่องจากติด PT ที่ฝั่ง GIS,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,,,0000-00-00,32,40,40,60,1192,1000,1000
4710349,2023-08-18 00:00:00,,5000,5570,,,,,,,,,8560,1.5368,5000,1361,,,,,,,,,2140,1.5724,,,,,,,,,,,,,,Chayaporn S,Pimchart P.,Hitachi Energy,GPSC,,,0000-00-00,,33,33,63,1000,1000,1000
PTE 1689/02,2023-08-16 00:00:00,,5000,2710,,,,,,,,,4560,1.6827,5000,2390,,,,,,,,,6280,2.6276,-,-,,,,,,,,,-,-,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi Energy,GPSC,Megger,,0000-00-00,,,,,1027,1270,1202
6012333,2023-08-05 00:00:00,,5000,30900,36000,38600,40200,41500,43000,44400,45400,46200,47300,1.5307,2500,22400,27600,32200,35700,37800,39700,42300,44400,46100,47800,2.1339,-,-,,,,,,,,,-,-,,Mr.Methee M.,,GPSC,,Megger S1-1068,1716385,0000-00-00,,,,,1000,1000,1000
6110289,2023-08-03 00:00:00,,2500,4150,4520,4710,4830,4930,5010,5070,5130,5190,5240,1.2627,500,2843,3100,3250,3420,3490,3530,3580,3620,3630,3640,1.2803,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
20083122TIC008,2023-06-06 00:00:00,030000002043,5000,5130,6360,6950,7450,7780,8190,8390,8540,8860,9000,1.7544,5000,4320,5150,5770,6320,6660,7040,7410,7790,8060,8330,1.9282,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,Megger MIT515,101384824,2023-06-06,35,36,36,59,10690,10370,4670
PP0102B01,2023-05-24 00:00:00,,5000,18040,20500,22200,23800,25500,26600,27600,28700,29700,30500,1.6907,2500,11360,13050,14360,15500,16530,17450,18310,19110,19890,20600,1.8134,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,-,2021-08-27,-,-,-,-,1000,1000,1000
6512362,2023-05-07 00:00:00,,2500,101688,,,,,,,,,156600,1.5400,2500,108910,,,,,,,,,220000,2.0200,,,,,,,,,,,,,SAT,Mr. PANOM,,TIRATHAI,,MEGGER MIT 515,323-024-BO/2-02,0000-00-00,31.3,34,34,71.3,78800,89000,33000
6110203,2023-04-25 00:00:00,,5000,2916,3980,4760,5420,5940,6390,6790,7120,7410,7670,2.6303,2500,2579,3780,4770,5630,6590,7540,8390,9210,10020,10730,4.1605,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Sanan N.,TIS,GPSC,Megger MIT515,101228740,2022-08-31,38,38,38,50,1000,1000,1000
6110201,2023-04-24 00:00:00,,5000,4810,6010,7120,8090,8900,9560,10180,10790,11270,11720,2.4366,2500,2550,3840,5010,6410,6880,7770,8610,9410,10210,10420,4.0863,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,38,38,38,54,5360,10130,5430
PP0158B01,2023-03-28 00:00:00,,5000,16490,17940,21000,22500,23900,24800,25900,26800,27500,28300,1.7162,2500,10870,13270,14650,15960,16970,18080,18940,19460,20300,21000,1.9319,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,101716389,2021-08-18,,,,,1000,1000,1000
6110204,2023-03-25 00:00:00,,2500,970,1056,1108,1150,1180,1206,1230,1250,1267,1283,1.3227,500,1,,,,,,,,,988,988.0000,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Sanan N.,TIS,GPSC,Megger MIT515,101228740,2022-08-03,35,36,36,59,1000,1000,1000
PP0181B01,2023-03-15 00:00:00,82452035011,2500,11760,12400,13110,14350,15300,16200,11560,16520,16650,17310,1.4719,2500,10750,13940,15750,17230,17650,19420,20300,21100,21500,22500,2.0930,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,101716389,2021-08-18,32,34,34,52,1000,1000,1000
TP70279703,2023-02-02 00:00:00,,2500,4330,4920,5540,6370,7000,7520,8000,8290,8720,8910,2.0577,2500,2830,3710,4660,5200,5690,6060,6370,6700,6840,7320,2.5866,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,Megger MIT515,101353295,2022-03-28,30,34,32,59,6090,6610,5790
JD85034202,2023-01-25 00:00:00,,5000,20700,24400,26800,28600,30100,31500,32700,33800,34800,35700,1.7246,1000,6700,7990,9200,10270,11250,12080,12920,13600,14320,15140,2.2597,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,Megger MIT515,101353295,2022-03-29,30,28,30,60,1000,1000,1000
3011080055,2023-01-23 00:00:00,,5000,6680,8260,1530,10630,11570,12450,13260,14000,14700,15410,2.3069,2500,2960,3790,4510,5210,5700,6460,7070,7700,8310,8930,3.0169,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,Megger MIT515,101353295,2022-03-29,32,30,30,42,20400,20900,9130
5200524,2023-01-22 00:00:00,,2500,428,515,566,603,632,657,674,691,706,719,1.6799,500,1,,,,,,,,,957,957.0000,-,-,,,,,,,,,-,-,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101353295,2022-03-29,33,37,-,59,1000,1000,1000
5200524,2023-01-22 00:00:00,,2500,428,515,566,503,632,657,674,691,706,719,1.6799,500,1,,,,,,,,,957,957.0000,-,-,,,,,,,,,-,-,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,10135395,0000-00-00,33,37,,59,1000,1000,1000
5201091,2023-01-22 00:00:00,,2500,316,409,464,509,531,554,573,590,604,617,1.9525,2500,927,1010,1329,1395,1435,1466,1487,1504,1518,1530,1.6505,-,-,,,,,,,,,-,-,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101353295,2022-03-29,37,31,31,60,1000,1000,1000
5110022,2023-01-16 00:00:00,,2500,5660,7450,8370,9360,10160,11060,11610,12330,12770,13400,2.3675,2500,3370,4560,5660,6170,7090,7530,8120,8780,9250,9790,2.9050,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,32,35,35,55,1000,1000,1000
20083122TIC003,2022-12-17 00:00:00,,5000,5170,5760,6180,6330,6720,6990,7120,7330,7510,7830,1.5145,2500,4590,5290,5850,6440,6720,7090,7420,7720,7960,8180,1.7821,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Jirasak S.,TIS,GPSC,Megger MIT515,,0000-00-00,31,32,32,66,6540,6510,3620
4011560,2022-12-02 00:00:00,,2500,5770,6210,6470,6660,6840,6960,7100,7190,7290,7380,1.2790,500,1800,1950,2080,2170,2240,2300,2360,2410,2450,2490,1.3833,-,-,,,,,,,,,-,-,,Methee Meejitti,,GPSC,,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
5200523,2022-10-28 00:00:00,,2500,531,560,622,650,673,692,707,723,737,748,1.4087,2500,1,,,,,,,,,1605,1605.0000,-,-,,,,,,,,,-,-,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101228740,2022-08-31,30,40,,60,1000,1000,1000
5201090,2022-10-28 00:00:00,,2500,474,501,578,600,638,658,677,690,707,720,1.5190,2500,889,1200,1385,1526,1636,1730,1810,1879,1940,1997,2.2463,-,-,,,,,,,,,-,-,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101228740,2022-03-31,31,28,30,60,1000,1000,1000
5201090,2022-10-28 00:00:00,,2500,474,501,578,600,638,658,677,690,707,720,1.5190,2500,889,1200,1385,152,1636,1730,1810,1879,1940,1997,2.2463,-,-,,,,,,,,,-,-,,Mr. Patchayanon M.,Mr. Aekkarat M.,TIS,GPSC,Megger / MIT515,101228740,2022-03-31,31,28,30,60,1000,1000,1000
5110021,2022-10-25 00:00:00,,2500,11150,12590,13850,15100,15870,16850,17360,17960,18560,19060,1.7094,2500,9430,11170,12560,13070,13870,14440,14930,15380,15800,16180,1.7158,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,32,34,34,60,9960,9000,9000
4710348,2022-08-13 00:00:00,,-,,,,,,,,,,,,2500,4260,4970,5570,6040,6430,6720,7070,7380,7630,8380,1.9671,2500,1830,2450,2890,3260,3580,3850,4110,4330,4540,4720,2.5792,,Mr.Jirasak S.,,GPSC,,Megger / MIT515,S1-1068,0000-00-00,30,30,30,62,1000,1000,1000
5110023,2022-08-02 00:00:00,,2500,50000,57800,64000,67300,67500,71200,79400,80500,80700,81100,1.6220,2500,13500,14960,15650,14110,16500,17860,18900,21200,22000,22200,1.6444,-,-,,,,,,,,,-,-,,Mr.Methee M.,,GPSC,,Megger S1-1068,-,0000-00-00,31,30,30,71,1000,1000,1000
510049,2022-07-16 00:00:00,,5000,12550,13440,13940,14580,14780,15190,15500,15680,15880,15940,1.2701,-,-,,,,,,,,,-,-,2500,14500,15280,16450,17600,17950,18520,19260,19310,19740,19850,1.3690,,Mr.Methee M.,,GPSC,,Megger S1-1068,,0000-00-00,32,34,34,68,1000,1000,1000
6310535,2022-06-01 00:00:00,,2500,51560,,,,,,,,,85600,1.6602,2500,33090,,,,,,,,,77500,2.3421,,,,,,,,,,,,,,Panom Nonkong,ERWIN B.,TIRATHAI COMPANY,TJEL,Megger BM25,323-021-B0,0000-00-00,31.6,32,32,60,27670,50700,48500
4803168,2022-05-28 00:00:00,,2500,1520,1640,1760,1830,1980,2060,2180,2240,2370,2420,1.5921,500,1,,,,,,,,,1228,1228.0000,-,-,,,,,,,,,-,-,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101384824,2022-03-01,30,40,40,71,1000,1000,1000
4803321,2022-05-28 00:00:00,,2500,2850,3250,3870,4200,4300,4450,4750,4880,6610,5230,1.8351,2500,3190,4440,5180,5610,5930,6140,6310,6440,6610,6700,2.1003,-,-,,,,,,,,,-,-,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101384824,2022-03-01,30,30,34,58,1000,1000,1000
4810106,2022-05-25 00:00:00,,5000,9990,10650,11250,11580,12040,12340,12680,12940,13300,13460,1.3473,2500,2860,3630,4300,4830,5290,5690,6050,6420,6680,6950,2.4301,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,-,0000-00-00,33,38,38,62,7080,1000,1000
5103170,2022-05-23 00:00:00,,2500,431,547,622,660,690,712,731,747,761,773,1.7935,500,1,,,,,,,,,371,371.0000,-,-,,,,,,,,,-,-,,Mr.Tanaruk K.,Mr.Panya L.,TIS,GPSC,Megger MIT515,101343008,2022-03-29,53,40,40,65,1000,1000,1000
5103171,2022-05-23 00:00:00,,2500,456,463,480,580,633,690,739,753,788,796,1.7456,500,1,,,,,,,,,430,430.0000,-,-,,,,,,,,,-,-,,Mr.Tanaruk K.,Mr.Panya L.,TIS,GPSC,Megger MIT515,101343131,2022-03-29,31,41,38,70,1000,1000,1000
5103168,2022-05-22 00:00:00,,2500,1215,1502,1717,1860,1985,2090,2190,2250,2330,2400,1.9753,500,1,,,,,,,,,1159,1159.0000,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26,34,34,34,53,1000,1000,1000
5103169,2022-05-22 00:00:00,,2500,1112,1361,1499,1648,1735,1844,1895,1986,2000,2090,1.8795,500,1,,,,,,,,,2390,2390.0000,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,Megger MIT515,,0000-00-00,32,32,36,65,1000,1000,1000
5103176,2022-05-14 00:00:00,,5000,3970,4500,4850,5140,5360,5560,5720,5860,5990,6100,1.5365,2500,1829,2480,3070,3440,3820,4160,4520,4720,4950,5160,2.8212,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,Megger MIT515,101434008,2022-03-29,32,52,50,65,1000,1000,1000
57005,2022-04-06 00:00:00,,-,,,,,,,,,,,-,2500,1162,1510,1829,2080,2360,2520,2710,2890,3030,3160,2.7194,2500,1105,1395,1639,1849,2030,2180,2320,2410,2540,2630,2.3801,,Mr. Chaichaleom W.,,TIS,,MEGGER,101434131,2022-03-29,35,36,36,64,1000,1000,1000
57012,2022-03-19 00:00:00,221004738,-,-,,,,,,,,,-,-,2500,1661,1975,2170,2330,2450,2580,2680,2770,2860,2930,1.7640,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,101716389,0000-00-00,28,34,34,67,1000,1000,1000
PTE 1689/04,2022-03-14 00:00:00,221001532,5000,4340,4700,4980,5180,5380,5480,5690,5810,5950,6060,1.3963,-,-,-,-,-,-,-,-,-,-,-,-,2500,2380,3440,4250,4800,5280,5700,6050,6370,6660,6940,2.9160,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,101716389,0000-00-00,31,30,30,71,1000,1000,1000
5102852,2022-03-08 00:00:00,,5000,5100,6400,7101,7430,7810,8130,8330,8640,8850,9090,1.7824,2500,3990,5360,6230,6950,7500,8000,8490,8800,9200,9480,2.3759,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,Megger MIT515,101343131,2022-03-25,30,32,32,70,1000,1000,1000
EDP008001,2022-02-10 00:00:00,211050239,5000,6450,7350,7920,8130,8820,9230,9910,10400,10670,10850,1.6822,2500,3110,3820,4200,4500,4680,4780,5020,5190,5430,5670,1.8232,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-068,100153610143131,0000-00-00,32,33,33,67,1000,1000,1000
3911888,2022-02-08 00:00:00,211050239,2500,5640,7720,8330,8740,9020,9250,9450,9620,9760,9880,1.7518,500,3970,4530,4850,5020,5230,5350,5420,5550,5640,5710,1.4383,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-068,100153610143131,0000-00-00,32,35,35,70,1000,1000,1000
5001700,2022-01-31 00:00:00,,2500,4750,5570,6000,6240,6420,6560,6660,6750,6830,6890,1.4505,500,1,,,,,,,,,2210,2210.0000,-,-,,,,,,,,,-,-,,Mr.Worapon,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101343131,2021-03-25,32,30,30,60,1000,1000,1000
5101711,2022-01-31 00:00:00,,2500,6060,6300,6910,7000,7120,8030,8790,9900,10000,11090,1.8300,2500,6700,7000,7300,7910,8000,8300,9810,10900,12000,14520,2.1672,-,-,,,,,,,,,-,-,,Mr.Worapon J.,Mr.Aekkarat M.,TIS,GPSC,Megger MIT515,101343131,2021-05-25,32,38,38,60,1000,1000,1000
PP0225B01,2022-01-31 00:00:00,,5000,9430,11660,13420,14820,15900,16840,17620,18370,18960,19570,2.0753,2500,5050,6630,7750,8670,9420,10070,10660,11190,11680,12148,2.4055,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,1716385,0000-00-00,33,33,33,75,1000,1000,1000
PPD0225B01,2022-01-31 00:00:00,,5000,9430,11660,13420,14820,15900,16840,17620,18370,18960,19570,2.0753,2500,5050,6630,7750,8670,9420,10070,10660,11190,11680,12148,2.4055,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,0000-00-00,33,33,33,75,1000,1000,1000
4010290,2022-01-28 00:00:00,221004097,2500,33.7,36.0,37.2,37.9,385,38.9,39.2,39.4,39.9,40.2,1.1929,500,20.8,,,,,,,,,26.64,1.2808,,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,,GPSC,,Megger,,0000-00-00,29,-,-,64,1000,1000,1000
4010291,2022-01-25 00:00:00,221004092,2500,28.5,29.8,30.9,31.4,31.9,32.1,32.6,32.9,33.1,33.3,1.1684,500,420,479,455,504,610,670,628,633,510,484,1.1524,,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,,GPSC,,Megger,101716389,2021-08-31,29,35,35,64,1000,1000,1000
20083122TIC008,2022-01-12 00:00:00,,-,-,-,-,-,-,-,-,-,-,-,-,2500,6160,7060,7800,8500,9070,9630,10110,10580,11040,11420,1.8539,-,-,-,-,-,-,-,-,-,-,-,-,HV side can not test because voltage withstand between GIS with ground as 1000 V,Mr.Methee M.,,GPSC,,Megger S1-1068,,0000-00-00,34,35,35,58,1000,1000,1000
PP0050B01,2022-01-05 00:00:00,211055129,2500,10140,11460,12600,13310,14040,14620,15120,15600,15940,16280,1.6055,2500,3840,4890,5680,6210,6800,7300,7600,7970,8300,8590,2.2370,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,,GPSC,,Megger S1-1068,1003012101716385,0000-00-00,32,34,34,56,1000,1000,1000
6410137,2021-12-14 00:00:00,,2500,1,,,,,,,,,36540,36540.0000,2500,1,,,,,,,,,34340,34340.0000,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,0000-00-00,,,,,19270,29280,1000
6410131,2021-12-13 00:00:00,,2500,1,,,,,,,,,34480,34480.0000,2500,1,,,,,,,,,32100,32100.0000,-,-,,,,,,,,,-,-,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,0000-00-00,,,,,22880,29770,32650
56016,2021-12-12 00:00:00,,5000,1350,1648,1849,2020,2150,2200,2360,2440,2520,2580,1.9111,2500,608,818,994,1154,1291,1419,1537,1690,1750,1833,3.0148,-,-,,,,,,,,,-,-,,Mr. Tanasak  Khunnam,Mr. Pitsanuvet  Khantee,"TIS Engineering and Service Co., Ltd",GPSC,Megger / MIT515,101343131,2021-03-25,26,38,38,70,1000,1000,1000
6410130,2021-12-09 00:00:00,,2500,1,,,,,,,,,35471,35471.0000,2500,1,,,,,,,,,29672,29672.0000,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,0000-00-00,,,,,28103,32878,22424
20083122TIC003,2021-08-19 00:00:00,211033257,2500,4810,5840,6450,6750,7100,7300,7360,7970,8000,8490,1.7651,2500,1128,1229,1319,1359,1390,1500,1528,1540,1560,1573,1.3945,,-,-,-,-,-,-,-,-,-,-,-,,Mr. Thanasak K.,Mr. Jirasak S.,TIS,GPSC,Megger MIT515,101353295,2021-03-25,32,30,30,60,1000,1000,1000
9624007,2021-08-11 00:00:00,1003012101716385,2500,10100,11500,12130,12540,12850,13070,13270,13420,13570,13690,1.3554,2500,7090,8230,8750,9120,9430,9650,9840,10010,10150,10260,1.4471,,,,,,,,,,,,,,Mr. Methee Meechitti,,GPSC,,Megger S1-1068,1003012101716385,2019-04-03,36,36,36,60,1000,1000,1000
4010922,2021-08-02 00:00:00,-,2500,7480,8040,8400,8670,8880,9050,9200,9330,9450,9540,1.2754,500,3120,3660,3980,4210,4380,4530,4650,4760,4850,4930,1.5801,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,2018-02-28,32,35,35,62,1000,1000,1000
EDP011601,2021-08-02 00:00:00,,2500,2750,3460,4040,4520,4940,5320,5670,5980,6250,6520,2.3709,2500,1640,2280,2600,2910,3330,3670,3950,4200,4510,5690,3.4695,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,2018-02-28,32,40,40,62,1000,1000,1000
EDP011601,2021-08-02 00:00:00,211028715,2500,2750,3460,4040,4520,4940,5320,5670,5980,6250,6520,2.3709,2500,1640,2280,2600,2910,3330,3670,3950,4200,4510,5690,3.4695,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,2018-02-28,32,40,40,60,1000,1000,1000
512033,2021-07-21 00:00:00,211028412,5000,7890,9690,11300,12380,13310,14060,14720,15230,15680,16090,2.0393,2500,5090,6450,7500,8320,9000,9610,10120,10610,11120,11570,2.2731,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,2018-02-28,33,32,32,60,8270,8560,7370
5001766,2021-07-16 00:00:00,,2500,5600,6300,6700,6900,7160,7350,7500,7620,7660,7740,1.3821,500,1,,,,,,,,,517,517.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Waranon T.,TIS,GPSC,Megger MIT515,101343131,2021-03-25,32,33,33,71,1000,1000,1000
5001769,2021-07-15 00:00:00,,2500,2030,2200,2310,2430,2510,2610,2770,2810,2970,3030,1.4926,2500,2310,2420,2500,2670,2980,3100,3400,3900,4170,4620,2.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Waranon T.,TIS,GPSC,Megger MIT515,101384824,0000-00-00,,,,,1000,1000,1000
383204886,2021-07-10 00:00:00,211023164,5000,3900,4670,5080,5410,5740,6010,6450,6740,6970,7130,1.8282,2500,1560,1901,2210,2420,2630,2720,2850,3000,3140,3160,2.0256,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16,32,35,35,68,1000,1000,1000
4710349,2021-07-07 00:00:00,211023163,5000,2170,2600,2860,3030,3180,3250,3320,3380,3430,3538,1.6304,2500,2340,2820,3130,3340,3510,3670,3790,3900,4000,4080,1.7436,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,Megger S1-068,100153610143131,0000-00-00,31,31,31,74,1000,1000,1000
PTE 1689/01,2021-07-05 00:00:00,201023323,5000,4900,5530,5930,6220,6470,6660,6810,6950,7050,7140,1.4571,-,-,,,,,,,,,-,-,2500,6120,7610,8520,9340,10000,10510,10930,11300,11570,11930,1.9493,,Mr.Jirasak S.,,GPSC,,Megger S1-068,100153610143131,0000-00-00,34,42,42,62,1000,1000,1000
9640549,2021-06-01 00:00:00,211021659,-,-,,,,,,,,,-,-,2500,1511,2060,2840,2940,3330,3620,3870,4130,4330,4560,3.0179,2500,1578,2220,2750,3250,3700,4110,4480,4820,5140,5420,3.4347,,Mr.Jirasak S.,Mr.Sittpong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16,33,55,55,62,1000,1000,1000
5011858,2021-05-09 00:00:00,211003692,5000,6190,6890,7190,7970,8460,8770,9370,9770,10110,10270,1.6591,5000,5290,6010,6590,6630,6890,7190,7670,7770,7990,8060,1.5236,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,1003012101716385,2018-02-28,35,34,34,61,1000,1000,1000
5011857,2021-05-08 00:00:00,211003691,-,-,,,,,,,,,-,-,2500,1599,2050,2370,2790,2860,3060,3240,3420,3570,3720,2.3265,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,,,,1000,1000,1000
PP0016B01,2021-02-13 00:00:00,211006132,2500,6450,7350,8470,9440,9800,10290,10930,11240,11650,11960,1.8543,2500,4950,6160,7190,7800,8610,9140,9650,10150,10670,11130,2.2485,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Sittpong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16,28,32,32,72,1000,1000,1000
3710737,2021-02-05 00:00:00,201007519,2500,8840,9400,9720,9940,10110,10230,10340,10440,10520,10600,1.1991,500,5150,5590,5820,6000,6130,6240,6340,6420,6520,6560,1.2738,-,-,,,,,,,,,-,-,,Mr.Jirasak Suksakun,,NHT/NRV,,Megger S1-068,101716389,0000-00-00,30,34,34,60,1000,1000,1000
3710737,2021-02-03 00:00:00,201007519,5000,11930,13250,13910,14270,14560,14810,14980,15140,15280,15400,1.2909,500,1,-,-,-,-,-,-,-,-,6920,6920.0000,-,-,,,,,,,,,-,-,Before hot oil purify,Mr.Jirasak Suksakun,,NHT/NRV,,Megger S1-068,101716389,0000-00-00,30,39,39,60,,,
54002,2021-02-03 00:00:00,201007518,5000,1166,1435,1632,1720,1930,2070,2170,2280,2380,2480,2.1269,2500,765,979,1125,1335,1500,1659,1807,1951,2080,2220,2.9020,,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,GPSC,,MEGGER/MIT515,,0000-00-00,29,36,36,62,1000,1000,1000
615007,2020-12-06 00:00:00,,2500,20300,22400,24100,25600,27000,28100,29200,30000,30600,31500,1.5517,2500,9700,11730,13020,14140,15030,15840,16460,17160,17770,18330,1.8897,,-,,,,,,,,,-,-,,Pimchart P.,,GPSC,GPSC,MEGGER/S1-1068,,2019-04-03,30,36,-,62,1000,1000,1000
