serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
EDP011601,2025-10-07 00:00:00,,5000,4010,4980,5730,6360,6950,7490,7970,8450,8870,9280,2.3142,2500,2130,2710,3120,3530,3800,4060,4320,4560,4700,4970,2.3333,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09,33,46,46,61,1000,1000,1000
57011,2025-08-19 00:00:00,,-,-,-,-,-,-,-,-,-,-,-,-,2500,1071,1245,1384,1509,1617,1714,1801,1883,1955,2020,1.8861,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
56016,2025-07-20 00:00:00,,5000,1072,1269,1413,1543,1627,1704,1775,1831,1887,1936,1.8060,2500,726,945,1117,1262,1378,1480,1569,1645,1714,1774,2.4435,,-,-,-,-,-,-,-,-,-,-,-,,,Pimchart P.,Hitachi Energy,GPSC,Megger BM25,,0000-00-00,32,52,52,62,1000,1000,1000
5110023,2025-07-09 00:00:00,,5000,41900,54700,60600,64000,66400,67700,70000,71700,73500,75300,1.7971,2500,16050,20900,24200,26000,27500,28600,29700,30100,31000,31700,1.9751,-,-,,,,,,,,,-,-,,Mr.Methee M.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
PTE 1689/04,2025-07-05 00:00:00,,5000,2710,3100,3350,3440,3700,3830,3890,3980,4040,4130,1.5240,-,-,,,,,,,,,-,-,2500,2240,3170,3780,4240,4630,4920,5160,5410,5580,5760,2.5714,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,-,0000-00-00,,,,,4130,5760,3020
5513053,2025-06-11 00:00:00,,5000,8980,,,,,,,,,13830,1.5401,2500,8260,,,,,,,,,17860,2.1622,,,,,,,,,,,,,,Mr. Polasart P.,,HITACHI,,Megger,,0000-00-00,36.7,40,40,50,1000,1000,1000
6512363,2025-06-03 00:00:00,,5000,170000,193300,199100,202000,204000,206000,210000,211000,212000,216000,1.2706,2500,236000,333000,385000,415000,453000,470000,490000,495000,508000,522000,2.2119,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,82100,88800,83000
PTE 1689/01,2025-06-03 00:00:00,,5000,3820,4930,5880,6660,7450,7760,8460,8940,9340,9630,2.5209,5000,4950,5680,6170,6530,6890,7160,7390,7650,7830,7970,1.6101,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-106,,0000-00-00,,,,,1000,1000,1000
PTE 1689/02,2025-05-22 00:00:00,,5000,3160,3450,3680,3870,4090,4300,4410,4590,4730,4770,1.5095,2500,4380,5200,5680,5950,6250,6500,6670,6850,6990,7100,1.6210,-,-,,,,,,,,,-,-,,Mr. jirasak S.,Mr. Suchat M.,GPSC,GPSC,,,0000-00-00,,,,,1000,1000,1000
EDP008001,2025-05-09 00:00:00,,5000,5600,6670,7430,8060,8610,9110,9590,10030,10450,10800,1.9286,2500,2960,3570,4040,4430,4790,5100,5430,5710,5970,6240,2.1081,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,0000-00-00,,,,,1000,1000,1000
