serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,hl_test_voltage,chl_ch_cap,chl_ch_pf_1,chl_ch_pf_2,chl_ch_pf_ma,chl_ch_pf_p,chl_cap,chl_pf_1,chl_pf_2,chl_pf_ma,chl_pf_p,ch_cap,ch_pf_1,ch_pf_2,ch_pf_ma,ch_pf_p,lh_test_voltage,clh_cl_cap,clh_cl_pf_1,clh_cl_pf_2,clh_cl_pf_ma,clh_cl_pf_p,clh_cap,clh_pf_1,clh_pf_2,clh_pf_ma,clh_pf_p,cl_cap,cl_pf_1,cl_pf_2,cl_pf_ma,cl_pf_p,th_test_voltage,ct_cth_cap,ct_cth_pf_1,ct_cth_pf_2,ct_cth_pf_ma,ct_cth_pf_p,cth_cap,cth_pf_1,cth_pf_2,cth_pf_ma,cth_pf_p,ct_cap,ct_pf_1,ct_pf_2,ct_pf_ma,ct_pf_p,oil_maintank_cap,oil_maintank_pf,oil_oltc_cap,oil_oltc_pf,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxhv_tand,maxchv_change,maxlv_tand,maxclv_change,maxtv_tand,maxctv_change,maxoil_maintank_tand,maxoil_oltc_tand,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9
PP0174B01,2024-07-04 00:00:00,,33,34,34,70,10,11321.4,0.287,0.209,35.58,1021.83,7777.4,0.236,0.172,24.43,577.51,3544.1,0.411,0.300,11.14,458.49,6,22099.6,0.318,0.232,41.66,797.07,7777.3,0.221,0.161,14.66,194.59,14321.7,0.372,0.271,27,602.95,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2023-12-27 00:00:00,,0.3,1.55,0.271,2.31,,,,,0.69,1.55,0.29,2.31,2.30,0.29,,,
PTE 1689/01,2024-06-20 00:00:00,,32,40,40,73,10,17320.6,0.3838,0.2457,54.42,2088.88,8309.3,0.2215,0.1418,26.10,578.32,9009.9,0.5353,0.3426,28.32,1515.74,,,,,,,,,,,,,,,,,6,29309.8,0.3417,0.2187,55.25,1132.74,8309.5,0.2657,0.1701,15.66,249.71,21000,0.3826,0.2448,39.59,908.8,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,,0.3426,4.69,,,0.2448,0.79,,,4.47,4.69,0.15,,,,0.79,0.11,0.15
667001,2024-05-08 00:00:00,,32,32,32,49,10,7795.8,0.248,0.191,24.5,608.16,3555.9,0.228,0.175,11.17,255.09,4239.9,0.261,0.201,13.33,348.17,8.28,17810.3,0.224,0.173,46.34,862.65,3555.8,0.231,0.178,9.25,177.47,14254,0.225,0.173,37.09,691.45,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,TESTRANO 600,,,,0.201,1.43,0.178,0.88,,,,,0.98,1.43,0.45,0.79,0.88,0.45,,,
4912019,2024-03-04 00:00:00,,30,30,30,60,10,9571.9,0.255,0.204,30.08,768.61,6792.7,0.2,0.16,21.34,428.24,2779.7,0.395,0.316,8.74,345.48,6,19072.4,0.256,0.205,35.96,553.31,6792.8,0.2,0.16,12.8,153.86,12279.6,0.288,0.231,23.15,400.93,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25 00:00:00,,0.316,1.88,0.231,1.28,,,,,1.88,0.01,1.42,0.28,0.43,1.28,,,
4912019,2024-02-22 00:00:00,,37,33,33,60,10,9579.9,0.294,0.22,30.1,884.92,6793.8,0.218,0.163,21.34,465.84,2786.1,0.475,0.356,8.76,416.65,5,19126.3,0.255,0.191,30.05,383.53,6793.8,0.206,0.154,10.67,109.89,12332.5,0.282,0.212,19.38,273.93,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2024-12-25 00:00:00,,0.356,1.97,0.212,1.3,,,,,1.97,0.22,1.41,0.00,0.00,1.30,,,
5513260,2024-02-12 00:00:00,,34,40,40,50,5,3127.3,0.3028,0.1938,9.83,279.79,1532.5,0.19922,0.1230,4.81,92.52,1594.8,0.4091,0.2618,5.02,205.34,0.1,3888.2,0.4369,0.2796,12.22,534.04,1532.2,0.1943,0.1243,4.81,93.53,2356.0,0.5809,0.3718,7.41,430.51,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,,0.2618,0.23,0.3718,0.94,,,,,0.11,0.11,0.23,0.65,0.94,0.21,,,
512033,2024-02-09 00:00:00,,32,30,30,68,10,9435.7,0.263,0.211,29.65,781.67,6173.7,0.197,0.157,19.4,382.92,3261.9,0.387,0.309,10.626,397.29,5,15864.9,0.249,0.199,49.85,1245.66,6173.7,0.196,0.157,19.4,380.98,9691.3,0.283,0.227,30.46,864.71,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-18 00:00:00,,0.309,0.37,0.227,0.58,,,,,0.17,0.37,0.11,0.41,0.58,0.09,,,
ET8713/1,2024-02-04 00:00:00,,34,48,48,57,10,21660.5,0.194,0.104,68.06,1322.36,17201.2,0.191,0.103,54.04,1032.46,4459.3,0.209,0.113,14.02,293.67,5,30997.6,0.076,0.041,97.4,743.38,16694.1,-1.438,0.776,52.42,-7537.23,13924.4,0.511,0.276,43.67,2231.09,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-05 00:00:00,,0.113,0.48,0.776,2.85,,,,,0.42,0.48,0.40,0.03,0.72,2.85,,,
PP0016B01,2024-01-09 00:00:00,30000024126,31,32,32,61,2,-,0.197,0.144,373.3,7362.3,-,0.201,0.146,21.65,435.23,-,0.197,0.144,351.64,6952.48,5,-,0.275,0.201,59.21,1630.52,-,0.204,0.149,21.66,443.49,-,0.322,0.235,37.54,1209.44,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2024-01-05 00:00:00,,0.146,0,0.235,0,,,,,-,-,-,-,-,-,,,
508038,2023-12-24 00:00:00,,,35,35,,10,9276.5,0.216,0.155,29.15,629.84,5883,0.166,0.120,18.48,208.35,3393.1,0.3003,0.216,10.67,320.42,10,12968.3,0.185,0.133,40.75,756.38,5882.6,0.166,0.120,18.48,308.06,7085.3,0.201,0.144,22.27,447.78,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.216,3.37,0.144,3.5,,,,,3.37,0.18,0.05,1.53,0.16,3.50,,,
ET8713/1,2023-11-11 00:00:00,,,,,,10,21601,0.383,0.295,67.87,2599.27,17149.4,0.352,0.271,53.88,1898.94,4452.1,0.506,0.390,14,709.1,6,30819.5,0.341,0.262,96.83,3305.02,16259.2,-1.99,-1.533,51.05,-10163.99,14559.5,2.905,2.237,46.71,13282.83,,,,,,,,,,,,,,,,,,,,,Mr.Methee M.,Mr.Pimchart P.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.39,0.34,2.237,5.38,,,,,0.14,0.34,0.15,0.61,5.32,5.38,,,
PP0084B01,2023-11-01 00:00:00,,,,,,5,9442.5,0.475,0.341,29.67,1409.16,5908.7,0.634,0.456,18.56,1176.88,3532.1,0.208,0.149,11.11,230.99,5,15336.7,0.633,0.455,48.19,3050.7,5908,0.633,0.456,18.56,1176.5,9428,0.631,0.454,29.63,1871.02,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.456,0.01,0.456,0,,,,,0.01,0.00,0.01,0.00,0.00,0.00,,,
ET8712/1,2023-10-27 00:00:00,,,,,,10,18644.4,0.302,0.227,58.58,1774.22,14609.3,0.294,0.221,45.89,1350.7,4034.8,0.339,0.255,12.69,431.24,5,27095.9,0.321,0.241,42.57,683.67,14609.2,0.292,0.219,22.95,336,12485.8,0.356,0.267,19.62,349.84,,,,,,,,,,,,,,,,,,,,,Mr.Prawit N.,,Hitachi,GPSC,,,,,0.255,1.87,0.267,0.17,,,,,0.31,1.87,0.13,0.00,0.17,0.14,,,
4912021,2023-10-25 00:00:00,,34,33,33,58,10,9519.1,0.214,0.16,29.92,641.02,6923.3,0.185,0.139,21.75,402.96,2595.8,0.29,0.217,237.2,8.16,6,18357.5,0.247,0.185,34.61,513.26,6923.2,0.184,0.138,13.05,144.68,11434,0.285,0.214,21.56,368.63,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-08-27 00:00:00,,0.217,2.19,0.214,2,,,,,0.15,2.19,0.62,1.01,2.00,0.63,,,
5000576,2023-10-25 00:00:00,,34,34,34,63,2.5,3855.7,0.235,0.172,12.12,285,2662.8,0.209,0.152,8.36,175,1192.9,0.292,0.213,3.76,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.213,0.08,0,0,,,,,0.02,0.08,0.03,-,-,-,,,
5000577,2023-10-23 00:00:00,,33,32,32,65,2.5,3972.1,0.257,0.185,12.49,322,2718.6,0.233,0.167,8.54,199,1253.5,0.311,0.225,3.95,123,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.225,0.04,0,0,,,,,0.00,0.04,0.02,-,-,-,,,
9724075,2023-10-17 00:00:00,,33,33,33,50,5,10727,0.209,0.161,16.85,175.73,8384,0.133,0.173,13.17,113.86,2343,0.338,0.26,3.68,62.18,2.5,24561,0.246,0.189,19.29,118.55,8382,0.172,0.321,6.58,28.32,16177,0.284,0.219,12.71,90.36,,,,,,,,,,,,,,,,,,,,,Mr. Prawit N.,,HITACHI,,,,,,0.26,3.03,0.321,2,,,,,2.41,3.03,0.25,2.00,0.36,0.21,,,
4912023,2023-10-13 00:00:00,,32,38,40,69,5,9926.6,0.3418,0.218,31.19,1.066,7864.2,0.281,0.182,24.7,0.696,2062.4,0.5701,0.365,6.49,0.37,2.5,14627.7,0.358,0.229,45.96,1.647,7864.7,0.282,0.181,24.71,0.697,6763,0.447,0.285,21.25,0.95,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.365,0.02,0.285,0.01,,,,,0.01,0.02,0.00,0.00,0.00,0.01,,,
6512363,2023-10-10 00:00:00,,36,36,36,,10,,,,,,7724.40,0.136,0.095,24.026,0.327,4334.78,0.123,0.086,13.482,0.166,10,,,,,,,,,,,11502.10,0.172,0.120,35.773,0.616,,,,,,,,,,,,,,,,,,,,,Mr. PANOM,,TIRATHAI,,Doble M4000,325-001-TD-01,,,0.095,0.17,0.12,0.06,,,,,,0.17,0.12,,0.06,,,,
4902687,2023-10-09 00:00:00,,,33,33,,6,5843,0.27,0.216,11.02,178.42,4010,0.293,0.234,"7,56",132.93,1833,0.218,0.175,3.46,45.3,3,9017,0.319,0.255,8.5,81.33,4010,0.293,0.234,3.78,33.21,5005,0.34,0.272,4.72,48.11,,,,,,,,,,,,,,,,,,,,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,,,0.234,0,0.272,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,
4803167,2023-10-08 00:00:00,,,,30,,3,3568,0.419,0.323,3.37,42.32,2278,0.51,0.393,2.15,32.86,1290,0.23,0.177,1.22,8.39,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,,,0.393,0,0,0,,,,,0.00,0.00,0.00,-,-,-,,,
4811735,2023-10-07 00:00:00,,31,32,32,70,10,10732.9,0.213,0.213,33.73,721.44,7879.3,0.155,0.155,24.75,385.14,2853.5,0.387,0.387,8.97,347.65,6,19463.3,0.328,0.328,61.16,2006.52,7879.3,0.150,0.150,24.75,373.65,11583.5,0.449,0.449,36.4,1636.47,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,,,,,0.387,0.02,0.449,0,,,,,0.01,0.02,0.00,0.00,0.00,0.00,,,
4912022,2023-10-06 00:00:00,,32,38,40,69,5,9980.9,0.36,0.2775,31.37,1130,7933.1,0.324,0.201,24.93,809,2047.8,0.498,0.384,6.44,321,2.5,14417.3,0.390,0.300,45.3,1767,7935.8,0.323,0.209,24.93,806,6481.5,0.471,0.363,20.37,961,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.384,0.04,0.363,0.01,,,,,0.01,0.04,0.00,0.00,0.01,0.01,,,
5000575,2023-10-05 00:00:00,,37,34,35,56,2.5,4144.8,0.261,0.188,13.03,341,2899.9,0.274,0.197,9.11,250,1244.9,0.232,0.167,3.92,91,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.197,0.07,0,0,,,,,0.02,0.07,0.03,-,-,-,,,
5000574,2023-10-05 00:00:00,,35,34,34,63,2.5,3848.2,0.247,0.180,12.1,299,2637.8,0.217,0.156,8.29,180,1210.4,0.312,0.227,3.81,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.227,0.03,0,0,,,,,0.01,0.03,0.03,-,-,-,,,
5310991,2023-09-14 00:00:00,30000013388,32,34,34,70,10,2695.8,0.632,0.46,8.48,535.94,1178.7,0.673,0.49,3.7,249.22,1516.1,0.576,0.42,4.77,275.31,0.1,4763.4,0.509,0.371,14.97,762.2,1182.2,0.193,0.141,3.71,71.77,3581.3,0.618,0.451,11.26,696.74,,,,,,,,,,,,,,,,,,,,,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.49,3.11,0.451,0.02,,,,,0.12,2.72,3.11,0.01,0.01,0.02,,,
54001,2023-09-14 00:00:00,30000013388,32,38,38,70,10,10768.9,0.3177,0.2129,33.84,1075.1,6849.3,0.178,0.119,21.52,386.2,3919.2,0.559,0.374,12.32,688.9,10,22969.6,0.295,0.197,72.17,2132.11,6849.5,0.177,0.118,21.52,381.78,16120.1,0.345,0.231,50.56,1750.73,,,,,,,,,,,,,,,,,,,,,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.374,0.38,0.231,0.42,,,,,0.21,0.38,0.10,0.32,0.42,0.11,,,
225309,2023-09-11 00:00:00,,34,34,34,52,5,3891,0.224,0.164,12.22,0.274,2590,0.25,.164,8.141,0.183,1300,0.220,0.161,4.085,0.090,1,6150,0.306,0.233,19.32,0.592,2590,0.225,0.164,8.136,0.183,3560,0.91,0.285,11.19,0.438,,,,,,,,,,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,SAT,0.164,5.18,0.285,8.57,,,,,1.59,5.18,0.23,4.66,8.57,0.27,,,
PTE 1689/01,2023-09-10 00:00:00,,,,,,10,17342.4,0.398,0.306,54.49,2169.383,8302.9,0.225,0.173,26.08,588.26,9039,0.56,0.431,28.41,1590.91,,,,,,,,,,,,,,,,,6,29287,0.327,0.251,55.21,1083.25,8302.9,0.225,0.173,26.08,588.26,20983.6,0.366,0.282,39.56,870,,,,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.431,5.03,,,0.282,0.86,,,4.60,5.03,0.07,,,,0.86,0.19,0.07
225307,2023-09-08 00:00:00,,34,34,34,57,5,6793,0.290,0.212,10.67,0.155,4495,0.333,0.243,7.063,0.118,2300,0.206,0.150,3.615,0.037,5,8778,0.312,0.228,13.79,0.215,4495,0.333,0.243,7.065,0.118,4286,0.290,0.212,6.735,0.098,,,,,,,,,,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,SAT,0.243,3.28,0.243,2.19,,,,,0.89,3.28,0.29,0.90,2.19,0.24,,,
9640549,2023-08-27 00:00:00,,30,40,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,18750,0.288,0.251,58.9,1697,7240,0.179,0.102,22.73,416,11510,0.354,0.308,36.17,1281,5,19320,0.294,0.256,60.70,1787,7260,0.1,0.1,22.82,428,12060,0.359,0.312,37.88,1359,,,,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,TRAX,,,ไม่ได้ทดสอบ PF ด้าน HV side ที่ติด GIS,0,0,0.308,0.79,0.312,0.5,,,-,-,-,0.07,0.79,,0.22,0.50,
4710349,2023-08-17 00:00:00,,29,33,33,63,10,10738.4,0.2004,0.1503,33.74,676.15,7950.5,0.1488,0.1116,24.98,371.59,2787.5,0.3457,0.2593,8.77,303.08,6,21074.5,0.2631,0.1973,39.73,627.19,7950.4,0.1474,0.1106,14.99,132.57,13123.5,0.3336,0.2502,24.74,495.12,,,,,,,,,,,,,,,,,,,,,Prawit Nakrob,Pimchart P.,Hitachi Energy,GPSC,TESTRANO 600,CH158W,2023-01-22 00:00:00,,0.2593,2.35,0.2502,2.36,,,,,1.96,0.85,2.35,0.46,0.65,2.36,,,
PTE 1689/02,2023-08-16 00:00:00,,,,,,10,17269,0.438,0.302,54.26,2375.13,8287,0.221,0.152,26.03,574.98,8982,0.64,0.442,28.23,1807.03,,,,,,,,,,,,,,,,,6,29067,0.313,0.216,54.8,1029.68,8287,0.22,0.152,15.62,206,20779,0.352,0.243,39.17,827.56,,,,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.442,4.63,0,0,0.243,0.76,,,3.47,4.63,2.24,-,,,0.76,0.12,0.00
6110289,2023-08-03 00:00:00,,32,39,39,61,5,2165.2,0.189,0.125,6.81,128.9,1373.9,0.183,0.121,4.32,79.17,791.3,0.198,0.13,2.5,49.53,0.1,4511.6,0.3165,0.289,14.18,448.87,1373.0,0.177,0.117,4.31,76.63,3138.9,0.385,0.254,9.87,380.13,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.13,1.37,0.289,0.16,,,,,0.50,1.37,0.08,0.14,0.16,0.00,,,
6012333,2023-08-03 00:00:00,,31,40,40,61,10,9590.8,0.172,0.11,30.14,517.99,6312,0.143,0.092,19.83,285.04,3278.8,0.225,0.144,10.31,232.39,5,16497.5,0.211,0.135,25.92,274.08,6312,0.142,0.091,9.91,70.69,10185.5,0.253,0.162,16,202.92,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.144,1.29,0.162,1.53,,,,,1.07,0.66,1.29,1.43,1.53,1.29,,,
20083122TIC003,2023-06-12 00:00:00,030000002044,30,36,36,68,5,21165.5,0.162,0.113,66.5,1079.72,15560.5,0.149,0.104,48.88,729.45,5605,0.209,0.146,17.62,368.75,10,40344.5,0.277,0.194,126.76,3515.91,15560.7,0.143,0.1,48.89,702.3,24783.7,0.362,0.253,77.87,2822.55,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.146,2.86,0.253,2.87,,,,,0.05,0.06,2.86,2.41,2.43,2.87,,,
20083122TIC008,2023-06-06 00:00:00,,30,36,36,70,10,17310.2,0.194,0.136,54.39,1.057,12736.8,0.175,0.123,40.01,0.703,4573.3,0.246,0.172,14.38,0.354,5,29603.9,0.272,0.190,93.01,2.534,12737.7,0.171,0.122,40.02,0.687,16866.3,0.348,0.244,53,1.848,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09 00:00:00,,0.172,2.41,0.244,2.42,,,,,0.00,0.01,2.41,1.96,1.64,2.42,,,
PP0102B01,2023-05-24 00:00:00,,31,32,32,60,10,9306.8,0.222,0.222,29.25,651.38,5880.6,0.227,0.227,18.47,420.96,3426.1,0.212,0.212,10.77,228.58,10,15382.6,0.239,0.239,48.34,1158.95,5880.6,0.227,0.227,18.47,419.78,9501.6,0.248,0.248,23.86,741.46,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.227,2.33,0.248,0.11,,,,,0.07,2.33,0.01,0.08,0.11,0.01,,,
6512362,2023-05-07 00:00:00,,32.9,38,38,,10,,,,,,7758.74,0.135,0.090,24.132,0.327,4371.52,0.127,0.085,13.597,0.172,10,,,,,,,,,,,10986.4,0.59,0.107,34.169,0.544,,,,,,,,,,,,,,,,,,,,,Mr. PANOM,,TIRATHAI,,Doble M4000,325-001-T0-01,,SAT,0.09,0.14,0.107,0.07,,,,,,0.13,0.14,,0.07,,,,
6110203,2023-04-25 00:00:00,,38,38,38,50,5,6347.1,0.208,0.140,19.95,416,4645,0.164,0.109,14.59,240,1702.1,0.328,0.219,5.360,176,5,9304.7,0.216,0.145,29.24,634,4646.2,0.165,0.110,14.6,241,4658.5,0.268,0.182,14.64,393,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Sanan N.,TIS,GPSC,"TESTRANO 600, CP TD1","GA635A, RA043X",2023-03-09 00:00:00,,0.219,0.01,0.182,0.01,,,,,0.00,0.01,0.00,0.01,0.01,0.00,,,
6110204,2023-04-25 00:00:00,,38,36,36,50,2.5,4310.8,0.473,0.331,13.55,641,2960.5,0.441,0.308,9.3,410,1350.3,0.531,0.371,4.25,226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Sanan N.,TIS,GPSC,"TESTRANO 600, CP TD12","GA635A, CC522D",2023-03-09 00:00:00,,0.371,0.02,0,0,,,,,0.02,0.02,0.02,-,-,-,,,
6110201,2023-04-24 00:00:00,,,,,,10,13603.8,0.167,0.112,42.75,713.33,9744.8,0.149,0.099,30.61,456.9,3859,0.212,0.142,12.13,257.43,6,23573.8,0.199,0.133,74.07,1476.2,9744.7,0.148,0.099,30.61,453.53,13828.7,0.236,0.158,43.45,1026.96,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.142,0.01,0.158,0.01,,,,,0.01,0.00,0.01,0.00,0.01,0.01,,,
PP0158B01,2023-04-04 00:00:00,,34,32,32,59,10,8923.5,0.191,0.147,28.04,535.2,5516.3,0.198,0.153,17.33,343.76,3407.1,0.178,0.137,10.71,190.88,10,14922.2,0.261,0.2,46.89,1221.94,5516.4,0.197,0.152,17.33,343,9405.5,0.298,0.23,29.56,882.84,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.153,1.91,0.23,0.06,,,,,0.69,1.91,0.07,0.01,0.03,0.06,,,
PP0181B01,2023-03-15 00:00:00,82452035011,32,34,34,52,10,9096.7,0.206,0.151,28.59,590.73,5588.6,0.212,0.155,17.56,373.15,3508.3,0.197,0.144,11.03,217.35,10,15224.1,0.233,0.170,47.84,1117.01,5588.5,0.212,0.155,17.56,372.03,9635,0.246,0.18,30.28,746.42,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.155,0.35,0.18,0.28,,,,,0.22,0.35,0.01,0.12,0.28,0.01,,,
TP70279703,2023-02-02 00:00:00,,30,33,34,59,2,174016.4,0.1406,0.1026,546.7,7687.43,70205.9,0.1908,0.1393,220.55,4208.46,103811.6,0.1155,0.0843,326.4,3766.56,5,118038.5,0.22,0.160,370.84,8159.88,70205,0.194,0.142,220.56,4289.44,47832.6,0.271,0.198,150.28,4082.61,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,DA212X,2022-05-19 00:00:00,HV winding test include GIL,0.1393,0.28,0.198,0.28,,,,,0.17,0.13,0.28,0.23,0.17,0.28,,,
JD85034202,2023-01-25 00:00:00,,30,30,28,60,10,7319.6,0.163,0.137,23,0.376,4558.8,0.140,0.117,14.32,0.2,2760.8,0.202,0.169,8.68,0.175,0.5,-,0.211,0.1775,49.13,1.038,,0.141,0.118,14.32,0.202,,0.24,0.201,34.01,0.835,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTANO 600,GA635A,2022-02-26 00:00:00,,0.169,0.39,0.201,0,,,,,0.27,0.39,0.19,-,,,,,
3011080055,2023-01-23 00:00:00,,32,34,34,42,10,14833.4,0.1715,0.125,46.61,799,11722.6,0.151,0.151,36.83,557,3110.7,0.247,0.181,9.78,246,5,24489.4,0.209,0.153,76.95,1614,11722.6,0.152,0.152,36.83,561,12766.8,0.262,0.192,40.12,1053,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.181,1.72,0.192,0.97,,,,,0.23,1.72,0.15,0.49,0.97,0.15,,,
5200524,2023-01-22 00:00:00,,37,,47,60,2.5,4582.3,0.942,0.631,14.41,1358.28,3077.4,0.95,0.636,9.67,918.94,3077.2,0.926,0.637,4.74,439.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.637,0.01,0,0,,,,,0.01,0.01,0.01,-,-,-,,,
5201091,2023-01-22 00:00:00,,32,28,28,60,5,7038.6,0.9104,0.764,11.06,503.49,4572.2,0.907,0.762,7.18,325.69,2465.8,0.888,0.746,3.88,172.25,2.5,11787.1,0.901,0.757,9.26,208.71,4572.5,0.908,0.762,3.59,81.53,7214.6,0.9107,0.764,5.67,129.03,,,,,,,,,,,,,,,,,,,,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.764,0.03,0.764,0.01,,,,,0.01,0.03,0.00,0.00,0.01,0.01,,,
5110022,2023-01-16 00:00:00,,32,35,35,55,10,11764.3,0.207,0.149,36.97,765.36,8626.1,0.166,0.119,27.1,451.08,3138.2,0.319,0.23,9.87,315.44,6,20835,0.226,0.162,39.28,532.91,8626,0.166,0.119,16.26,161.69,12208.4,0.27,0.194,23.02,372.81,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.23,0,0.194,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,
