Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TDCG,Temp,BD,WC,IFT,Acidity_No,Color_No,PF_25,PF_100,Corrosive_Sulfur,Passivator,Sludge_Condition,Conductivity,Furan_Analysis,Test_Result
4010922,7/1/2013,,,,,,,,,,,,,8655,24004,1817,146,0,1,0,0,0,0,0,,,56,14.6,0,0,0,0,0,0,0,0,0,0,
4010922,12/25/2013,,,,,,,,,,,,,10521,20677,2682,193,0,2,0,0,0,0,0,,,45,11.98,36.8,0.002,0.5,0.11,1.464,0,0,0,2.128,0,
4010922,10/10/2018,191013291,Mr. Ekkarach W.,Mr. Phimchart P.,FOCUS LAB,CMT-GLOW,81810165,"12M_71, 72, 73",,33,37,37,61,15372,64013,6677,678,10,4,0,32,3,23,18,727,37,61.2,10.5,37.6,0.003,1,0.019,2.007,Non Corrosive,0,0.006,0.948,13.4,NORMAL
4010922,10/10/2018,,Mr. Ekkarach W.,Mr. Methee M.,FOCUS LAB,GLOW,81810165,"12M_71, 72, 73",,33,44,-,61,15372,64013,6677,678,10,4,0,32,3,23,18,86946,37,61.2,10.5,37.6,0.003,L1.0,0.019,2.007,2E,0,0.006,0.948,19.1,NORMAL
4010922,4/26/2019,-,Ekkarach W.,Jirasak S.,FOCUS LAB,GLOW,81904137,"6M_71,72",,37.4,48,-,55.3,11589,56946,6568,679,9,4,0,34,1,4,3,727,41,52,14.5,37.55,0.003,1,0.019,2.007,2E,0,0.006,0.95,19.11,NORMAL
4010922,4/26/2019,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81904137,"6M_71, 72",,37.4,48,,55.3,11589,56946,6568,679,9,4,0,34,1,4,3,727,41,52,14.5,37.6,0.003,1,0.019,2.007,2E,0,0.006,0.948,13.4,
4010922,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,4/18/2020,,,,,8338,44210,5334,678,22,8,0,25,0,3,0,736,42,33,,,,,,,,,,,,NORMAL
4010922,5/18/2020,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,5/18/2020,,,,,8338,44210,5334,678,22,8,0,25,0,3,0,736,42,33,,,,,,,,,,,,NORMAL
4010922,5/20/2020,,,,IEC,,,,,,,,,8338,24210,2334,678,10,3,0,0,0,0,0,703,,,12,,,,,,,,,,,
4010922,6/14/2021,211016346,Ms.Klednatee P.,Mr.Jirasak S.,IEC,GPSC,IEC,"6M_71,72",6/14/2021,-,-,-,-,5815,16100,876,155,0,0,0,6,0,1,0,161,50,,,,,,,,,,,,,NORMAL
4010922,3/28/2022,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,8930,24491,3568,559,7,4,0,33,2,3,2,605,,70,14,,,,,,,,,,,NORMAL
4010922,11/4/2022,,Boontarik T.,Boontarik T.,IEC,IEC,,,,,,,,12590,69834,2533,443,5,3,0,27,1,2,1,479,40,76,11,34,0.014,2,0.032,0.85,1B,5,0,0,14,NORMAL
4010922,4/11/2023,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,,,,5233,38996,2519,425,7,3,0,27,1,2,1,463,50,78,17,34,0.014,2,0.032,0.85,1d,0,0,0,14,NORMAL
4010922,9/10/2024,,Chayaporn S.,,HITACHI,,,,,,,,,19502,72985,3871,743,5,5,0,47,2,1,1,,40,62.8,13.8,33.3,0.04,1.5,0.025,1.691,,,,1.7,14,
4010922,9/11/2024,,Chayaporn S.,,HITACHI,,,,,,,,,19502,72985,3871,743,5,5,0,47,2,1,1,,40,62.8,13.8,33.3,0.04,1.5,0.025,1.691,,,,1.7,14,NORMAL
4010922,9/18/2025,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,40,,,15887,79316,6150,786,10,5,0,48,1,4,1,850,40,74.1,9.7,30.7,0.01,1.5,0.021,1.303,1a,-,0.014,1.7,11,NORMAL
4011560,3/22/2016,-,Ekkarach W.,Parkpoom K.,FOCUS LAB,GLOW-REI,81603069,"6M_71,72",,-,-,-,-,16687,49880,1323,129,11,0,0,20,0,2,5,160,37,72.8,12.7,-,-,-,-,-,-,-,-,-,-,NORMAL
4011560,8/23/2016,-,Ekkarach W.,Parkpoom K.,FOCUS LAB,GLOW-REI,81608060,"12M_71,72,73",8/23/2016,-,-,-,-,18606,47834,1587,117,6,4,0,37,11,29,69,175,34,68.8,13.4,25,0.017,2,0.099,3.506,3B,41.21,0.01,4,23,NORMAL
4011560,7/12/2018,-,Ekkarach W.,Parkpoom K.,FOCUS LAB,GLOW-REI,81807051,"12M_71,72,73",7/12/2018,32,34,-,59,30025,78352,2113,160,7,2,0,47,9,47,30,225,34,49.3,12.4,27,0.031,2,0.082,3.068,3A,4.21,0.018,3.06,21,NORMAL
4011560,5/11/2019,,Ekkarach W.,Mr. Pimchart P.,FOCUS LAB,GLOW,81905122,"6M_71, 72",,34.6,,,59.2,17054,48137,2037,165,7,0,0,44,4,24,19,67511,35,45,14.6,27,0.031,2,0.082,3.068,3A,4.21,0.018,3.06,21,NORMAL
4011560,8/7/2019,191040125,IEC,Mr. Pimchart P.,TIS,CMT-GLOW,IEC190240,Special (After regeneration),,35,38,40,70,0,0,0,0,0,0,0,0,0,0,0,0,38,76,12,43,0.0111,0.5,0.03,0.3226,3A,4.21,0,0,21,NORMAL
4011560,5/18/2020,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,5/18/2020,,,,,14957,47142,1509,190,28,4,0,13,0,10,3,248,42,30,,,,,,,,,,,,NORMAL
4011560,5/20/2020,,,,IEC,,,,,,,,,14957,27142,509,90,13,1,0,0,0,0,0,104,,,11,,,,,,,,,,,
4011560,11/23/2020,-,Mr.Eakgarak S.,Mr.Jirasak S.,IEC,GPSC,-,-,,-,40,-,-,14045,24775,662,172,8,2,0,5,0,2,0,187,40,73,11,37,0.013,1,0.01,0.56,Non Corrosive,27,No Sludge,0.6,5,NORMAL
4011560,6/14/2021,,Wachirawit Th.,,IEC,,IEC Lab,6M,,,,,,23360,44460,410,54,5,0,0.2,5,1,1,1,66,40,66,13,37,0.013,1,0.01,0.56,Non Corrosive,27,No Sludge,0.6,21,NORMAL
4011560,11/10/2021,,Mr.Wachirawit Th.,Mr.Jirasak S.,IEC,GPSC,IEC Lab,12M,,,,,,21183,42547,449,55,0,0,0,6,0,1,1,61,40,75,11,37,0.013,1,0.01,0.56,Non Corrosive,27,No Sludge,0.6,5,NORMAL
4011560,4/11/2023,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,,,,12053,65408,459,47,6,1,0,6,0,1,1,60,-,59,18,37,0.013,1,0.01,0.56,1b,27,-,0.6,5,NORMAL
4011560,9/24/2025,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,40,,,23285,56418,1635,65,5,1,0,17,0,2,0,88,40,75.2,12.5,30.5,0.02,1,0.007,0.552,1b,-,0.013,-,7,NORMAL
4104077,1/11/2009,,,,,,,,,,,,,6111,63545,2083,285,18,99,0,30,712,3,254,,,0,,,,,,,,,,,,
4104077,6/13/2010,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,41349,25.4,0.01,1.5,0.349,2.73,ND,ND,N/A,ND,ND,
4104077,10/19/2010,,,,,,,,,,,,,0,0,2517,253,16,115,0,28,844,0,0,,,56,17.68,29.4,0.0138,1,0.123,2.43,ND,ND,N/A,ND,ND,
4104077,1/5/2011,,,,,,,,,,,,,21310,55201,2028,278,172,4,0,8,5,15,22,,,57,5.67,32,0.0091,2,0.07,3.84,Corrosive,ND,no sludge,0.0101,ND,
4104077,7/18/2011,,,,,,,,,,,,,8908,14717,2721,561,95,80,0,44,512,0,52,,,44,15.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104077,1/4/2012,,,,,,,,,,,,,14283,31789,1915,310,15,66,0,35,14,0,10,,,55,6.16,35.5,0.0012,0.5,0.042,0.776,Noncorrosive,ND,no sludge,0.68,ND,
4104077,6/14/2012,,,,,,,,,,,,,17731,40791,2117,235,45,50,0,25,30,1,25,,,52,7.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104077,1/20/2013,,,,,,,,,,,,,14902,33238,2676,102,43,3,0,0,13,7,6,,,51,7.24,31.1,0.021,0.5,0.0712,1.261,Noncorrosive,ND,no slugdge,0.58,ND,
4104077,7/1/2013,,,,,,,,,,,,,12563,23261,3442,157,35,4,0,0,21,5,6,,,55,10.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104077,12/25/2013,,,,,,,,,,,,,12674,39791,3938,139,40,2,0,0,19,6,29,,,55,14.09,34.2,0.0147,0.5,0.088,1.388,Noncorrosive,ND,no slugdge,0.94,ND,
4104077,10/18/2018,,Mr. Ekkarach W.,Mr. Methee M.,FOCUS LAB,GLOW,81810208,"12M_71, 72, 73",,39,45,-,51.6,19456,59895,4595,369,15,4,0,25,13,20,7,426,37,67.2,12.2,39.5,0.004,1.5,0.017,0.863,3B,0,0.009,0.71,27.4,NORMAL
4104077,5/8/2019,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81905110,"6M_71, 72",,36.2,44,,56.1,11801,40539,3740,282,11,2,0,22,6,23,2,323,37,49.4,15.1,39.5,0.004,1,0.017,0.863,3B,0,0.009,0.71,12.6,NORMAL
4104077,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,,,4/18/2020,,,,,9515,19069,1563,247,8,2,0,10,1,0,1,269,40,38,,,,,,,,,,,,NORMAL
4104077,5/20/2020,,,,IEC,,,,,,,,,9515,19069,1563,247,8,2,0,10,1,0,0,268,,,13,,,,,,,,,,,
4104077,3/31/2022,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,7988,47520,2818,331,9,4,0,36,5,4,10,385,40,59,19,,,,,,,,,,,NORMAL
4104077,4/5/2023,,M.Benjawan S.,M.Pimchart P.,IEC,GPSC,,,,,45,,,4422,24997,401,40,4,1,0,3,1,1,1,49,45,91,14,34,0.017,0.5,0.01,0.72,3b,0,-,0.5,12,NORMAL
4104077,2/19/2024,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2/19/2024,,50,,,31767,89273,1005,252,11,2,0,13,0,7,1,0,45,62.4,10.5,34,0.017,0.5,0.01,0.72,3b,0,-,0.5,12,NORMAL
4104077,9/24/2025,,Mr. Aekapong Klamchang,Mr.Pimchart P.,TIRATHAI COMPANY,GPSC,Hitachi Energy,12M,,,44,,,38326,119251,3257,339,8,3,0,1,1,1,1,,,75.3,12.2,33.7,0.01,1,0.001,0.437,2e,-,1.014,3.8,12,NORMAL
4104453,1/11/2009,,,,,,,,,,,,,5538,66923,6011,568,64,58,0,21,426,0,461,,,0,,,,,,,,,,,,
4104453,6/13/2009,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,N/A,18.4,0.031,2,0.1535,2.91,ND,ND,N/A,ND,ND,
4104453,10/19/2010,,,,,,,,,,,,,0,0,7418,441,123,99,0,24,540,0,0,,,42,27.26,29.1,0.055,2.5,0.142,3.3,ND,ND,N/A,ND,ND,
4104453,1/5/2011,,,,,,,,,,,,,12435,54993,2670,356,79,91,0,28,413,17,22,,,35,17.11,31.3,0.0059,2,0.29,N/A,Noncorrosive,ND,no sludge,0.0417,ND,
4104453,7/18/2011,,,,,,,,,,,,,2017,29262,4073,208,23,42,0,37,396,0,629,,,40,13.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104453,1/4/2012,,,,,,,,,,,,,4668,28037,4272,339,19,54,0,44,403,27,537,,,32,31.24,27.5,0.063,1.5,0.201,4.014,Noncorrosive,ND,no sludge,8.96,126.279,
4104453,6/14/2012,,,,,,,,,,,,,13185,34503,3534,347,42,26,0,8,326,15,498,,,27,37.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104453,1/18/2013,,,,,,,,,,,,,17478,39639,4586,367,47,99,0,9,382,18,494,,,34,32.51,33,0.084,1.5,0.224,5.247,Corrosive,ND,no slugdge,10.07,98.43,
4104453,7/1/2013,,,,,,,,,,,,,8742,58062,2261,147,27,4,0,0,17,0,32,,,46,12.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104453,12/25/2013,,,,,,,,,,,,,10864,69734,2929,138,10,3,0,0,17,0,30,,,32,20.57,34.1,0.0366,0.5,0.106,1.015,Noncorrosive,ND,no slugdge,2.229,76.33,
4104453,10/18/2018,,Mr. Ekkarach W.,Mr. Methee M.,FOCUS LAB,GLOW,81612057,"12M_71, 72, 73",,"25,9",30,-,"36,6",1587,52022,1587,93,2,1,0,5,2,9,4,103,32,44.5,19.2,28.4,0.024,1,0.019,1.1,2C,0,0.009,0.8,184,NORMAL
4104453,4/5/2023,,,M.Pimchart P.,IEC,GPSC,,,,,-,,,7103,35006,2220,166,7,2,0,24,1,3,5,200,-,50,20,28,0.024,1,0.019,1.1,2c,0,-,0.8,143,NORMAL
4104453,9/9/2024,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,46,,,19884,58698,4974,368,7,5,0,55,2,3,6,437,46,79.7,27.8,32.5,0.04,1.5,0.019,3.48,3b,-,-,7.7,137,NORMAL
4104453,9/24/2025,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,30,,,39108,109779,6922,290,4,4,0,58,2,3,5,358,30,64.8,20.1,24.3,0.04,1.5,0.197,1.974,1a,-,0.009,7.6,137,NORMAL
4104758,1/11/2009,,,,,,,,,,,,,9814,62106,2457,344,191,4,0,8,13,4,15,,,0,,,,,,,,,,,,
4104758,6/13/2009,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,N/A,20.3,0.37,1.5,0.124,1.69,N/A,ND,N/A,ND,ND,
4104758,6/19/2010,,,,,,,,,,,,,0,0,3215,361,256,0,0,3,6,0,0,,,47,24.01,29.1,0.6,1.5,0.05,1.84,Noncorrosive,ND,no sludge,ND,ND,
4104758,1/5/2011,,,,,,,,,,,,,41878,50215,251,12,0,2,0,0,7,11,26,,,49,10.92,30,0.0112,0.5,0,0.45,Noncorrosive,ND,no sludge,1.75,ND,
4104758,7/18/2011,,,,,,,,,,,,,7445,43147,1016,233,179,0,0,4,8,5,20,,,43,18.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104758,1/4/2012,,,,,,,,,,,,,8840,27210,2284,184,116,0,0,2,10,8,15,,,38,18.41,36.4,0.0598,1,0.087,2.602,Corrosive,ND,no sludge,4.29,ND,
4104758,6/14/2012,,,,,,,,,,,,,10178,35586,3856,115,76,0,0,0,0,4,15,,,53,9.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104758,1/20/2013,,,,,,,,,,,,,11427,38684,3957,162,86,4,0,0,4,5,21,,,54,7.53,33.1,0.0741,1,0.0651,2.851,Corrosive,ND,no slugdge,4.1,ND,
4104758,7/1/2013,,,,,,,,,,,,,12643,46948,3511,131,73,3,0,3,0,0,20,,,55,10.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104758,12/25/2013,,,,,,,,,,,,,20530,51476,4309,175,94,3,0,0,3,0,24,,,56,10.61,34.8,0.0942,1,0.046,1.435,Corrosive,ND,no slugdge,4.657,ND,
4104758,10/18/2018,,Mr. Ekkarach W.,Jirasak S.,FOCUS LAB,GLOW,81810206,-,,38,49,-,38,19958,48148,1402,62,7,1,0,1,1,13,5,72,38,67.2,14.2,29.3,0.001,0.5,0.006,0.376,2E,0,0.006,0.22,20.9,NORMAL
4104758,10/18/2018,,Mr. Ekkarach W.,Jirasak S.,FOCUS LAB,GLOW,81810206,-,,40,49,-,38,19958,48148,1402,62,7,1,0,1,1,13,5,72,38,67.2,14.2,29.3,0.001,0.5,0.006,0.376,2E,0,0.006,0.22,36.6,NORMAL
4104758,5/8/2019,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81905108,"6M_71, 72",,36.1,42,,55.7,16920,41935,1003,58,5,0,0,0,0,0,0,63,35,48,7.7,44.9,0.005,0.5,0.001,0.895,2E,0,0.017,0.09,0,NORMAL
4104758,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,4/18/2020,,,,,14134,24109,1620,161,4,0,0,0,0,0,0,165,40,43,,,,,,,,,,,,NORMAL
4104758,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,4/18/2020,,,,,14134,24109,1620,161,4,0,0,0,0,0,0,165,40,43,,,,,,,,,,,,NORMAL
4104758,3/31/2022,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,10292,49950,1532,114,0,2,0,7,1,1,1,124,44,42,16,,,,,,,,,,,NORMAL
4104758,4/5/2023,,,,,,,,,,50,,,7234,33972,1114,44,0,1,0,6,1,1,2,52,50,54,12,28,0,0.5,0.02,0.63,3b,0,-,1,68,
4104758,2/19/2024,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2/19/2024,,50,,,44871,101296,1440,131,3,2,0,11,1,7,1,0,45,79.3,13.8,28,0,0.5,0.02,0.63,3b,0,-,1,68,NORMAL
4104758,12/24/2025,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,50,,,54886,171078,2875,105,2,2,0,15,1,1,2,125,50,73.4,12.6,25.2,1a,1,0.006,0.366,1a,-,0.014,3,56,NORMAL
4104759,1/11/2009,,,,,,,,,,,,,27198,63249,4751,284,50,3,0,12,12,10,14,,,0,,,,,,,,,,,,
4104759,6/13/2009,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,N/A,15.2,0.015,2,0.14,2.66,ND,ND,N/A,ND,ND,
4104759,10/19/2010,,,,,,,,,,,,,0,0,6041,307,72,3,0,3,7,0,0,,,56,17.04,29.8,0.122,2,0.15,3.15,ND,ND,N/A,ND,ND,
4104759,1/5/2011,,,,,,,,,,,,,34468,50845,1221,79,30,2,0,4,16,19,23,,,49,8.86,29.1,0.0056,0.5,0,0.3 (at 90?C),Noncorrosive,ND,no sludge,3.53,ND,
4104759,7/18/2011,,,,,,,,,,,,,25444,31357,3210,295,14,5,0,0,13,10,25,,,40,18.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104759,1/4/2012,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104759,6/14/2012,,,,,,,,,,,,,17862,38863,418,29,0,0,0,0,0,0,0,,,48,4.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104759,1/20/2013,,,,,,,,,,,,,16195,30059,555,27,0,0,0,0,0,0,0,,,57,5.53,28.6,0.0151,0.5,0.0012,0.841,Noncorrosive,ND,no slugdge,0.11,ND,
4104759,7/1/2013,,,,,,,,,,,,,14378,50550,599,72,3,1,0,0,0,0,0,,,51,12.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4104759,12/15/2013,,,,,,,,,,,,,18654,79384,1722,117,0,1,0,0,0,0,0,,,47,8.78,30.5,0.0102,0.5,0.086,0.379,Noncorrosive,ND,no slugdge,0.185,ND,
4104759,10/18/2018,,Mr. Ekkarach W.,Mr. Methee M.,่่่้้ี้ี้ี้focuslab,GLOW,81810207,"12M_71, 72, 73",,35.3,41,-,57.8,25377,56091,1130,53,5,1,0,5,0,15,3,64,35,51.5,6,44.9,0.005,0.5,0.001,0.895,2E,0,0.017,0.09,15.5,NORMAL
4104759,5/8/2019,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81905109,"6M_71, 72",,36.2,48,,56.1,19436,50405,2421,99,2,2,0,1,1,3,1,105,38,43,14.8,29.3,0.001,0.5,0.006,0.376,2E,0,0.006,0.22,20.9,NORMAL
4104759,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,4/18/2020,,,,,12201,21191,1997,184,5,1,0,0,0,0,0,190,40,40,,,,,,,,,,,,NORMAL
4104759,4/18/2020,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,4/18/2020,,,,,12201,21191,1997,184,5,1,0,0,0,0,0,190,40,40,,,,,,,,,,,,NORMAL
4104759,9/24/2025,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,40,,,61141,197757,1387,70,5,1,0,1,0,0,0,77,40,77.2,7.6,42,0.03,0.5,0.006,0.086,2e,-,0.014,0.5,4,NORMAL
41BAT01,11/13/2024,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,12M,,,50,,,7336,58506,1053,557,4,5,0,2,1,2,0,568,50,69.8,2.8,37.2,0,0.5,0.013,0.539,3b,182,0.013,2.3,6,NORMAL
4202021,3/4/2019,,,Mr.Pimchart P.,Focuslab Ltd.,Glow,,,,39,41,41,52,8171,58154,2805,359,9,11,0,5,7,12,4,427,41,56.7,9.4,25,0.005,1,0.007,2.796,1A,0,0.002,4.44,12.6,NORMAL
42754,12/21/2010,,IEC,,TIS,,,,,,,,,25196,51253,2839,342,2,29,0,11,78,18,23,462,60,48.34,10.52,28.9,0.0191,0.5,0,0.79,-,0,0,5.03,0,NORMAL
42754,6/29/2011,,IEC,,TIS,,,,,,,,,5377,10054,5158,512,0,10,0,38,71,2,45,631,58,53,18.45,28.9,0.019,0.5,0,0.79,-,0,0,5.03,0,NORMAL
42754,12/21/2011,,IEC,,TIS,,,,,,,,,13575,22101,6185,465,0,14,0,31,79,5,20,589,60,36.44,18.49,35.5,0.0359,0.5,0.041,0.348,-,0,0,0.71,0,NORMAL
42754,6/1/2012,,IEC,,TIS,,,,,,,,,16103,39108,7380,316,0,14,0,1,80,2,18,411,60,54.04,11.45,35.5,0.036,0.5,0.041,0.348,-,0,0,0.71,0,NORMAL
42754,1/8/2013,,IEC,,TIS,,,,,,,,,15564,32975,8694,445,44,34,0,0,85,0,71,608,62,55.32,10.63,39.1,0.0211,0.5,0.092,1.025,-,0,0,0.47,0,NORMAL
42754,6/19/2013,,IEC,,TIS,,,,,,,,,20654,41424,9586,434,24,11,0,0,81,0,71,550,60,51.44,15.43,39.1,0.021,0.5,0.092,1.052,-,0,0,0.47,0,NORMAL
42754,12/20/2013,,IEC,,TIS,,,,,,,,,21774,43857,8619,347,31,6,0,0,79,0,50,463,50,50.22,10.61,38.7,0.01,0.5,0.091,1.003,-,0,0,0.76,0,NORMAL
42754,6/23/2014,,IEC,,TIS,,,,,,,,,24030,44201,322,8827,31,5,0,0,67,0,43,425,40,50.08,11.09,38.7,0.01,0.5,0.091,1.003,-,0,0,0.76,0,NORMAL
42754,1/7/2015,,IEC,,TIS,,,,,,,,,26554,46583,8496,354,34,7,0,0,68,0,45,463,54,48.86,10.87,38.4,0.008,0.5,0.075,1.075,-,0,0,0.59,0,NORMAL
42754,7/9/2015,,IEC,,TIS,,,,,,,,,31732,52461,7123,366,54,6,0,0,65,0,0,491,54,25.62,14.4,38.4,0.008,0.5,0.075,1.075,-,0,0,0.59,0,NORMAL
42754,3/15/2016,,Ekkarach W.,,FOCUS LAB,,,,,,,,,4504,22721,4251,147,5,5,0,2,18,23,8,177,36,50,7.38,38.4,0.008,0.5,0.075,1.075,-,0,0,0.59,36,NORMAL
42754,9/29/2016,,Ekkarach W.,,FOCUS LAB,,,,,,,,,13362,59717,5340,192,7,8,0,2,22,27,12,231,37,55.6,10.5,25.03,0.012,1,0.014,0.575,3A,0,0.013,0.65,19.63,NORMAL
42754,2/14/2017,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,,,,,,,,5859,30470,5304,181,7,8,0,6,19,28,9,221,36,65.6,8.6,25.03,0.012,1,0.014,0.575,3A,0,0.013,0.65,19.63,NORMAL
42754,9/26/2017,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81709101,"12M_71,72,73",,36.4,50,-,53.3,11582,49884,6378,201,6,8,0,3,27,29,8,245,36,48.4,11.3,25.7,0.006,1,0.017,0.656,3A,0,0.01,0.63,22.2,NORMAL
42754,2/12/2018,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81802093,"6M_71,72",,31,50,-,59,13568,60719,5646,185,6,7,0,2,22,47,8,222,32,49.7,9.3,25.7,0.006,1,0.017,0.565,3B,0,0.01,0.63,22.2,NORMAL
42754,8/20/2018,,Ekkarach W.,,FOCUS LAB,,81808175,"12M_71,72,73",,32.9,50,-,69.9,4780,26120,5851,196,7,8,0,2,36,45,7,249,40,45,9.3,25.4,0.01,1.5,0.017,0.605,3B,0,0.05,0.65,11.7,NORMAL
42754,6/18/2019,,Ekkarach W.,Mr.Pimchart P.,Focuslab Ltd.,GLOW,81906063,"6M_71, 72",,33.3,55,-,61.2,6389,32509,5626,169,6,8,0,2,21,41,5,206,35,49,12.9,25.4,0.01,1.5,0.017,0.605,3B,0,0.005,0.65,11.7,NORMAL
42754,6/18/2019,,Ekkarach W.,Mr.Pimchart P.,Focuslab Ltd.,GLOW,81906063,"6M_71, 72",,33.3,55,-,61.2,6389,32509,5626,169,6,8,0,2,21,41,5,206,35,49,12.9,25.4,0.01,1.5,0.017,0.605,3B,0,0.005,0.65,11.7,NORMAL
42754,12/11/2019,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81912037,"12M_71,72,73",,32,55,-,52,6551,29545,5564,185,6,7,0,2,22,31,6,222,33,42.8,8.3,25.3,0.01,1,0.019,0.511,2B,0,0.01,0.7,28.4,NORMAL
42755,12/21/2010,,IEC,,TIS,,,,,,,,,28338,160,1896,216,6,11,0,12,21,16,28,266,70,24.76,34.03,28.4,0.0121,0.5,0,1.23,-,0,0,6.41,0,NORMAL
42755,6/29/2011,,IEC,,TIS,,,,,,,,,13510,18437,1152,295,0,8,0,14,32,0,15,349,64,29,32.11,28.4,0.012,0.5,0,1.23,-,0,0,6.41,0,NORMAL
42755,12/21/2011,,IEC,,TIS,,,,,,,,,7571,26603,2105,309,12,5,0,29,17,0,18,372,62,50.98,6.39,34.1,0.0185,0.5,0.044,0.952,-,0,0,1.28,0,NORMAL
42755,6/1/2012,,IEC,,TIS,,,,,,,,,23640,51209,4039,206,15,13,0,0,21,4,15,255,62,53,10.32,34.1,0.019,0.5,0.044,0.952,-,0,0,1.28,0,NORMAL
42755,1/8/2013,,IEC,,TIS,,,,,,,,,17399,28736,2711,302,42,11,0,6,21,0,24,382,60,49.82,10.07,39.2,0.0071,0.5,0.093,1.274,-,0,0,1.01,0,NORMAL
42755,6/19/2013,,IEC,,TIS,,,,,,,,,24312,53206,2449,218,45,9,0,0,12,0,20,284,60,50,14.74,39.2,0.007,0.5,0.093,1.274,-,0,0,1.01,0,NORMAL
42755,12/18/2013,,IEC,,TIS,,,,,,,,,25534,52729,2512,225,41,0,0,0,0,0,22,266,40,51.26,11.31,38,0.0014,0.5,0.077,1.113,-,0,0,1.91,0,NORMAL
42755,6/23/2014,,IEC,,TIS,,,,,,,,,26381,51492,2759,212,39,0,0,0,0,0,5,251,40,50.14,13.12,38,0.001,0.5,0.077,1.113,-,0,0,1.91,0,NORMAL
