serial,date,H1_tap_max_ratio,H1_max_err,H1_max_phd,H1_tap_cen_ratio,H1_cen_err,H1_cen_phd,H1_tap_min_ratio,H1_min_err,H1_min_phd,H1_tap_N1,H1_tap_rate_N1,H1_ratio1,H1_err1,H1_phd1,H1_tap_N2,H1_tap_rate_N2,H1_ratio2,H1_err2,H1_phd2,H2_tap_max_ratio,H2_max_err,H2_max_phd,H2_tap_cen_ratio,H2_cen_err,H2_cen_phd,H2_tap_min_ratio,H2_min_err,H2_min_phd,H2_ratio1,H2_err1,H2_phd1,H2_ratio2,H2_err2,H2_phd2,H3_tap_max_ratio,H3_max_err,H3_max_phd,H3_tap_cen_ratio,H3_cen_err,H3_cen_phd,H3_tap_min_ratio,H3_min_err,H3_min_phd,H3_ratio1,H3_err1,H3_phd1,H3_ratio2,H3_err2,H3_phd2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR,MAXDEV,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,Object18,Object19,Object20,Object21,Object22,Object23,Object24,Object25,Object26,Object27,Object28,Object29,Object30
VN85042301_1,1/17/2017,-,-,-,43.252,0.35,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.254,0.34,0,-,-,-,-,-,-,-,-,-,-,-,-,43.252,0.35,0,-,-,-,-,-,-,-,-,-,,Mr. Thanongsak K,Mr. Kritsada K,"TIS Engineering and Service co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,3/5/2016,26,-,-,40,,0.35,0,-,-,-,-,-,-,0.35,0,0.34,0,0.35,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042301_1,1/19/2019,-,-,-,43.27,0.3,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.264,0.32,0,-,-,-,-,-,-,-,-,-,-,-,-,43.262,0.32,0.02,-,-,-,-,-,-,-,-,-,-,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,TESTRANO 600,DA212X,4/19/2019,28,,,48,,0.32,0.02,-,-,-,-,-,-,0.3,0.01,0.32,0,0.32,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042301_2,5/26/2013,45.486,0.17,0.01,43.306,0.19,0.19,41.179,0.09,0.07,,,,,,,,,,,45.483,0.17,0,43.388,0,2.2,41.151,0.16,0.02,,,,,,,45.481,0.18,0.01,44.342,2.2,2.34,41.143,0.17,0.09,,,,,,,,Mr. Anusit S,,"TIS Engineering and Service co., Ltd",,Raytech / SPY Mark III,314151,,,,,,,2.2,2.34,0.17,0.01,0.17,0,0.18,0.01,0.19,0.19,0,2.2,2.2,2.34,0.09,0.07,0.16,0.02,0.17,0.09,,,,,,,,,,,,
VN85042301_2,1/10/2017,-,-,-,43.256,0.3,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.268,0.28,0.03,-,-,-,-,-,-,-,-,-,-,-,-,43.254,0.31,0,-,-,-,-,-,-,-,-,-,,Mr. Thanongsak K,Mr. Kritsada K,"TIS Engineering and Service co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,3/5/2016,26,-,-,41,,0.31,0.03,-,-,-,-,-,-,0.3,0.03,0.28,0.03,0.31,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042301_2,1/9/2019,-,-,-,43.2643,0.29,0,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,43.2625,0.29,0,-,-,-,-,-,-,-,-,-,-,-,-,43.2621,0.29,0.01,-,-,-,-,-,-,-,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,TESTRANO 600,DA212X,4/19/2019,22,,,60,,0.29,0.01,-,-,-,-,-,-,0.29,0,0.29,0,0.29,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_1,6/7/2013,45.474,0.19,0.04,43.343,0.1,0.03,41.137,0.19,0.04,-,-,-,-,-,-,-,-,-,-,45.491,0.16,0.02,43.357,0.07,0.01,41.154,0.15,0.02,-,-,-,-,-,-,45.481,0.18,0.02,43.351,0.09,0.02,41.147,0.16,0.02,-,-,-,-,-,-,,Mr. Anusit S,,"TIS Engineering and Service co., Ltd",,Raytech / SPY Mark III,314151,,,,,,,0.19,0.04,0.19,0.04,0.16,0.02,0.18,0.02,0.1,0.03,0.07,0.01,0.09,0.02,0.19,0.04,0.15,0.02,0.16,0.02,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_1,1/13/2017,-,-,-,43.336,0.12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.334,0.12,0,-,-,-,-,-,-,-,-,-,-,-,-,43.334,0.12,0,-,-,-,-,-,-,-,-,-,-,Mr. Thanongsak K,Mr. Kritsada K,"TIS Engineering and Service co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,3/5/2016,24,-,-,47,,0.12,0,-,-,-,-,-,-,0.12,0,0.12,0,0.12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_1,1/10/2019,-,-,-,43.3536,0.08,0.01,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,43.3493,0.09,0,-,-,-,-,-,-,-,-,-,-,-,-,43.3477,0.09,0.01,-,-,-,-,-,-,-,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,TESTRANO 600,DA212X,4/19/2019,24,,,74,,0.09,0.01,-,-,-,-,-,-,0.08,0.01,0.09,0,0.09,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_2,6/7/2013,45.472,0.2,0.02,43.334,0.12,0.02,41.133,0.2,0.02,-,-,-,-,-,-,-,-,-,-,45.462,0.22,0.03,43.342,0.11,0.01,41.14,0.18,0,-,-,-,-,-,-,45.474,0.19,0,43.339,0.11,0.01,41.14,0.18,0.02,-,-,-,-,-,-,,Mr. Anusit S,,"TIS Engineering and Service co., Ltd",,Raytech / SPY Mark III,314151,,-,-,-,-,,0.22,0.03,0.2,0.02,0.22,0.03,0.19,0,0.12,0.02,0.11,0.01,0.11,0.01,0.2,0.02,0.18,0,0.18,0.02,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_2,1/18/2017,-,-,-,43.352,0.08,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.35,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,43.358,0.07,0.01,-,-,-,-,-,-,-,-,-,,Mr. Thanongsak K,Mr. Kritsada K,"TIS Engineering and Service co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,,24,,,47,,0.09,0.02,-,-,-,-,-,-,0.08,0,0.09,0.02,0.07,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VN85042302_2,1/21/2019,-,-,-,43.3634,0.06,0.02,-,-,-,,-,-,-,,,-,-,-,,-,-,-,43.3528,0.08,0,-,-,-,-,-,,-,-,,-,-,-,43.3529,0.08,0.02,-,-,-,-,-,,-,-,,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,TESTRANO 600,DA212X,4/19/2019,25.5,,,68,,0.08,0.02,-,-,-,-,-,-,0.06,0.02,0.08,0,0.08,0.02,-,-,-,-,-,-,-,,-,,-,,-,,-,,-,
