serial,date,H1_tap_max_ratio,H1_max_err,H1_max_phd,H1_tap_cen_ratio,H1_cen_err,H1_cen_phd,H1_tap_min_ratio,H1_min_err,H1_min_phd,H1_tap_N1,H1_tap_rate_N1,H1_ratio1,H1_err1,H1_phd1,H1_tap_N2,H1_tap_rate_N2,H1_ratio2,H1_err2,H1_phd2,H2_tap_max_ratio,H2_max_err,H2_max_phd,H2_tap_cen_ratio,H2_cen_err,H2_cen_phd,H2_tap_min_ratio,H2_min_err,H2_min_phd,H2_ratio1,H2_err1,H2_phd1,H2_ratio2,H2_err2,H2_phd2,H3_tap_max_ratio,H3_max_err,H3_max_phd,H3_tap_cen_ratio,H3_cen_err,H3_cen_phd,H3_tap_min_ratio,H3_min_err,H3_min_phd,H3_ratio1,H3_err1,H3_phd1,H3_ratio2,H3_err2,H3_phd2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR,MAXDEV,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,Object18,Object19,Object20,Object21,Object22,Object23,Object24,Object25,Object26,Object27,Object28,Object29,Object30
20083122TIC008,11/27/2019,4.62,0.37,0,4.22,0.1,0.24,3.78,0.37,0.26,,-,-,-,-,,-,-,-,-,4.62,0.37,0.22,4.21,0.13,0.24,3.79,0.11,0,-,-,-,-,-,-,4.63,0.15,0.22,4.22,0.1,0,3.79,0.11,0.26,-,-,-,-,-,-,191050217,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,,30,36,,,0.37,0.26,0.37,0,0.37,0.22,0.15,0.22,0.1,0.24,0.13,0.24,0.1,0,0.37,0.26,0.11,0,0.11,0.26,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC008,1/11/2022,4.64,0.06,0.39,4.229,0.32,0.08,3.8012,0.19,0.43,-,-,-,-,-,-,-,-,-,-,4.622,0.33,0.02,4.2257,0.24,0.28,3.7849,0.24,0.06,-,-,-,-,-,-,4.623,0.3,0.37,4.2138,0.04,0.36,3.7828,0.3,0.49,-,-,-,-,-,-,221001520,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,8/27/2021,35,35,35,58,,0.33,0.49,0.18,0.5,0.32,0.02,0.3,0.48,0.32,0.08,0.24,0.28,0.04,0.36,0.19,0.43,0.24,0.06,0.3,0.49,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC008,6/6/2023,4.636,0.02,0.04,4.214,0.04,0.02,3.792,0.05,0.03,-,-,-,-,-,-,-,-,-,-,4.634,0.07,0.02,4.213,0.06,0.02,3.791,0.08,0,-,-,-,-,-,-,4.633,0.09,0.06,4.212,0.09,0.05,3.791,0.08,0.03,-,-,-,-,-,-,30000002043,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,CA635A,3/9/2023,30,32,32,60,,0.09,0.06,0.02,0.04,0.07,0.02,0.09,0.06,0.04,0.02,0.06,0.02,0.09,0.05,0.05,0.03,0.08,0,0.08,0.03,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC008,2/21/2025,4.625,0.26,0.29,4.2243,0.21,0.16,3.7968,0.07,0.39,,,,,,,,,,,4.6382,0.02,0.11,4.2176,0.05,0.09,3.782,0.32,0.27,,,,,,,4.6435,0.14,0.4,4.2137,0.05,0.25,3.7922,0.05,0.12,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,32,30,30,60,,0.32,0.4,0.26,0.29,0.02,0.11,0.14,0.4,0.21,0.16,0.05,0.09,0.05,0.25,0.07,0.39,0.32,0.27,0.05,0.12,,,,,,,,,,,,
225307,9/8/2023,3.105,0.03,0,2.76,0.04,0,2.553,0.04,0,,,,,,,,,,,3.105,0.03,0,2.76,0.04,0,2.553,0.04,0,,,,,,,3.105,0.03,0,2.76,0.04,0,2.553,0.04,0,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Ratio meter Megger/TRAX-220,1800333,,34,34,34,50,SAT,0.04,0,0.03,0,0.03,0,0.03,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,,,,,,,,,,,,
225309,9/11/2023,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,,,,,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,34,34,34,49,SAT,0.17,0,0.17,0,0.17,0,0.17,0,0.04,0,0.04,0,0.04,0,0.11,0,0.11,0,0.11,0,,,,,,,,,,,,
225310,9/8/2023,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,,,,,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,29.93,0.17,0,28.47,0.04,0,27,0.11,0,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,36,36,36,45,SAT,0.17,0,0.17,0,0.17,0,0.17,0,0.04,0,0.04,0,0.04,0,0.11,0,0.11,0,0.11,0,,,,,,,,,,,,
243597801,10/21/2014,,,,-,-,-,,,,5-Mar,17.022,17.017,0.03,0.01,,,,,,,,,-,-,-,,,,17.015,0.04,0,,,,,,,-,-,-,,,,17.015,0.04,0.01,,,,-,Mr Anusit Sara,,"TIS Engineering&Service Co.,Ltd.",,Raytech/Spymark III,314-151,,30,-,-,62,,0.04,0.01,,,,,,,0.09,0.01,0.07,0,0.07,0.01,,,,,,,,,,,,,,,,,,
243597801,11/6/2015,,,,-,-,-,,,,5-Mar,17.022,17.015,0.04,0.01,,,,,,,,,-,-,-,,,,17.014,0.05,0.03,,,,,,,-,-,-,,,,17.019,0.02,0.02,,,,-,Mr.Chaiyasit Junchay,,"TIS Engineering&Service Co.,Ltd.",GLOW SPP2,Raytech/Spymark III,314-151,,28,-,-,48,,0.05,0.03,,,,,,,0.12,0.05,0.07,0.03,0.1,0.02,,,,,,,,,,,,,,,,,,
243597801,8/29/2018,,,,,,,,,,D-F,17.0024,17.0061,0.02,0,,,,,,,,,,,,,,,17.006,0.02,0,,,,,,,,,,,,,17.0059,0.02,0,,,,,Mr Chaichaleom Waihor,Mr Primchart Promkhandee,"TIS Engineering and Service co., Ltd",ENGIE GLOW,TESTRANO 600,DA212X,4/19/2018,25,-,32,58,,0.02,0,,,,,,,,,,,,,,,,,,,0.02,0,0.02,0,0.02,0,,,,,,
243597802,10/9/2015,-,-,-,-,-,-,-,-,-,5-Mar,17.022,17.019,0.02,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.013,0.05,0.02,-,-,-,-,-,-,-,-,-,-,-,-,17.016,0.04,0.02,-,-,-,-,Mr.Chaiyasit Junchay,Mr.Somporn Duangprom,TIS,GLOW,Raytech/Spymark III,314151,,-,-,-,-,,0.05,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.04,0.05,0.02,0.04,0.02,-,-,-,-,-,-
243597802,8/28/2018,-,-,-,-,-,-,-,-,-,D-F,17.0024,17.01,0.04,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0088,0.04,0.02,-,-,-,-,-,-,-,-,-,-,-,-,17.0057,0.02,0.03,-,-,-,-,Mr.Chaichaleom Waihor,Pimchart P.,TIS,GLOW,TESTRANO 600,DA212X,4/19/2018,27,-,27,53,,0.04,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.01,0.04,0.02,0.02,0.03,-,-,-,-,-,-
3011080055,6/7/2013,3.8044,0.04,0,3.6222,0.01,0,3.4403,0.01,0,20,,3.7133,,,4,,3.5313,,,3.8045,0.04,0.01,3.6222,0.01,0,3.4403,0.01,0,3.7133,,,3.5314,,,3.8043,0.03,0,3.6221,0,0,3.4403,0.01,0,3.7133,,,3.5313,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011080055,6/7/2013,3.8044,0.04,0,3.6222,0.01,0,3.44,0,0,-,-,-,-,-,-,-,-,-,-,3.8045,0.04,0.01,3.6222,0.01,0,3.44,0,0,-,-,-,-,-,-,3.8043,0.03,0,3.6221,0,0,3.44,0,0,-,-,-,-,-,-,-,Mr. Nipon Boonnako,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark II,283180,,32,-,-,68,,0.04,0.01,0.04,0,0.04,0.01,0.03,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3011080055,1/9/2017,-,-,-,3.6218,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.622,0,0.01,-,-,-,-,-,-,-,-,-,-,-,-,3.6222,0.01,0.01,-,-,-,-,-,-,-,-,-,-,Mr. Anusit Sara,Mr.Kritsada Kraisomdee,"TIS Engineering and Service Co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,3/5/2016,34,32,32,68,,0.01,0.01,-,-,-,-,-,-,0.01,0.01,0,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3011080055,1/8/2019,-,-,-,3.6224,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.6219,0,0,-,-,-,-,-,-,-,-,-,-,-,-,3.6219,0,0.01,-,-,-,-,-,-,-,-,-,-,Mr. Tanasak Kunnam,Mr. jakkit Chaiwongwaranon,"TIS Engineering and Service Co., Ltd",GHECO ONE,testrano 600,DA212X,4/19/2018,33,32,32,65,,0.01,0.01,-,-,-,-,-,-,0.01,0.01,0,0,0,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3011080055,1/23/2023,-,-,-,3.622,0,0,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,3.622,0,0.03,-,-,-,-,-,-,-,-,-,-,-,-,3.621,0.03,0.03,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,CA635A,2/26/2022,32,35,35,42,,0.03,0.03,-,-,-,-,-,-,0,0,0,0.03,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3011080055,1/16/2026,-,-,-,3.621,0.03,0,-,-,-,,,,,,,,,,,-,-,-,3.621,0.03,0,-,-,-,,,,,,,-,-,-,3.621,0.03,0,-,-,-,,,,,,,,,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,CH158W,11/12/2024,,,,,,0.03,0,-,-,-,-,-,-,0.03,0,0.03,0,0.03,0,-,-,-,-,-,-,,,,,,,,,,,,
3011080056,6/1/2013,3.44,0.01,0,3.622,0.01,0,3.804,0.04,0,2,3.7121,3.713,0.02,0,4,3.531,3.531,0,0,3.44,0.01,0,3.622,0.01,0,3.804,0.04,0,3.713,0.02,0,3.531,0,0,3.44,0.01,0,3.622,0.01,0,3.804,0.04,0,3.713,0.02,0,3.531,0,0,,,,,,Ratect TR.Spy mark II,,,32,,,68,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011080056,1/9/2017,-,-,-,3.622,0,0,-,-,-,,,,,,,,,,,-,-,-,3.622,0,0,-,-,-,,,,29900,,,-,-,-,3.622,0,0,-,-,-,,,,,,,-,Mr. Anusit Sara,Mr.Kritsada Kraisomdee,"TIS Engineering and Service Co., Ltd",GHECO ONE,Raytech / SPY Mark III,314151,3/5/2016,34,32,32,68,,0,0,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,,,,,,,,,,,,
3011080056,1/8/2019,,,,3.6231,0.03,0.02,,,,,,,,,,,,,,,,,3.6225,0.01,0.01,,,,,,,,,,,,,3.6223,0.01,0.02,,,,,,,,,,,Chaichalerm,Jirasak S.,TIS,Glow-CMT,TESTRANO 600,DA212X,3/19/2018,31,31,30,62,,0.03,0.02,,,,,,,0.03,0.02,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,
331000H508_8727I,11/14/2012,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.022,0.12,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.02,0.11,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.022,0.12,0,-,-,-,-,Mr.Nipon Boonnako,,TIS,,Raytech/Spymark III,-,2/7/2012,-,-,-,-,,0.12,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,0.01,0.11,0.01,0.12,0,-,-,-,-,-,-
331000H508_8727I,6/3/2016,-,-,-,-,-,-,-,-,-,3-Feb,17,17.001,0.01,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.009,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.01,0.06,0.05,-,-,-,-,Anusit S.,Mr Teerasak Wanthong,TIS,GLOW,Raytech/Spymark III,314151,3/16/2016,28,-,-,48,,0.06,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.05,0.05,0.01,0.06,0.05,-,-,-,-,-,-
331000H508_8727I,12/1/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.01,0.05,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.01,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.012,0.06,0.01,-,-,-,-,Mr.Chaichaleom Waihor,Mr Teerasak Wanthong,TIS,GLOW,Raytech/Spymark III,314151,3/1/2017,26,-,-,51,,0.06,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0,0.05,0.01,0.06,0.01,-,-,-,-,-,-
331000H509_8727J,6/13/2017,,,,,,,,,,3-Feb,17.0024,17.02,0.1,0.02,,,,,,,,,,,,,,,17.016,0.08,0,,,,,,,,,,,,,17.016,0.08,0.02,,,,-,Mr Anusit Sara,Mr teerasak Wanthong,"TIS Engineering&Service Co.,Ltd.",ENGIE GLOW,Raytech / SPY Mark III,314-151,3/1/2017,25,-,-,49,,0.1,0.02,,,,,,,,,,,,,,,,,,,0.1,0.02,0.08,0,0.08,0.02,,,,,,
332152H501_8727C,11/10/2012,,,,,,,,,,3-Feb,17.0024,17.016,0.08,0.02,,,,,,,,,,,,,,,17.012,0.06,0.02,350000,,,,,,,,,,,,17.015,0.07,0.01,,,,-,Mr Nipon Boonnako,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,-,,27,-,-,49,,0.08,0.02,,,,,,,,,,,,,,,,,,,0.08,0.02,0.06,0.02,0.07,0.01,,,,,,
332152H501_8727C,11/29/2017,,,,,,,,,,3-Feb,17.002,17.008,0.04,0,,,,,,,,,,,,,,,17.008,0.04,0.01,327000,,,,,,,,,,,,17.01,0.05,0.01,,,,-,Mr. Chaichaleom Waihor,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314-151,3/1/2017,24,-,-,66,,0.05,0.01,,,,,,,,,,,,,,,,,,,0.04,0,0.04,0.01,0.05,0.01,,,,,,
332162H5018727A,6/17/2015,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.017,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.013,0.06,0.02,-,-,-,-,-,-,-,-,-,-,-,-,17.016,0.08,0.01,-,-,-,-,Panpong I.,,TIS,,Raytech/Spymark III,314151,,26,-,-,42,,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.02,0.06,0.02,0.08,0.01,-,-,-,-,-,-
332162H5018727A,6/9/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.001,0.01,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.015,0.08,0.01,-,,-,-,-,-,-,-,-,-,-,-,17.016,0.08,0.09,-,-,-,,Anusit S.,Mr Teerasak Wanthong,TIS,GLOW,Raytech/Spymark III,314151,3/1/2017,26,-,-,47,,0.08,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.08,0.08,0.01,0.08,0.09,-,-,,-,-,-
332162H501_8727B,6/18/2015,-,-,-,-,-,-,-,-,-,3-Feb,17.022,17.007,0.09,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.007,0.09,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.008,0.08,0.01,-,-,-,-,Mr. Panpong Injina,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,314151,,25,-,-,58,,0.09,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0,0.09,0.01,0.08,0.01,-,-,-,-,-,-
332162H501_8727B,6/12/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.001,0.01,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.005,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.007,0.03,0.04,-,-,-,-,Mr. Anusit Sara,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,3/1/2017,25,-,-,48,,0.03,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.02,0.01,0.03,0.04,-,-,-,-,-,-
332162H501_8727D,11/14/2012,,,,,,,,,,3-Feb,17.002,17.03,0.16,0.03,,,,,,,,,,,,,,,17.025,0.14,0.02,,,,,,,,,,,,,17.029,0.16,0.01,,,,-,Mr.Nipon Boonnako,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,-,2/7/2012,27,-,-,49,,0.16,0.03,,,,,,,,,,,,,,,,,,,0.16,0.03,0.14,0.02,0.16,0.01,,,,,,
332162H501_8727D,5/7/2016,,,,,,,,,,3-Feb,17,17.027,0.16,0.02,,,,,,,,,,,,,,,17.023,0.14,0.02,,,,,,,,,,,,,17.026,0.15,0.01,,,,-,Mr. Anusit Sara,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,3/16/2016,25,-,-,47,,0.16,0.02,,,,,,,,,,,,,,,,,,,0.16,0.02,0.14,0.02,0.15,0.01,,,,,,
332162H501_8727D,11/30/2017,,,,,,,,,,3-Feb,17.002,17.01,0.05,0.02,,,,,,,,,,,,,,,17.013,0.06,0.01,327000,,,,,,,,,,,,17.014,0.07,0.02,,,,-,Mr. Chaichaleom Waihor,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314-151,3/1/2017,26,-,-,49,,0.07,0.02,,,,,,,,,,,,,,,,,,,0.05,0.02,0.06,0.01,0.07,0.02,,,,,,
332162H501_8727E,9/6/2014,,,,,,,,,,3-Feb,17.002,17.01,0.05,0.02,,,,,,,,,,,,,,,17.007,0.03,0.01,,,,,,,,,,,,,17.009,0.04,0.01,,,,-,Mr. narongchai Singngoi,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark II,283180,,26,-,-,55,,0.05,0.02,,,,,,,,,,,,,,,,,,,0.05,0.02,0.03,0.01,0.04,0.01,,,,,,
332162H501_8727E,6/16/2015,,,,,,,,,,3-Feb,17.022,17.019,0.02,0.03,,,,,,,,,,,,,,,17.014,0.05,0.01,,,,,,,,,,,,,17.016,0.04,0.02,,,,-,Mr. Panpong Injina,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,314151,,26,-,-,42,,0.05,0.03,,,,,,,,,,,,,,,,,,,0.02,0.03,0.05,0.01,0.04,0.02,,,,,,
332162H501_8727E,6/8/2017,,,,,,,,,,3-Feb,17.002,17.02,0.11,0.04,,,,,,,,,,,,,,,17.013,0.06,0.02,327000,,,,,,,,,,,,17.016,0.08,0.02,,,,-,Mr. Anusit Sara,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,3/1/2017,25,-,-,56,,0.11,0.04,,,,,,,,,,,,,,,,,,,0.11,0.04,0.06,0.02,0.08,0.02,,,,,,
332162H502_8727F,9/6/2014,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.01,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.009,0.04,0,-,-,-,-,-,-,-,-,-,-,-,-,17.009,0.04,0.01,-,-,-,-,Mr. Narongchai Singngoi,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark II,283180,,25,-,-,58,,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.01,0.04,0,0.04,0.01,-,-,-,-,-,-
332162H502_8727F,6/19/2015,,,,,,,,,,3-Feb,17.022,17.025,0.02,0.02,,,,,,,,,,,,,,,17.021,0.01,0.01,,,,,,,,,,,,,17.023,0.01,0.01,,,,-,Mr. Panpong Injina,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,314151,,26,-,-,42,,0.02,0.02,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,
332162H502_8727F,6/12/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.013,0.06,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.009,0.04,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.01,0.05,0.02,-,-,-,-,Mr. Anusit Sara,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,,26,-,-,46,,0.06,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,0.02,0.04,0.01,0.05,0.02,-,-,-,-,-,-
332162H502_8727G,11/11/2012,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.016,0.08,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.011,0.05,0.02,-,-,-,-,-,-,-,-,-,-,-,-,17.015,0.08,0.01,-,-,-,-,Mr. Nipon Boonnako,-,"TIS Engineering and Service Co., Ltd",-,Raytech / SPY Mark III,-,2/7/2012,27,-,-,49,,0.08,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.03,0.05,0.02,0.08,0.01,-,-,-,-,-,-
332162H502_8727G,5/9/2016,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.01,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.008,0.04,0.01,-,-,-,-,-,-,-,-,-,-,-,-,17.01,0.05,0,-,-,-,-,Mr. Anusit Sara,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,3/16/2016,25,-,-,47,,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.01,0.04,0.01,0.05,0,-,-,-,-,-,-
332162H502_8727G,11/30/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.002,0,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.005,0.02,0,-,-,-,-,-,-,-,-,-,-,-,-,17.005,0.02,0.02,-,-,-,-,Mr. Chaichaleom Waihor,Mr Teerasak Wanthong,"TIS Engineering and Service Co., Ltd",ENGIE GLOW,Raytech / SPY Mark III,314151,3/1/2017,26,-,-,59,,0.02,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.02,0.02,0,0.02,0.02,-,-,-,-,-,-
332162H502_8727H,12/1/2017,-,-,-,-,-,-,-,-,-,3-Feb,17.002,17.011,0.05,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.006,0.02,0.02,2020000,,-,-,-,-,-,-,-,-,-,-,17.01,0.05,0.01,-,-,-,-,Chaichaleom W.,Teerasak W.,TIS,GLOW,Raytech/Spymark III,314151,3/1/2017,25,-,-,62,,0.05,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.03,0.02,0.02,0.05,0.01,-,-,,-,-,-
3710737,6/14/2012,100.03,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,100.02,0,0,-,-,-,-,-,-,-,-,-,-,-,,100.02,0,0.01,-,-,-,-,-,-,-,-,-,-,-,,-,Nipon B.,,TIS,,Variac/Fulke 189,-,5/23/2012,-,-,-,-,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710737,11/22/2016,100.12,0.1,0.1,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,100.02,0,0.01,-,-,-,-,-,-,-,-,-,-,-,-,100.03,0.01,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,Chanin S.,TIS,GLOW,Raytech/Spymark III,314151,3/16/2016,32,50,-,58,,0.1,0.1,0.1,0.1,0,0.01,0.01,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3710737,2/5/2021,100.027,0,0,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,100.027,0,0,-,-,-,-,-,-,-,-,-,-,-,-,100.032,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,201007518,Mr.Jirasak Suksakun,,NHT/NRV,,TESTRANO 600,DA193X,2/16/2018,30,29,29,41,,0.01,0,0,0,0,0,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3710738,7/11/2012,100.04,0.02,0.26,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,100.3,0.28,0.25,-,-,-,-,-,-,-,-,-,-,-,-,100.05,0.03,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,,TIS,,Raytech/Spymark III,-,2/7/2012,-,-,-,-,,0.28,0.26,0.02,0.26,0.28,0.25,0.03,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3710738,11/22/2016,100.023,0,0,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,100.02,0,0.01,-,-,-,-,-,-,-,-,,-,-,,100.03,0.01,0.01,-,-,-,-,-,-,-,-,,-,-,,-,Anusit S.,Chanin S.,TIS,GLOW,Raytech/Spymark III,314151,3/16/2016,32,50,-,58,,0.01,0.01,0,0,0,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,,-,,-,
3710738,10/8/2020,100.03,,,-,,,-,,,-,-,-,-,-,-,-,-,-,-,100.03,,,-,,,-,,,-,-,-,-,-,-,100.03,,,-,,,-,,,-,-,-,-,-,-,201007512,Mr.Jirasak S.,,NHT/NRV,,TESTRANO 600,DA193X,2/16/2018,26,34,34,70,,0,0,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
3710738,10/28/2020,100.027,0,0,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,100.027,0,0,-,-,-,-,-,-,-,-,-,-,-,-,100.027,0,0,-,-,-,-,-,-,-,-,-,-,-,-,201007512,Mr.Jirasak S.,,NHT/NRV,,TESTRANO 600,Da193X,2/16/2018,26,34,34,70,Fix tap in Tap 1.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
