Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
PP0084B01,2025-11-05 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,46,,,30740,95114,101,41,177,30,5,31,4,1,1,88.3,6.1,0.001,0.333,NORMAL,30740,95114,101,41,177,30,5,31,4,1,1,88.3,6.1,0.001,0.333,NORMAL,30740,95114,101,41,177,30,5,31,4,1,1,88.3,6.1,0.001,0.333,NORMAL
PP0102B01,2025-11-05 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,46,,,26454,80384,105,62,137,29,11,51,51,4,30,93.9,5.2,0.101,0.236,NORMAL,26454,80384,105,62,137,29,11,51,51,4,30,93.9,5.2,0.101,0.236,NORMAL,26454,80384,105,62,137,29,11,51,51,4,30,93.9,5.2,0.101,0.236,NORMAL
5513053,2025-10-17 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,44,,,15784,56904,178,72,20,13,0,13,1,4,0,81.5,7.5,0,0.245,NORMAL,15784,56904,178,72,20,13,0,13,1,4,0,81.5,7.5,0,0.245,NORMAL,15784,56904,178,72,20,13,0,13,1,4,0,81.5,7.5,0,0.245,NORMAL
TP70279703,2025-10-16 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,62,,,9274,58090,267,181,9570,5803,3987,7350,5109,895,132,75.8,7.1,0.001,0.057,NORMAL,7152,56472,156,88,14805,8735,1978,11615,8213,936,148,69.8,7.4,0.001,0.061,NORMAL,5677,3881,87,47,19027,10329,283,13418,12694,817,162,87.7,6.6,0.001,0.131,NORMAL
54001,2025-10-08 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,42,,,33279,70102,1164,103,193,16,145,21,1,5,0,60.6,21.9,0.008,0.489,NORMAL,33279,70102,1164,103,193,16,145,21,1,5,0,60.6,21.9,0.008,0.489,NORMAL,33279,70102,1164,103,193,16,145,21,1,5,0,60.6,21.9,0.008,0.489,NORMAL
6310534,2025-10-06 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,62,,,34767,107654,1885,298,167,35,145,25,1,7,0,65.6,14.2,0.007,0.130,NORMAL,34767,107654,1885,298,167,35,145,25,1,7,0,65.6,14.2,0.007,0.130,NORMAL,34767,107654,1885,298,167,35,145,25,1,7,0,65.6,14.2,0.007,0.130,NORMAL
6310535,2025-10-06 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,62,,,29654,97481,2365,391,337,70,452,78,3,13,1,49.1,14.1,0.017,0.459,NORMAL,29654,97481,2365,391,337,70,452,78,3,13,1,49.1,14.1,0.017,0.459,NORMAL,29654,97481,2365,391,337,70,452,78,3,13,1,49.1,14.1,0.017,0.459,NORMAL
6310536,2025-10-06 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,66,,,33862,107972,2200,400,242,48,202,34,1,7,0,41.9,15.4,0.006,0.139,NORMAL,33862,107972,2200,400,242,48,202,34,1,7,0,41.9,15.4,0.006,0.139,NORMAL,33862,107972,2200,400,242,48,202,34,1,7,0,41.9,15.4,0.006,0.139,NORMAL
6310537,2025-10-06 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,60,,,29450,87170,1881,301,159,42,205,38,1,8,0,41.8,13.0,0.007,0.228,NORMAL,29450,87170,1881,301,159,42,205,38,1,8,0,41.8,13.0,0.007,0.228,NORMAL,29450,87170,1881,301,159,42,205,38,1,8,0,41.8,13.0,0.007,0.228,NORMAL
225307,2025-09-25 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,38,,,30500,105221,461,60,992,47,613,51,0,4,0,61.8,16.1,0.010,0.507,NORMAL,30500,105221,461,60,992,47,613,51,0,4,0,61.8,16.1,0.010,0.507,NORMAL,30500,105221,461,60,992,47,613,51,0,4,0,61.8,16.1,0.010,0.507,NORMAL
225308,2025-09-25 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,40,,,34412,128491,555,67,859,40,515,47,0,4,0,73.1,8.8,0.004,0.144,NORMAL,34412,128491,555,67,859,40,515,47,0,4,0,73.1,8.8,0.004,0.144,NORMAL,34412,128491,555,67,859,40,515,47,0,4,0,73.1,8.8,0.004,0.144,NORMAL
6512362,2025-09-25 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,58,,,26959,105197,2324,380,106,12,0,3,1,1,0,92.7,12.8,0.0,0.026,NORMAL,26959,105197,2324,380,106,12,0,3,1,1,0,92.7,12.8,0.0,0.026,NORMAL,26959,105197,2324,380,106,12,0,3,1,1,0,92.7,12.8,0.0,0.026,NORMAL
6512363,2025-09-25 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,60,,,23755,88961,2514,402,105,3,0,3,1,1,0,55.0,14.7,0.0,0.057,NORMAL,23755,88961,2514,402,105,3,0,3,1,1,0,55.0,14.7,0.0,0.057,NORMAL,23755,88961,2514,402,105,3,0,3,1,1,0,55.0,14.7,0.0,0.057,NORMAL
