Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
EDP008001,2024-09-10 00:00:00,,Chayaporn S.,,HITACHI,,,,,,58,,,10285,64130,175,13,1869,142,21,7,8,6,2,88.1,10.3,0.0,0.1,NORMAL,10285,64130,175,13,1869,142,21,7,8,6,2,88.1,10.3,0.0,0.1,NORMAL,10285,64130,175,13,1869,142,21,7,8,6,2,88.1,10.3,0.0,0.1,NORMAL
EDP011601,2024-09-10 00:00:00,,Chayaporn S.,,HITACHI,,,,,,66,,,12696,71535,133,11,203,33,1,1,1,5,1,59.4,4.6,0.0,0.114,NORMAL,12696,71535,133,11,203,33,1,1,1,5,1,59.4,4.6,0.0,0.114,NORMAL,12696,71535,133,11,203,33,1,1,1,5,1,59.4,4.6,0.0,0.114,NORMAL
PTE 1689/02,2024-09-02 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,,,,,,,,9082,74114,529,285,15637,1009,7781,975,40,0,42,69.8,25.4,-,-,NORMAL,10733,59263,524,247,13460,805,6434,788,33,0,35,70.9,25.5,-,-,NORMAL,10579,51128,565,199,11667,738,5699,677,27,0,31,69.1,30,-,-,NORMAL
5000574,2024-07-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912019,2024-06-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912020,2024-06-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,2024-05-21 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-05-21 00:00:00,,41,,,37623,81722,365,41,52,11,107,13,0,3,1,51.4,25.9,0.009,0.613,NORMAL,37623,81722,365,41,52,11,107,13,0,3,1,51.4,25.9,0.009,0.613,NORMAL,37623,81722,365,41,52,11,107,13,0,3,1,51.4,25.9,0.009,0.613,NORMAL
6310534,2024-05-21 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-05-21 00:00:00,,64,,,42462,104112,527,143,63,34,204,25,1,4,1,56.3,15.8,0.013,0.190,NORMAL,42462,104112,527,143,63,34,204,25,1,4,1,56.3,15.8,0.013,0.190,NORMAL,42462,104112,527,143,63,34,204,25,1,4,1,56.3,15.8,0.013,0.190,NORMAL
6310535,2024-05-21 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-05-21 00:00:00,,63,,,40716,100332,638,161,152,73,659,82,8,21,1,62.1,16.1,0.008,0.275,NORMAL,40716,100332,638,161,152,73,659,82,8,21,1,62.1,16.1,0.008,0.275,NORMAL,40716,100332,638,161,152,73,659,82,8,21,1,62.1,16.1,0.008,0.275,NORMAL
6110201,2024-05-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart,Hitachi Energy,GPSC,,,2024-05-10 00:00:00,,52,,,28189,64479,1252,285,41,13,3,6,0,2,1,74.8,22.7,0.057,1.638,NORMAL,28189,64479,1252,285,41,13,3,6,0,2,1,74.8,22.7,0.057,1.638,NORMAL,28189,64479,1252,285,41,13,3,6,0,2,1,74.8,22.7,0.057,1.638,NORMAL
6110202,2024-05-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart,Hitachi Energy,GPSC,,,2024-05-10 00:00:00,,40,,,20923,59197,1034,263,2114,139,1430,166,29,35,9,71.1,15.7,0.028,0.708,NORMAL,20923,59197,1034,263,2114,139,1430,166,29,35,9,71.1,15.7,0.028,0.708,NORMAL,20923,59197,1034,263,2114,139,1430,166,29,35,9,71.1,15.7,0.028,0.708,NORMAL
6110203,2024-05-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart,Hitachi Energy,GPSC,,,2024-05-10 00:00:00,,42,,,29049,65838,766,51,112,40,1127,182,23,10,6,59.1,23.2,0.097,2.228,NORMAL,29049,65838,766,51,112,40,1127,182,23,10,6,59.1,23.2,0.097,2.228,NORMAL,29049,65838,766,51,112,40,1127,182,23,10,6,59.1,23.2,0.097,2.228,NORMAL
PP0158B01,2024-05-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart,Hitachi Energy,GPSC,,,2024-05-10 00:00:00,,53,,,11216,59034,58,70,567,124,85,336,136,19,49,90.5,6.9,0.007,0.087,NORMAL,11216,59034,58,70,567,124,85,336,136,19,49,90.5,6.9,0.007,0.087,NORMAL,11216,59034,58,70,567,124,85,336,136,19,49,90.5,6.9,0.007,0.087,NORMAL
PP0181B01,2024-05-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart,Hitachi Energy,GPSC,,,2024-05-10 00:00:00,,46,,,21481,61910,50,35,65,11,6,9,1,1,6,86.1,3.5,0.002,0.075,NORMAL,21481,61910,50,35,65,11,6,9,1,1,6,86.1,3.5,0.002,0.075,NORMAL,21481,61910,50,35,65,11,6,9,1,1,6,86.1,3.5,0.002,0.075,NORMAL
4912021,2024-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0102B01,2024-05-02 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-05-02 00:00:00,,54,,,17485,58633,64,57,155,50,14,50,76,9,40,80.3,3.8,0.003,0.236,NORMAL,17485,58633,64,57,155,50,14,50,76,9,40,80.3,3.8,0.003,0.236,NORMAL,17485,58633,64,57,155,50,14,50,76,9,40,80.3,3.8,0.003,0.236,NORMAL
4811735,2024-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110022,2024-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0174B01,2024-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4612314,2024-04-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-10 00:00:00,,50,,,14850,31691,626,40,31,7,192,30,5,13,3,64.9,13.1,0.051,2.33,NORMAL,14850,31691,626,40,31,7,192,30,5,13,3,64.9,13.1,0.051,2.33,NORMAL,14850,31691,626,40,31,7,192,30,5,13,3,64.9,13.1,0.051,2.33,NORMAL
510049,2024-04-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-10 00:00:00,,70,,,14946,58417,963,235,9633,652,4442,563,17,0,19,71.2,20.0,0.002,0.18,NORMAL,,58417,963,235,9633,652,4442,563,17,0,19,71.2,20.0,0.002,0.18,NORMAL,,58417,963,235,9633,652,4442,563,17,0,19,71.2,20.0,0.002,0.18,NORMAL
PTE 1689/02,2024-04-10 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-10 00:00:00,,50,,,10579,51128,565,199,11667,738,5699,677,27,0,31,66.6,30.3,-,-,NORMAL,10579,51128,565,199,11667,738,5699,677,27,0,31,66.6,30.3,-,-,NORMAL,10579,51128,565,199,11667,738,5699,677,27,0,31,66.6,30.3,-,-,NORMAL
667001,2024-04-09 00:00:00,,Aekapong K.,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,LR24I0460,Before Factory Accept Test,2024-04-09 00:00:00,,,,,14957,14957,194,6,2,0,0,0,0,0,0,53.4,14.4,-,-,NORMAL,8705,24859,128,3,4,0,0,0,0,0,0,70.4,13.4,-,-,NORMAL,8705,24859,128,3,4,0,0,0,0,0,0,70.4,13.4,-,-,NORMAL
508038,2024-04-02 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-02 00:00:00,,74,,,42729,92437,271,19,6,3,35,4,0,1,1,57.6,20.0,0.004,0.279,NORMAL,42729,92437,271,19,6,3,35,4,0,1,1,57.6,20.0,0.004,0.279,NORMAL,42729,92437,271,19,6,3,35,4,0,1,1,57.6,20.0,0.004,0.279,NORMAL
54002,2024-04-02 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-02 00:00:00,,55,,,26547,62008,140,5,4,1,8,1,0,26,0,53.3,14.7,0.134,8.439,NORMAL,26547,62008,140,5,4,1,8,1,0,26,0,53.3,14.7,0.134,8.439,NORMAL,26547,62008,140,5,4,1,8,1,0,26,0,53.3,14.7,0.134,8.439,NORMAL
6310536,2024-04-01 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-01 00:00:00,,66,,,39662,105477,604,192,220,43,265,31,2,14,2,44.7,9.8,0.008,0.136,NORMAL,39662,105477,604,192,220,43,265,31,2,14,2,44.7,9.8,0.008,0.136,NORMAL,39662,105477,604,192,220,43,265,31,2,14,2,44.7,9.8,0.008,0.136,NORMAL
6310537,2024-04-01 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-04-01 00:00:00,,55,,,41835,101819,480,137,91,42,321,40,3,8,1,44.7,18.7,0.015,0.308,NORMAL,41835,101819,480,137,91,42,321,40,3,8,1,44.7,18.7,0.015,0.308,NORMAL,41835,101819,480,137,91,42,321,40,3,8,1,44.7,18.7,0.015,0.308,NORMAL
4710348,2024-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011858,2024-02-19 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-02-19 00:00:00,,55,,,46787,101558,781,68,134,91,1507,261,21,2,21,26.9,22.4,0.005,0.38,NORMAL,46787,101558,781,68,134,91,1507,261,21,2,21,26.9,22.4,0.005,0.38,NORMAL,46787,101558,781,68,134,91,1507,261,21,2,21,26.9,22.4,0.005,0.38,NORMAL
9724074,2024-02-14 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-02-14 00:00:00,,55,,,37512,83895,924,134,95,50,945,215,27,0,17,67.6,21.4,0.004,0.67,NORMAL,37512,83895,924,134,95,50,945,215,27,0,17,67.6,21.4,0.004,0.67,NORMAL,37512,83895,924,134,95,50,945,215,27,0,17,67.6,21.4,0.004,0.67,NORMAL
9724075,2024-02-14 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-02-14 00:00:00,,70,,,35574,81472,999,137,52,28,310,113,6,0,10,75.7,25.8,0.011,0.82,NORMAL,35574,81472,999,137,52,28,310,113,6,0,10,75.7,25.8,0.011,0.82,NORMAL,35574,81472,999,137,52,28,310,113,6,0,10,75.7,25.8,0.011,0.82,NORMAL
9724076,2024-02-14 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-02-14 00:00:00,,50,,,36871,87242,570,233,351,23,182,32,0,6,1,30.9,18.9,0.009,0.35,NORMAL,36871,87242,570,233,351,23,182,32,0,6,1,30.9,18.9,0.009,0.35,NORMAL,36871,87242,570,233,351,23,182,32,0,6,1,30.9,18.9,0.009,0.35,NORMAL
PTE 1689/03,2024-02-09 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,2024-00262,6M 2024,2024-02-09 00:00:00,,48,,,8599,70542,1149,514,15722,1279,9054,1279,60,0,58,42.5,33,-,-,NORMAL,13239,74618,1149,4999,12557,999,8005,1134,53,0,56,42,35,-,-,NORMAL,11904,76335,1170,526,14358,1103,8461,1185,56,0,56,61,30,-,-,NORMAL
PTE 1689/04,2024-02-09 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,2024-00277,6M 2024,2024-02-09 00:00:00,,,,,21205,80743,1018,308,6892,909,8088,1080,52,0,54,75,37,-,-,NORMAL,17792,80284,1218,308,11261,881,7283,982,46,0,46,75,36,-,-,NORMAL,18394,79368,114,388,10777,735,6431,899,43,0,42,75,38,-,-,NORMAL
TP70279703,2023-12-26 00:00:00,,Steve Eeckhoudt,Mr.Jirasak S.,LABORELEC,GPSC,LABORELEC,,2023-12-26 00:00:00,,,,,17000,54000,88,38,7300,3100,1380,750,570,-,-,80,4,0.001,0.003,NORMAL,6700,49000,50,42,18100,4400,1610,830,670,-,-,80,6,0.001,0.0002,NORMAL,8600,48000,51,25,14400,4700,1530,790,760,-,-,80,3,0.001,0.0002,NORMAL
4912022,2023-11-15 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi Energy,GPSC,2023-00319,12M,2023-11-15 00:00:00,,40,,,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL
4912022,2023-11-15 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,2023-00319,,2023-11-15 00:00:00,,40,,,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL,6477,18221,148,26,2355,56,848,50,0,6,1,66.5,20.1,0.006,0.284,NORMAL
4912023,2023-11-15 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi Energy,GPSC,2023-00321,12M,2023-11-15 00:00:00,,41,,,15964,63417,170,68,2665,84,1128,75,0,10,3,81.3,16.7,0.015,1.188,NORMAL,15964,63417,170,68,2665,84,1128,75,0,10,3,81.3,16.7,0.015,1.188,NORMAL,15964,63417,170,68,2665,84,1128,75,0,10,3,81.3,16.7,0.015,1.188,NORMAL
5000576,2023-11-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000577,2023-11-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0084B01,2023-11-13 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,202300227,,2023-11-13 00:00:00,,38,,,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL
PP0084B01,2023-11-13 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2023-11-13 00:00:00,,38,,,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL,12304,41537,59,23,68,15,3,13,2,3,2,95.5,6.3,0.012,0.350,NORMAL
PP0102B01,2023-11-13 00:00:00,,Chayaporn Somsriyo,Mr.Jirasak S.,Hitachi Energy,GPSC,202300229,,2023-11-13 00:00:00,,65,,,18644,72989,31,82,144,56,17,43,75,8,37,82.0,6.8,0.003,0.236,NORMAL,18644,72989,31,82,144,56,17,43,75,8,37,82.0,6.8,0.003,0.236,NORMAL,18644,72989,31,82,144,56,17,43,75,8,37,82.0,6.8,0.003,0.236,NORMAL
5000575,2023-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6512363,2023-09-14 00:00:00,,Mr. Danrongsak S.,,TIRATHAI,,,,,,36,,,,,,,,,,,,,,89.5,5.33,,,NORMAL,,,,,,,,,,,,89.5,5.33,,,NORMAL,,,,,,,,,,,,89.5,5.33,,,NORMAL
PTE 1689/01,2023-09-10 00:00:00,,Prawit Nakrob,Mr.Pimchart P.,Hitachi Energy,GPSC,,,,,,,,4790,28298,936,127,6149,386,1847,318,11,44,1,82.3,7,0.003,0.2,NORMAL,4790,28298,936,127,6149,386,1847,318,11,44,1,78.6,8,0.003,0.2,NORMAL,4790,28298,936,127,6149,386,1847,318,11,44,1,87.1,4,0.003,0.2,NORMAL
4912021,2023-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2023-06-27 00:00:00,,Kittisak S.,Mr.Jirasak S.,IEC,GPSC,IEC230213,3M#2,2023-06-27 00:00:00,,62,,,5339,40431,60,15,2782,142,36,19,6,3,1,76,5,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
ET8712/1,2023-06-26 00:00:00,,Ms.Benjawan S.,Mr.Jirasak S.,IEC,GPSC,IEC,,2023-06-26 00:00:00,,,,,4769,28071,742,106,334,28,176,38,2,8,1,60,29,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP004301,2023-06-21 00:00:00,,Kittisak S.,Mr.Jirasak S.,IEC,GPSC,IEC230213,3M#2,2023-06-21 00:00:00,-,50,-,-,3988,35684,218,341,1886,184,874,367,8,37,2,68,8,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PP0041B01,2023-06-21 00:00:00,,Boontarik Tangon,Mr.Jirasak S.,IEC,GPSC,IEC230213,3M#2,2023-06-21 00:00:00,,52,,,7252,31463,46,21,457,23,38,31,3,4,2,82,5,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
20083122TIC003,2023-06-13 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,64,,,23473,74777,1393,267,19,10,17,9,1,2,1,80,12,0.002,0.002,NORMAL,13846,72892,1425,356,37,12,19,10,1,2,1,80,12,0.003,0.003,NORMAL,14384,67104,1647,512,90,18,26,12,1,3,1,80,12,0.004,0.002,NORMAL
TP70279703,2023-05-16 00:00:00,,Boontarik T,,IEC,,IEC-0019,12M,,,,,,6610,42103,95,18,9136,990,385,228,247,68,9,75,6,-,-,NORMAL,6372,45624,90,18,10555,1103,445,251,317,72,9,84,5,-,-,NORMAL,5962,42452,99,16,8966,1104,401,225,345,63,9,88,7,-,-,NORMAL
6110201,2023-05-03 00:00:00,,Waraporn D.,,IEC,,,,,,,,,15154,104433,704,123,16,3,2,3,1,2,1,95,22,0,0,NORMAL,15154,104433,704,123,16,3,2,3,1,2,1,95,22,0,0,NORMAL,15154,104433,704,123,16,3,2,3,1,2,1,95,22,0,0,NORMAL
6110202,2023-05-03 00:00:00,,Waraporn D.,,IEC,,,,,,,,,12819,82824,762,157,1811,111,716,118,7,24,2,79,23,0,0,NORMAL,12819,82824,762,157,1811,111,716,118,7,24,2,79,23,0,0,NORMAL,12819,82824,762,157,1811,111,716,118,7,24,2,79,23,0,0,NORMAL
4912019,2023-04-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
4912020,2023-04-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110023,2023-04-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0158B01,2023-04-23 00:00:00,,Mr.Wachirawit T.,Mr.Jirasak S.,IEC,GPSC,IEC230122,4M#1,,,,,,4732,48530,95,148,564,92,35.2,197,89,8,33,90,9,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PP0181B01,2023-04-23 00:00:00,,Ms.Kladnatee P.,Mr.Jirasak S.,IEC,GPSC,IEC230122,4M#1,2023-04-23 00:00:00,,42,,,8484,53201,89,29,118,11,4,6,1,1,1,84,5,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4811735,2023-04-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110022,2023-04-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0084B01,2023-04-18 00:00:00,,Ms.Kladnatee P.,Mr.Jirasak Suksakun,IEC,GPSC,IEC230120,4M#1,2023-04-18 00:00:00,,,,,11436,74651,106,40,384,51,8,24,6,2,2,88,6,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PP0102B01,2023-04-18 00:00:00,,Ms.Kladnatee P.,Mr.Jirasak Suksakun,IEC,GPSC,IEC230120,4M#1,2023-04-18 00:00:00,,46,,,5788,69099,115,124,768,146,9,27,222,6,186,90,4,-,-,NORMAL,-,-,-,-,-,-,----------------------------------------------------------------------------------------------------,27,222,6,186,90,4,-,-,NORMAL,5788,69099,115,124,768,146,9,27,222,6,186,90,4,-,-,NORMAL
PP0174B01,2023-04-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083122TIC008,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,59,,,17141,76076,1207,295,26,6,0,2,1,1,1,70,21,0.010,0.33,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4612314,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,46,,,25260,85497,601,51,28,14,141,29,2,8,1,52,20,0.057,2.33,NORMAL,25260,85497,601,51,28,14,141,29,2,8,1,52,20,0.057,2.33,NORMAL,25260,85497,601,51,28,14,141,29,2,8,1,52,20,0.057,2.33,NORMAL
4711343,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,46,,,17762,74591,464,30,36,10,105,17,1,4,1,58,19,0.004,0.29,NORMAL,17762,74591,464,30,36,10,105,17,1,4,1,58,19,0.004,0.29,NORMAL,17762,74591,464,30,36,10,105,17,1,4,1,58,19,0.004,0.29,NORMAL
510049,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,,,,9340,48456,767,103,3861,255,1228,224,8,34,1,72,21,0.002,0.18,NORMAL,6489,33828,901,130,5180,334,1597,278,10,40,1,72,25,0.004,0.23,NORMAL,4790,28298,936,127,6149,386,1847,318,11,44,1,72,25,0.003,0.20,NORMAL
512033,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,,,,18859,79064,552,29,4,2,3,2,1,1,1,59,19,0.002,0.13,NORMAL,18859,79064,552,29,4,2,3,2,1,1,1,59,19,0.002,0.13,NORMAL,18859,79064,552,29,4,2,3,2,1,1,1,59,19,0.002,0.13,NORMAL
6012333,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,74,,,38096,72149,1326,223,17,14,2,2,1,1,1,89,23,0.012,0.22,NORMAL,38096,72149,1326,223,17,14,2,2,1,1,1,89,23,0.012,0.22,NORMAL,38096,72149,1326,223,17,14,2,2,1,1,1,89,23,0.012,0.22,NORMAL
9624007,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,,,,12,45573,566,120,5166,365,2705,391,17,73,2,71,22,-,-,NORMAL,-,,,,,,,,,,,-,-,-,-,NORMAL,-,,,,,,,,,,,-,-,-,-,NORMAL
9624007,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,42,,,9859,45573,566,120,5166,365,2705,391,17,73,2,74,22,0.015,0.58,NORMAL,9859,45573,566,120,5166,365,2705,391,17,73,2,74,22,0.015,0.58,NORMAL,9859,45573,566,120,5166,365,2705,391,17,73,2,74,22,0.015,0.58,NORMAL
EDP008001,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,56,,,8989,68528,133,13,815,56,4,3,2,1,1,97,6,0.001,0.04,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP011601,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,63,,,10274,82636,105,10,100,18,0,1,1,0,1,93,4,0.000,0.03,NORMAL,10274,82636,105,10,100,18,0,1,1,0,1,93,4,0.000,0.03,NORMAL,10274,82636,105,10,100,18,0,1,1,0,1,93,4,0.000,0.03,NORMAL
PP0016B01,2023-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTE 1689/01,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,49,,,-,-,-,-,-,-,-,-,-,-,-,-,-,0.016,0.45,NORMAL,6051,48126,850,206,10669,798,4702,788,43,146,5,37,35,0.016,0.050,NORMAL,8218,75391,1018,258,11501,936,5691,920,47,162,5,26,36,0.016,0.050,NORMAL
PTE 1689/02,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,52,,,9125,78682,539,150,8325,559,3213,504,24,88,3,41,33,-,-,NORMAL,11671,74871,538,118,7125,491,2825,437,20,77,3,36,33,0.007,0.23,NORMAL,15766,79580,519,128,8204,629,3452,534,25,93,3,38,33,0.005,0.26,NORMAL
PTE 1689/04,2023-04-11 00:00:00,,Mr.Waraporn D.,Mr.Pimchart P.,IEC,GPSC,,,,,58,,,7872,63213,1025,275,13222,897,4946,836,45,143,5,48,37,0.010,0.37,NORMAL,8632,57852,1127,258,9633,739,4612,776,41,136,5,43,37,0.015,0.42,NORMAL,7684,60655,1115,238,11245,851,4904,801,40,131,5,51,38,0.010,0.36,NORMAL
