serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,surge_arrester_test_voltage,h1_cap,h1_watt_loss,h1_pf_tan,h1_current,h1_pf_20c,h1_ust_cap,h1_ust_watt_loss,h1_ust_pf_tan,h1_ust_current,h1_ust_pf_20c,h1_mohm,h2_cap,h2_watt_loss,h2_pf_tan,h2_current,h2_pf_20c,h2_ust_cap,h2_ust_watt_loss,h2_ust_pf_tan,h2_ust_current,h2_ust_pf_20c,h2_mohm,h3_cap,h3_watt_loss,h3_pf_tan,h3_current,h3_pf_20c,h3_ust_cap,h3_ust_watt_loss,h3_ust_pf_tan,h3_ust_current,h3_ust_pf_20c,h3_mohm,xsurge_arrester_test_voltage,xh1_current,xh2_current,xh3_current,xh1_watt_loss,xh2_watt_loss,xh3_watt_loss,xh1_pf_tan,xh2_pf_tan,xh3_pf_tan,xh1_pf_20c,xh2_pf_20c,xh3_pf_20c,xh1_cap,xh2_cap,xh3_cap,xh1_mohm,xh2_mohm,xh3_mohm,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxma1,maxma2,maxma3,maxw1,maxw2,maxw3,minr,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,H3_Error_mW
4810106,2025-03-20 00:00:00,,,,,,10,-,75.02,-,0.15,-,-,-,-,-,-,-,-,56.12,-,0.16,-,-,-,-,-,-,-,-,61.35,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,6.25,0,0,36.4,12.24,17.98,-,6.25,36.40,0.00,12.24,0.00,17.98,-,-,-,-,-,-,-,-,-,-,-,-
510049,2025-02-06 00:00:00,,31,31,31,60,10,,60.71,,0.19,,,,,,,,,50.36,,0.15,,,,,,,,,64.75,,0.18,,,,,,,,10,0.13,0.13,0.12,76.36,77.4,71.70,,,,,,,,,,,,,Mr. Pimchat P.,,GPSC,,TESTRANO 600,DA193X,2025-10-09,,27.78,27.78,29.41,2.9,22.5,0,,11.76,2.90,6.25,22.50,5.88,0.00,27.78,0.04,27.78,0.01,29.41,0.00,,,,,,
510049,2025-02-05 00:00:00,,31,31,31,60,10,,60.71,,0.19,,,,,,,,,50.36,,0.15,,,,,,,,,64.75,,0.18,,,,,,,,10,0.13,0.13,0.12,76.36,,,,,,,,,,,,,,,,,,,TESTRANO 600,DA193X,2025-10-09,,27.78,27.78,29.41,91.13,22.5,0,,11.76,2.90,6.25,22.50,5.88,0.00,27.78,91.13,27.78,,29.41,,,,,,,
PTE 1689/03,2025-01-26 00:00:00,,32,31,31,70,10,,86.91,,0.07,,,195.50,,0.22,,,,76.78,,0.07,,,159.21,,0.22,,,,86.99,,0.07,,,168.95,,0.21,,,10,0.24,0.19,0.14,1347.44,794.15,243.73,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-06,,87.5,38.69,9.09,2005.38,1318.13,306.22,,6.67,5.53,5.41,14.69,9.09,9.39,87.50,2005.38,38.69,1318.13,6.06,306.22,4.35,0.76,6.38,20.79,4.98,15.95
PP0225B01,2025-01-21 00:00:00,,30,34,34,56,10,-,114.15,-,0.15,-,-,-,-,-,-,231000,-,112.41,-,0.15,-,-,-,-,-,-,240000,-,112.29,-,0.15,-,244000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,6.25,6.25,6.25,7.41,2.4,0.94,231000,6.25,7.41,6.25,2.40,6.25,0.94,-,-,-,-,-,-,-,-,-,-,-,-
EDP011601,2024-10-07 00:00:00,,33,46,46,60,10,,305.17,,0.14,,,,,,,,,308.65,,0.14,,,,,,,,,313.91,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09,,0,0,0,233.92,254.69,324.78,,0.00,233.92,0.00,254.69,0.00,324.78,,,,,,,,,,,,
4710348,2024-09-18 00:00:00,,,,,,,-,47.56,-,0.06,-,-,110.41,-,0.19,-,151.6,-,47.48,-,0.06,-,-,101.48,-,0.19,-,137.9,-,48.55,-,0.06,-,161.6,115.4,-,0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,,,,,5.56,5.56,0,24.21,25.43,10.74,137.9,0.00,20.71,0.00,19.63,0.00,10.74,-,-,-,-,-,-,5.56,24.21,5.56,25.43,0.00,7.64
6110202,2024-08-19 00:00:00,,36,38,38,63,10,-,65.78,-,0.2,-,-,-,-,-,-,121000,-,67.59,-,0.2,-,-,-,-,-,-,123000,-,66.61,-,0.2,-,132000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15,,0,0,0,0,0.88,0.92,121000,0.00,0.00,0.00,0.88,0.00,0.92,-,-,-,-,-,-,-,-,-,-,-,-
4912020,2024-07-14 00:00:00,,32,42,42,59,10,-,39.8,-,0.13,-,-,-,-,-,-,,-,41.7,-,0.13,-,-,-,-,-,-,,-,43.27,-,0.13,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,,,0,0,0,0,1.71,0.63,0,0.00,0.00,0.00,1.71,0.00,0.63,-,-,-,-,-,-,-,-,-,-,-,-
PP0174B01,2024-07-04 00:00:00,,33,34,34,67,10,-,220.38,-,0.16,-,-,-,-,-,-,38500,-,211.7,-,0.15,-,-,-,-,-,-,37500,-,218.04,-,0.15,-,44300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2023-12-27,,0,0,0,0.17,0.33,0.02,37500,0.00,0.17,0.00,0.33,0.00,0.02,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/01,2024-06-20 00:00:00,,32,40,40,73,10,30.9,344.85,35.5417,0.10,35.5417,34.407,709.14,30.799,0.24,30.799,,27.9,301.44,34.407,0.08,34.407,64.5,574.10,29.55,0.22,29.55,,25.1,240.42,30.441,0.08,30.441,,613.47,27.295,0.23,27.295,68.8,10,0.16,0.13,0.15,943.6,340.28,443.23,72.889,28.2004,30.1642,72.889,28.2004,30.1642,39.2,35.6,44,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,,100,33.33,25,436.14,48.73,260.35,,100.00,111.92,33.33,40.20,0.00,5.63,5.88,436.14,18.75,47.31,25.00,260.35,11.11,45.02,4.76,48.73,9.52,55.31
PTE 1689/02,2024-06-07 00:00:00,,,,,,10,28.7,92.6,-,0.09,-,73.4,179.82,-,0.24,-,39.1,29.4,91.95,-,0.09,-,68.2,172.75,-,0.22,-,42.3,29.3,95.3,-,0.09,-,38.7,187.79,-,0.24,-,72.1,10,0.12,0.11,0.13,73.63,93.68,96.45,-,-,-,-,-,-,34.4,32.6,37.2,42.6,48.7,47.6,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15,,12.5,12.5,8.33,36.15,37.81,105.21,38.7,12.50,5.90,12.50,6.56,0.00,6.70,0.00,6.80,0.00,17.10,8.33,105.21,4.35,36.15,4.35,37.81,0.00,39.37
667001,2024-05-09 00:00:00,,35,32,32,48,10,13.7,64.5,14.07,0.05,-,60.2,66,3.32,0.2,-,407000,26.3,51.42,6.21,0.08,-,50.5,71.5,4.25,0.17,-,312000,27,52,6.12,0.09,-,272000,68.2,4.07,0.17,-,13.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krittima,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,TESTRANO 600,DE280Y,,,0,0,0,0.03,0,0.1,272000,0.00,0.02,0.00,0.00,0.00,0.10,-,-,-,-,-,-,0.00,0.03,0.00,0.00,0.00,0.01
4912019,2024-03-04 00:00:00,,30,-,-,60,10,38.7,29.33,2.23,0.13,2.23,-,-,-,-,-,122000,39.9,32.08,2.38,0.13,2.38,-,-,-,-,-,121000,39.4,33.23,2.48,0.13,2.48,127000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25,,0,7.14,0,1.54,4.86,7.51,121000,0.00,1.54,7.14,4.86,0.00,7.51,-,-,-,-,-,-,-,-,-,-,-,-
4912019,2024-02-22 00:00:00,,37,33,33,54,10,38.6,29.79,2.27,0.13,1.71,-,-,-,-,-,123000,42.2,33.72,2.37,0.14,1.78,-,-,-,-,-,126000,39.5,30.91,2.31,0.13,1.73,121000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25,,0,0,0,0,0,0,121000,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
512033,2024-02-09 00:00:00,,32,30,30,66,10,46.6,94.2,6.03,0.16,-,-,-,-,-,-,12500,46.3,90.97,5.85,0.16,-,-,-,-,-,-,13200,47.2,92.73,5.87,0.16,-,12900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-18,,6.67,6.67,6.67,27.4,22.49,11.2,12500,6.67,27.40,6.67,22.49,6.67,11.20,-,-,-,-,-,-,-,-,-,-,-,-
508038,2023-12-24 00:00:00,,32,42,42,70,10,-,81.48,-,0.13,-,-,-,-,-,-,-,-,83.88,-,0.13,-,-,-,-,-,-,-,-,81.92,-,0.13,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,85.71,85.71,85.71,31.42,27.09,30.03,0,85.71,31.42,85.71,27.09,85.71,30.03,,,,,,,-,-,-,-,-,-
