serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,surge_arrester_test_voltage,h1_cap,h1_watt_loss,h1_pf_tan,h1_current,h1_pf_20c,h1_ust_cap,h1_ust_watt_loss,h1_ust_pf_tan,h1_ust_current,h1_ust_pf_20c,h1_mohm,h2_cap,h2_watt_loss,h2_pf_tan,h2_current,h2_pf_20c,h2_ust_cap,h2_ust_watt_loss,h2_ust_pf_tan,h2_ust_current,h2_ust_pf_20c,h2_mohm,h3_cap,h3_watt_loss,h3_pf_tan,h3_current,h3_pf_20c,h3_ust_cap,h3_ust_watt_loss,h3_ust_pf_tan,h3_ust_current,h3_ust_pf_20c,h3_mohm,xsurge_arrester_test_voltage,xh1_current,xh2_current,xh3_current,xh1_watt_loss,xh2_watt_loss,xh3_watt_loss,xh1_pf_tan,xh2_pf_tan,xh3_pf_tan,xh1_pf_20c,xh2_pf_20c,xh3_pf_20c,xh1_cap,xh2_cap,xh3_cap,xh1_mohm,xh2_mohm,xh3_mohm,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxma1,maxma2,maxma3,maxw1,maxw2,maxw3,minr,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,H3_Error_mW
5000574,2023-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,2023-09-14 00:00:00,30000013388,32,38,38,70,10,-,520.74,-,0.16,-,-,-,-,-,-,227000,-,497.83,-,0.15,-,-,-,-,-,-,240000,-,485.94,-,0.15,-,195000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,15.38,0.14,0.17,0.19,195000,0.00,0.14,0.00,0.17,15.38,0.19,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/01,2023-09-10 00:00:00,,,,,,10,-,238,-,0.07,-,-,571,-,0.23,-,-,-,267,-,0.089,-,-,484,-,0.23,-,-,-,331,-,0.09,-,-,557,-,0.24,-,-,10,0.17,0.16,0.12,176,189.01,123.37,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Prawit N.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,,,,40,48.33,14.29,46.25,25.39,41.01,-,40.00,46.25,48.33,24.19,12.50,29.93,0.00,0.00,0.00,18.18,0.00,0.30,14.81,16.77,9.52,25.39,14.29,41.01
4710349,2023-08-18 00:00:00,,29,33,33,63,10,,143.18,,0.13,,,78.70,,0.11,,,,123.41,,0.13,,,70.34,,0.11,,,,126.20,,0.13,,,83.51,,0.11,,,,,,,,,,,,,,,,,,,,,,Prawit Nakrob,Pimchart P.,Hitachi Energy,GPSC,TESTRANO 600,CH158W,,,10,10,10,55.28,12.48,39.11,,0.76,55.28,0.76,12.48,0.76,28.03,,,,,,,10.00,12.27,10.00,9.19,10.00,39.11
PTE 1689/02,2023-08-16 00:00:00,,,,,,10,-,55.27,-,0.09,-,-,285.29,-,0.17,-,-,-,75.37,-,0.09,-,-,966.7,-,0.24,-,-,-,47.13,-,0.08,-,-,6023.32,-,0.94,-,-,10,0.11,0.11,0.11,50.65,48.42,46.96,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Prawit N.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,,,,0,4,104.35,29.87,60.7,36.61,-,0.00,17.60,0.00,60.70,11.11,0.28,0.00,29.87,0.00,3.16,8.33,0.09,0.00,3.03,4.00,25.91,104.35,36.61
6012333,2023-08-03 00:00:00,,32,34,34,60,10,-,49.13,-,0.18,-,-,-,-,-,-,-,-,48.79,-,0.18,-,-,-,-,-,-,-,-,48.84,-,0.18,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27,,45.16,44,44,16.98,3.81,3.91,0,45.16,16.98,44.00,3.81,44.00,3.91,,,,,,,-,-,-,-,-,-
20083122TIC008,2023-06-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0102B01,2023-05-24 00:00:00,,,,,,10,-,129.92,-,0.16,-,-,-,-,-,-,-,-,123.74,-,0.16,-,-,-,-,-,-,-,-,114.12,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2023-05-24,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
5110023,2023-04-24 00:00:00,,,,,,10,-,57.53,-,0.21,-,-,-,-,-,-,-,-,58.39,-,0.2,-,-,-,-,-,-,-,-,57.69,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
PP0158B01,2023-03-29 00:00:00,,32,36,36,64,10,-,106.78,-,0.15,-,-,-,-,-,-,60400,-,106.79,-,0.15,-,-,-,-,-,-,73000,-,118.16,-,0.16,-,78400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0.14,60400,0.00,0.00,0.00,0.00,0.00,0.14,-,-,-,-,-,-,-,-,-,-,-,-
PP0181B01,2023-03-15 00:00:00,82452035011,32,34,34,52,10,-,104.44,-,0.15,-,-,-,-,-,-,120400,-,101.98,-,0.15,-,-,-,-,-,-,119900,-,101.57,-,0.15,-,127500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,119900,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
6110201,2023-02-24 00:00:00,,,,,,10,-,57.53,-,0.21,-,-,-,-,-,-,-,-,58.39,-,0.21,-,-,-,-,-,-,-,-,57.69,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,1.49,0,-,0.00,0.00,0.00,1.49,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
TP70279703,2023-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110022,2023-01-17 00:00:00,,32,35,35,55,10,-,48.88,-,0.15,-,-,-,-,-,-,433,-,49.35,-,0.15,-,-,-,-,-,-,479,-,51.27,-,0.15,-,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,351,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
5110021,2022-10-25 00:00:00,,32,34,34,60,10,-,65.03,-,0.16,-,-,-,-,-,-,-,-,67.58,-,0.16,-,-,-,-,-,-,-,-,64.62,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
4710348,2022-08-13 00:00:00,,34,33,33,56,10,,39.40,,0.06,,,145.68,,0.18,,,,39.69,,0.06,,,136.08,,0.18,,,,43.84,,0.06,,,107.21,,0.18,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO600,DA212X / RA043X,,,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
4810106,2022-05-25 00:00:00,,33,38,38,62,10,-,55.75,-,0.16,-,-,-,-,-,-,267000,-,50.17,-,0.16,-,-,-,-,-,-,447000,-,52.27,-,0.16,-,236000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2022-08-27,,0,0,0,1.36,0.34,0.52,236000,0.00,1.36,0.00,0.34,0.00,0.52,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/04,2022-03-13 00:00:00,,32,30,30,64,10,-,25.51,-,0.08,-,-,47.99,-,0.09,-,-,-,27.29,-,0.09,-,-,54.07,-,0.09,-,-,-,33.52,-,0.09,-,-,51.16,-,0.11,-,-,10,0.15,0.11,0.12,65.88,63.42,51.26,-,-,-,-,-,-,-,-,-,-,-,-,Mr.JIrasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,3.45,7.84,26.67,12.43,35.51,18.79,-,0.00,12.43,0.00,11.05,0.00,3.74,3.45,0.48,7.84,35.51,15.38,5.07,0.00,5.99,0.00,8.11,26.67,18.79
PP0225B01,2022-01-31 00:00:00,,33,33,33,75,10,-,123.39,-,0.16,-,-,-,-,-,-,129000,-,115.17,-,0.16,-,-,-,-,-,-,123300,-,113.35,-,0.16,-,130700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0.08,0,0,123300,0.00,0.08,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
PPD0225B01,2022-01-31 00:00:00,,33,33,33,75,10,-,123.39,-,0.16,-,-,-,-,-,-,129000,-,115.17,-,0.16,-,-,-,-,-,-,123300,-,113.35,-,0.16,-,130700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,,,0,0,0,0.08,0,0,123300,0.00,0.08,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC003,2021-08-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP011601,2021-08-02 00:00:00,211028715,31,38,38,67,10,,83.28,,0.14,,,,,,,,,76.68,,0.14,,,,,,,,,77.52,,0.14,,,,,,,,2.77,0.07,0.07,0.07,11.99,11.74,10.93,,,,,,,,,,,,,Mr. Methee Meechitti,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,16.67,0,16.67,8.87,11.88,4.9,,0.00,8.87,0.00,11.88,0.00,4.90,16.67,0.00,0.00,0.00,16.67,2.25,,,,,,
512033,2021-07-21 00:00:00,211082412,33,32,32,60,10,,71.45,,0.15,,,,,,,,,74.31,,0.15,,,,,,,,,75.93,,0.15,,,,,,,,10,0.41,0.40,0.41,234.03,238,238.97,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,2.5,0,0,3.37,0.05,8.95,,0.00,3.37,0.00,0.05,0.00,8.95,2.50,0.00,0.00,0.00,0.00,0.00,,,,,,
4710349,2021-07-07 00:00:00,211023163,33,32,32,60,10,-,92.21,-,0.13,-,-,70.10,-,0.10,-,-,-,109.72,-,0.14,-,-,64.42,-,0.10,-,-,-,98.57,-,0.14,-,-,60.03,-,0.10,-,-,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-18,,0.76,6.87,6.87,0,0,0,0,0.76,0.00,6.87,0.00,6.87,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
PTE 1689/01,2021-07-04 00:00:00,201022875,34,42,42,62,10,-,162.73,-,0.05,-,-,488.97,-,0.27,-,"131,600",-,215.65,-,0.06,-,-,286.66,-,0.21,-,"125,700",-,154.76,-,0.08,-,"148,000",395,-,0.21,-,-,10,0.12,0.13,0.11,125.46,231.78,45.57,-,-,-,-,-,-,-,-,-,"73,200","57,000","27,200",Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,1.64,22.22,0.92,0,41.37,0,-,0.00,0.00,20.00,32.52,0.00,0.00,1.64,0.00,9.09,13.51,0.92,0.00,0.00,0.00,22.22,41.37,0.00,0.00
5011857,2021-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0016B01,2021-02-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54002,2021-02-04 00:00:00,201007518,29,36,36,62,10,-,68.45,-,0.15,-,-,-,-,-,-,-,-,72.84,-,0.14,-,-,-,-,-,-,-,-,74.69,-,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
PP0050B01,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615007,2020-12-06 00:00:00,-,30,36,36,62,10,-,10.67,-,0.03,-,-,26.58,-,0.09,-,-,-,10.26,-,0.03,-,-,26.58,-,0.09,-,-,-,10.15,-,0.03,-,-,25.5,-,0.09,-,-,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
Suphon Test,2020-11-18 00:00:00,aaaaa,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,-,-,-,-,-,-,1,83.33,85.71,-,-,-,-,-,-,-,-,-,-,87.50,88.89,-,-,-,-
PTE 1689/03,2020-11-11 00:00:00,201023345,35,30,30,59,10,-,93.84,-,0.08,-,-,175.64,-,0.2,-,-,-,83.37,-,0.08,-,-,179.71,-,0.2,-,-,-,100.28,-,0.08,-,-,207.51,-,0.2,-,-,10,0.13,0.14,0.13,87.57,75.21,86.44,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16,,13.04,14.89,9.5,36.83,34.3,44.07,-,6.67,2.00,8.11,7.37,3.90,4.46,1.56,36.83,2.19,34.30,1.52,44.07,13.04,10.84,14.89,10.59,9.50,3.24
57011,2020-11-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9640549,2020-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTE 1689/02,2020-10-28 00:00:00,20122873,36,39,39,53,10,,32.68,,0.09,,,276.96,,0.17,,,,46.92,,0.09,,,767.75,,0.25,,,,47.20,,0.09,,,4409.18,,0.46,,,10,0.03,0.03,0.03,29.59,30.31,30.43,,,,,,,,,,,,,Mr. Jirasak S.,,CMT-GLOW,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,1.37,1.03,1.43,,0.00,,0.00,,0.00,,0.00,1.37,0.00,1.03,0.00,1.43,0.00,,0.00,,0.00,
508038,2020-10-08 00:00:00,201007511,27,34,34,70,5,,31.62,-,0.07,,,,,,,181700,,33.78,-,0.07,,,,,,,206000,,38.64,-,0.07,,224000,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,,,,0,0.00,,0.00,,0.00,,,,,,,,,,,,,
4710345,2020-08-20 00:00:00,191044989,33,34,34,56,10,-,46.360,-,0.060,-,-,106.950,-,0.180,-,181700.0,-,48.470,-,0.060,-,-,112.820,-,0.170,-,206000.0,-,42.740,-,0.060,-,224000.0,103.930,-,0.170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,,,5.88,0,5.56,8.47,0,7.81,181700,0.00,8.47,0.00,0.00,0.00,7.81,-,-,-,-,-,-,5.88,2.91,0.00,0.00,5.56,2.82
20083122TIC008,2019-11-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513053,2019-11-06 00:00:00,,34,30,30,63,2.5,144,128.25,2.7774,0.46,2.7774,-,-,-,-,-,22.099,145.6,139.44,2.9876,0.47,2.9876,-,-,-,-,-,21.856,144.7,138.45,2.9842,0.46,2.9842,21.991,-,-,-,-,-,2.5,0.74,0.74,0.75,282.19,345.98,334.66,3.826,4.7045,4.4768,3.826,4.7045,4.4768,231.8,231.1,235,13.723,13.758,13.533,Tanasak K.,Jakkit C.,TIS,GHECO-ONE,TESTRANO 600,DA212X,2019-04-19,After OLTC overhaul.,0,0,0,0,0,2.9,13.533,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,-,-,-,-,-,-
510049,2019-08-31 00:00:00,191036006,30,31,31,70,10,-,59.06,-,0.17,-,-,-,-,-,-,1000,-,41.11,-,0.16,-,-,-,-,-,-,1000,-,199.16,-,0.17,-,1000,-,-,-,-,-,10,0.18,0.18,0.17,861.09,872.4,858.19,-,-,-,-,-,-,-,-,-,1000,1000,1000,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0.1,0,0,1000,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-
4710347,2019-08-27 00:00:00,191045321,31,34,34,61,10,-,59.330,-,0.060,-,-,120.970,-,0.170,-,-,-,93.730,-,0.060,-,-,151.490,-,0.180,-,-,-,57.120,-,0.060,-,-,127.99,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00
4710350,2019-07-09 00:00:00,191019505,32,38,37,60,10,-,71.53,-,0.06,-,-,135.52,-,0.17,-,-,-,101.620,-,0.06,-,-,132.53,-,0.18,-,-,-,71.67,-,0.06,-,-,134.64,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jirasak S.,,GLOW,,TESTRANO 600,DA193X,2018-02-16,,0,5.88,0,0,2.21,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,0.00,0.00,5.88,2.21,0.00,0.00
PTE 1689/04,2019-06-13 00:00:00,191028236,33,35,35,55,10,-,29.13,-,0.08,-,-,51.05,-,0.09,-,-,-,30.68,-,0.09,-,-,58.84,-,0.09,-,-,-,32.31,-,0.09,-,-,1063,-,0.15,-,-,10,0.15,0.12,0.12,66.95,47.94,54.24,-,-,-,-,-,-,-,-,-,-,-,-,Mr. Jirasak S.,Mr. Methee M.,CMT-GLOW,CMT-GLOW,TESTRANO 600,DA193X,2018-02-16,,3.45,17.65,15.38,1.13,2.44,0.44,-,-,-,-,-,-,-,3.45,1.13,17.65,2.44,15.38,0.44,-,-,-,-,-,-
57005,2019-06-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57012,2019-06-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,2019-05-11 00:00:00,191028229,39,41,41,29,10,-,71.64,-,0.13,-,-,-,-,-,-,-,-,69.22,-,0.13,-,-,-,-,-,-,-,-,71.5,-,0.13,-,-,-,-,-,-,-,5,0.18,0.17,0.17,64.7,61.6,64.5,-,-,-,-,-,-,-,-,-,-,-,-,Methee M.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,4.84,4.84,4,25.68,25.85,32.41,-,4.84,25.68,4.84,25.85,4.00,32.41,0.00,0.02,0.00,0.02,0.00,0.06,-,-,-,-,-,-
EDP008001,2019-03-14 00:00:00,191013282,34,35,35,65,10,-,72.5,-,0.14,-,,-,,-,,119100,-,74.36,-,0.14,-,,-,,-,,113000,-,86.82,-,0.12,-,76200,-,,-,,,10,0.210,0.210,0.210,142.210,150.690,148.530,-,-,-,-,-,-,-,-,-,39900,20600,33000,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,8.7,6.67,14.29,17.05,29.25,20.36,20600,0.00,6.59,6.67,21.01,14.29,12.67,8.70,17.05,2.94,29.25,2.94,20.36,-,-,-,-,-,-
EDP011601,2019-03-13 00:00:00,191013291,34,31,31,55,5,,91.39,,0.07,,,,,,,,,87.02,,0.07,,,,,,,,,73.9,,0.07,,,,,,,,2.5,0.07,0.06,0.06,42.28,37.48,41.19,,,,,,,,,,,,,Mr.Jirasak S.,,GLOW-CMT,GLOW,TESTRANO 600,DA193X,2019-02-16,,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
512033,2019-03-04 00:00:00,,34,36,36,56,10,,73.94,,0.15,,,,,,,,,74.27,,0.15,,,,,,,,,83.39,,0.15,,,,,,,,5,0.21,0.21,0.21,70.64,105.14,99.36,,,,,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
512033,2019-03-04 00:00:00,,34,36,36,56,10,,73.94,,0.15,,,,,,,,,74.27,,0.15,,,,,,,,,83.39,,0.15,,,,,,,,5,0.21,0.21,0.21,70.64,105.14,99.36,,,,,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
PTE 1689/03,2018-11-03 00:00:00,181090405,37,35,35,54,10,25.3,90.64,11.31,0.08,11.31,87.2,189.25,6.6702,0.28,6.6702,,25.1,82.14,10.3693,0.08,10.3693,87.7,190.83,6.6472,0.29,6.6472,,25.1,85.75,10.7974,0.08,10.7974,,191.360,6.6680,0.29,6.6680,82.2,10,0.130,0.130,0.130,49.460,71.770,62.64,50,50,50,,,,41.25,44.17,42.24,,,,Jirasak S.,,GLOW-CMT,,TESTRANO600,DA193X,2018-02-16,,21.74,23.4,31.22,22.72,28.16,10.68,,6.67,1.48,8.11,8.73,3.90,10.68,1.56,22.72,5.11,28.16,1.52,4.40,21.74,3.93,23.40,5.06,31.22,4.80
6012333,2018-10-01 00:00:00,,33,32,32,75,10,39.5,42.0,3.37,0.1240,3.37,-,-,-,-,-,100,39.7,47.0,3.66,0.1250,3.66,-,-,-,-,-,100,39.8,47,3.395,0.1250,3.395,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,Jaturawit B.,Komsom K.,TIRATHAI,GLOW,MEGGER TRAX-220,1800333,,,0,0,0,0,0,0,100,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/01,2018-07-04 00:00:00,,33,33,33,46,10,46,2,43,0.161,43,,,,,,,38.99,1.5,39.8,0.132,39.8,,,,,,,33.53,0.981,34.2,0.111,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,Mr.Suchat Mondopyai,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2015-03-02,,0,0,0,4.67,4.21,0,,0.00,4.67,0.00,4.21,0.00,0.00,,,,,,,-,,,,,
EDP008001,2018-06-21 00:00:00,181071638,30,38,38,65,10,42.3,68.23,4.771,0.14,4.771,-,-,-,-,-,75.141,43.2,94,6.467,0.15,6.467,-,-,-,-,-,73.474,42.1,77.1,5.4337,0.14,5.4337,75.571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak Suksakun,,CMT-GLOW,,TESTRANO 600,DA193x,2018-02-16,,2.19,9.89,2.94,0.31,0.15,0.05,73.474,2.19,0.31,9.89,0.15,2.94,0.05,-,-,-,-,-,-,-,-,-,-,-,-
57001,2018-06-01 00:00:00,,36,36,36,60,10,42,0.0355,2.514,0.14,,,,,,,338000,41.1,0.0496,3.58,0.14,,,,,,,144700,42.2,0.0782,5.4774,0.14,,71000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Methee Meechitti,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,TESTRANO600,DA212X,,,0,0,7.69,11.25,24,95.5,144700,,,,,,,,,,,,,,,,,,
57001,2018-06-01 00:00:00,,,,,,,42,0.0355,2.514,0.14,,,,,,,338000,42,0.0496,3.580,0.14,,,,,,,144700,42,0.0782,5.4774,0.14,,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7.69,11.25,24,95.5,144700,,,,,,,,,,,,,,,,,,
4710348,2018-01-22 00:00:00,,,,,,10,73.01,0.1640,7.1930,0.2280,7.1930,18.68,0.066,11.379,0.058,11.379,,73.18,0.1620,7.105,0.2280,7.105,18.53,0.06,10.345,0.058,10.345,,72.84,0.1630,7.181,0.2270,7.181,,0.063,10.862,0.058,10.862,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
