Equipment Name,Device Code,SITE,Service_Type,DATE,YEAR,Working Type,Equipment part,Detail,Picture,Root cause,Action,Finish Dated,Duration (Day),Status
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2021-02-03 00:00:00,2021,Improved,-,Install insulation bus bar 22 kV,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2021-02-03 00:00:00,2021,PM,-,3Y PM Program,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2021-02-03 00:00:00,2021,CM,Main Tank Oil,OLTC hot oil purify,,,,,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2021-01-28 00:00:00,2021,PM,-,3Y PM Program,,- Unkown root cause.,"- Hot oil purify and top up.
- 3Y PM Program.",,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2021-01-28 00:00:00,2021,CM,Main Tank Oil,Hot oil purify and top up.,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2020-11-08 00:00:00,2020,PM,-,6Y PM Program,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2020-11-08 00:00:00,2020,CM,Bushing,Replacement new HV bushing Phase C.,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2020-11-03 00:00:00,2020,PM,-,6Y PM Program.,,,,,,
TR3,22-90-00ATC30 (TR3),SITE2,Distribution Transformer,2020-11-01 00:00:00,2020,CM,Tap Changer Oil,OLTC hot oil purify,,,,,,
TR3,22-90-00ATC30 (TR3),SITE2,Distribution Transformer,2020-10-31 00:00:00,2020,PM,-,3Y PM Program,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2020-10-30 00:00:00,2020,Improved,-,Install insulation bus bar 22 kV,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2020-10-30 00:00:00,2020,PM,-,3Y PM Program,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2020-10-30 00:00:00,2020,CM,Main Tank,"Replacement new gaskets HV, LV, tap, BCT",,- Unkown root cause.,"- 
- 3Y PM Program.",,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2020-08-25 00:00:00,2020,CM,Tap Changer Oil,"OLTC hot oil purify and top up oil. A=64 kV 6 ppm., B=68 kV 4 ppm., C=60 kV 6 ppm.",,,,,,
TR3,22-90-00ATC30 (TR3),SITE2,Distribution Transformer,2020-01-28 00:00:00,2020,FAT,-,Re-located transformer from Spare GSPP2&3 to TR3 GEN substation.,,-,- Install TR3 in GEN substation.,,,
10060-TR-001 (GTG15),10060-TR-001,CUP-1,GSUT,2019-10-19 00:00:00,2019,PM,,3 Year Maintenance,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2019-09-01 00:00:00,2019,PM,-,6Y PM Program,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2019-09-01 00:00:00,2019,CM,Tap Changer Oil,"Change new OLTC oil, BD = 90 kV, Water 10 ppm.",,,,,,
TR141.10.EN,TR141,MTP3,Auxiliary Transformer,2019-08-07 00:00:00,2019,PM,-,3Y PM Program,,-,"- Oil regeneration.
- 3Y PM Program.",,,
TR141.10.EN,TR141,MTP3,Auxiliary Transformer,2019-08-07 00:00:00,2019,Improved,Main Tank Oil,Transformer oil regeneration,,,,,,
KT12A.30.EN,31-90-CPPA-XF-KT12A,SITE3,Distribution Transformer,2019-07-23 00:00:00,2019,BD,22 kV conduction tube,Snake Fault in 22 kV conduction tube,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2019-07-04 00:00:00,2019,CM,Tap Changer,"Alarm ""OLTC Emergency stop""",,,,,,
