serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,bushing_c1kv,bushing_c2kv,bushing_h1_c1,bushing_h1_c1_ma,bushing_h1_watt,bushing_h1_pf_tan,bushing_h1_pf_20c,bushing_h1_c2,bushing_h1_c2_ma,bushing_h1_c2_watt,bushing_h1_c2_pf_tan,bushing_h1_c2_pf_20c,bushing_h2_c1,bushing_h2_c1_ma,bushing_h2_watt,bushing_h2_pf_tan,bushing_h2_pf_20c,bushing_h2_c2,bushing_h2_c2_ma,bushing_h2_c2_watt,bushing_h2_c2_pf_tan,bushing_h2_c2_pf_20c,bushing_h3_c1,bushing_h3_ma,bushing_h3_watt,bushing_h3_pf_tan,bushing_h3_pf_20c,bushing_h3_c2,bushing_h3_c2_ma,bushing_h3_c2_watt,bushing_h3_c2_pf_tan,bushing_h3_c2_pf_20c,bushing_h0_cap,bushing_h0_ma,bushing_h0_watt,bushing_h0_pf_tan,bushing_h0_pf_20c,bushing_l1_cap,bushing_l1_ma,bushing_l1_watt,bushing_l1_pf_tan,bushing_l1_pf_20c,bushing_l2_cap,bushing_l2_ma,bushing_l2_watt,bushing_l2_pf_tan,bushing_l2_pf_20c,bushing_l3_cap,bushing_l3_ma,bushing_l3_watt,bushing_l3_pf_tan,bushing_l3_pf_20c,xbushing_c1kv,xbushing_c2kv,xbushing_h1_c1,xbushing_h1_c1_ma,xbushing_h1_watt,xbushing_h1_pf_tan,xbushing_h1_pf_20c,xbushing_h1_c2,xbushing_h1_c2_ma,xbushing_h1_c2_watt,xbushing_h1_c2_pf_tan,xbushing_h1_c2_pf_20c,xbushing_h2_c1,xbushing_h2_c1_ma,xbushing_h2_watt,xbushing_h2_pf_tan,xbushing_h2_pf_20c,xbushing_h2_c2,xbushing_h2_c2_ma,xbushing_h2_c2_watt,xbushing_h2_c2_pf_tan,xbushing_h2_c2_pf_20c,xbushing_h3_c1,xbushing_h3_ma,xbushing_h3_watt,xbushing_h3_pf_tan,xbushing_h3_pf_20c,xbushing_h3_c2,xbushing_h3_c2_ma,xbushing_h3_c2_watt,xbushing_h3_c2_pf_tan,xbushing_h3_c2_pf_20c,xbushingl1_pf_error,xbushingl1_cap_error,xbushing_h0_watt,xbushing_h0_pf_tan,xbushingl2_pf_error,xbushingl2_cap_error,xbushing_l1_ma,xbushing_l1_watt,xbushingl3_pf_error,xbushingl3_cap_error,xbushing_l2_cap,xbushing_l2_ma,xbushing_l2_watt,xbushing_l2_pf_tan,xbushing_l2_pf_20c,xbushing_l3_cap,xbushing_l3_ma,xbushing_l3_watt,xbushing_l3_pf_tan,xbushing_l3_pf_20c,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxbh1_tand,maxbch1_change,maxbh2_tand,maxbch2_change,maxbh3_tand,maxbch3_change,maxbh0_tand,maxbch0_change
EDP008001,2025-05-09 00:00:00,,33,37,37,67,10,0.5,300.8,0.94,26.58,0.281,0.323,-,-,-,-,-,302,0.95,29.02,0.305,0.351,-,-,-,-,-,302.8,0.95,32.86,0.345,0.397,-,-,-,-,-,10.28,1.05,-,-,2.5,0.98,-,-,10.28,1.05,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,10.28,1.05,2.5,0.98,10.28,1.05,,
4810106,2025-03-20 00:00:00,,30,30,30,73,10,0.5,173.1,0.54,21.32,0.391,0.431,-,1.3,83.07,0.638,-,174.9,0.55,21.54,0.391,0.431,-,1.35,109.48,0.812,-,173.1,0.54,20.92,0.384,0.423,-,1.31,87.84,0.671,-,2.62,1.09,-,-,0.23,1.19,-,-,3.17,1.09,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,2.62,1.09,0.23,1.19,3.17,1.09,,
510049,2025-02-05 00:00:00,,31,31,31,60,10,,645.7,2.03,74.27,0.3662,0.4174,,,,,,644.8,2.03,74.51,0.3678,0.4193,,,,,,642,2.02,74.71,0.3704,0.4222,,,,,,15.94,1.57,,,19.8,1.56,,,20.63,1.68,,,,,,,,,,,10,,302.9,0.95,38.28,0.4022,0.4424,,,,,,298.5,0.94,34.97,0.3729,0.4102,,,,,,300.5,0.94,35.30,0.3739,0.4113,,,,,,38.25,1.34,,,28.19,1.16,,,32.68,1.15,,,,,,,,,,,Mr. Pimchat P.,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,38.25,1.57,28.19,1.56,32.68,1.68,,
PTE 1689/03,2025-01-26 00:00:00,,30,32,32,70,10,,575.7,1.81,42.85,0.2369,0.2369,,,,,,576.3,1.81,46.45,.2566,0.2556,,,,,,576.9,1.81,43.26,0.2387,0.2387,,,,,,18.31,2.79,,,20.37,2.31,,,20.96,2.27,,,,,,,,,,,,,431.4,1.36,37.43,0.2762,0.2900,,,,,,431.1,1.35,42.95,0.3171,0.330,,,,,,430.6,1.35,41.99,0.3104,0.3259,,,,,,3.57,0.05,,,13.79,0.40,,,10.47,0.19,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,18.31,2.79,20.37,2.31,20.96,2.27,,
PP0225B01,2025-01-21 00:00:00,,30,34,34,56,10,0.5,253.6,0.8,18.06,0.226,0.249,548.8,1.73,71.42,0.411,-,249.9,0.79,17.27,0.22,0.242,572.2,1.81,71.24,0.394,-,253.5,0.8,18.35,0.234,0.253,543,1.72,67.65,0.394,-,0.81,0.44,-,0.97,1.26,0.32,-,0.97,0.4,0.32,-,1.20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.81,0.97,1.26,0.97,0.4,1.2,,
EDP011601,2024-10-07 00:00:00,,33,46,46,61,10,,304.5,0.96,25.72,0.2689,0.3092,,,,,,303.9,0.95,25.48,0.2668,0.3069,,,,,,303.9,0.95,25.43,0.2663,0.3063,,,,,,14.11,0.81,,,14.75,1.01,,,14.92,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,14.11,0.81,14.75,1.01,14.92,1.01,,
PP0050B01,2024-09-24 00:00:00,,32,34,34,56,10,-,252.5,0.79,31.33,0.395,0.454,-,-,-,-,-,259.6,0.82,34.45,0.422,0.485,-,-,-,-,-,283.4,0.89,27.36,0.307,0.353,-,-,-,-,-,7.35,0.59,-,-,1.04,3.13,-,-,1.94,0.56,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2023-12-07 00:00:00,,7.35,0.59,1.04,3.13,1.94,0.56,,
4710348,2024-09-18 00:00:00,,31,37,37,45,10,-,175.6,0.55,26.56,0.481,0.553,-,-,-,-,-,167.1,0.53,22.11,0.421,0.484,-,-,-,-,-,167.6,0.53,20.93,0.397,0.457,-,-,-,-,-,34.88,0.79,-,-,21,1.12,-,-,14.25,0.83,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,34.88,0.79,21,1.12,14.25,0.83,,
6110202,2024-08-19 00:00:00,,36,38,38,63,10,-,147.1,0.46,21.84,0.472,0.538,-,-,-,-,-,147.8,0.46,21.21,0.456,0.52,-,-,-,-,-,147.8,0.46,22.53,0.485,0.553,-,-,-,-,-,25.12,1.28,-,-,20.93,0.81,-,-,28.6,0.81,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15 00:00:00,,25.12,1.28,20.93,0.81,28.6,0.81,,
ET8712_2,2024-08-11 00:00:00,,32,33,33,62,10,-,278.3,0.87,42.57,0.487,0.56,-,-,-,-,-,304.6,0.96,23.35,0.244,0.28,-,-,-,-,-,280.9,0.88,35.53,0.402,0.462,-,-,-,-,-,34.62,0.11,-,-,16.67,0,-,-,20.63,0,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,,,34.62,0.11,16.67,0,20.63,0,,
