serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,bushing_c1kv,bushing_c2kv,bushing_h1_c1,bushing_h1_c1_ma,bushing_h1_watt,bushing_h1_pf_tan,bushing_h1_pf_20c,bushing_h1_c2,bushing_h1_c2_ma,bushing_h1_c2_watt,bushing_h1_c2_pf_tan,bushing_h1_c2_pf_20c,bushing_h2_c1,bushing_h2_c1_ma,bushing_h2_watt,bushing_h2_pf_tan,bushing_h2_pf_20c,bushing_h2_c2,bushing_h2_c2_ma,bushing_h2_c2_watt,bushing_h2_c2_pf_tan,bushing_h2_c2_pf_20c,bushing_h3_c1,bushing_h3_ma,bushing_h3_watt,bushing_h3_pf_tan,bushing_h3_pf_20c,bushing_h3_c2,bushing_h3_c2_ma,bushing_h3_c2_watt,bushing_h3_c2_pf_tan,bushing_h3_c2_pf_20c,bushing_h0_cap,bushing_h0_ma,bushing_h0_watt,bushing_h0_pf_tan,bushing_h0_pf_20c,bushing_l1_cap,bushing_l1_ma,bushing_l1_watt,bushing_l1_pf_tan,bushing_l1_pf_20c,bushing_l2_cap,bushing_l2_ma,bushing_l2_watt,bushing_l2_pf_tan,bushing_l2_pf_20c,bushing_l3_cap,bushing_l3_ma,bushing_l3_watt,bushing_l3_pf_tan,bushing_l3_pf_20c,xbushing_c1kv,xbushing_c2kv,xbushing_h1_c1,xbushing_h1_c1_ma,xbushing_h1_watt,xbushing_h1_pf_tan,xbushing_h1_pf_20c,xbushing_h1_c2,xbushing_h1_c2_ma,xbushing_h1_c2_watt,xbushing_h1_c2_pf_tan,xbushing_h1_c2_pf_20c,xbushing_h2_c1,xbushing_h2_c1_ma,xbushing_h2_watt,xbushing_h2_pf_tan,xbushing_h2_pf_20c,xbushing_h2_c2,xbushing_h2_c2_ma,xbushing_h2_c2_watt,xbushing_h2_c2_pf_tan,xbushing_h2_c2_pf_20c,xbushing_h3_c1,xbushing_h3_ma,xbushing_h3_watt,xbushing_h3_pf_tan,xbushing_h3_pf_20c,xbushing_h3_c2,xbushing_h3_c2_ma,xbushing_h3_c2_watt,xbushing_h3_c2_pf_tan,xbushing_h3_c2_pf_20c,xbushingl1_pf_error,xbushingl1_cap_error,xbushing_h0_watt,xbushing_h0_pf_tan,xbushingl2_pf_error,xbushingl2_cap_error,xbushing_l1_ma,xbushing_l1_watt,xbushingl3_pf_error,xbushingl3_cap_error,xbushing_l2_cap,xbushing_l2_ma,xbushing_l2_watt,xbushing_l2_pf_tan,xbushing_l2_pf_20c,xbushing_l3_cap,xbushing_l3_ma,xbushing_l3_watt,xbushing_l3_pf_tan,xbushing_l3_pf_20c,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxbh1_tand,maxbch1_change,maxbh2_tand,maxbch2_change,maxbh3_tand,maxbch3_change,maxbh0_tand,maxbch0_change
4810106,2022-05-25 00:00:00,,33,38,38,62,10,0.5,173.2,0.54,20.96,0.385,0.462,-,1.29,94.9,0.738,-,174.8,0.55,19.88,0.361,0.434,-,1.33,97.78,0.736,-,173.1,0.54,19.97,0.367,0.44,-,-,-,-,-,10.00,1.03,-,-,0.93,1.24,-,-,7.32,1.09,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2022-08-27 00:00:00,,10,1.03,0.93,1.24,7.32,1.09,,
PTE 1689/04,2022-03-13 00:00:00,,,,30,,10,0.5,573.7,1.8,42.16,0.234,0.234,-,-,-,-,-,576.9,1.81,45.95,0.253,0.253,-,-,-,-,-,579,1.82,50.36,0.276,0.276,-,-,-,-,-,20.68,2.35,-,-,18.91,2.3,-,-,13.75,2.49,-,-,,,,,,,,,10,0.5,454.8,1.43,49.81,0.34,0.34,-,-,-,-,-,451.9,1.42,42.87,0.302,0.302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.67,0.26,-,-,31.30,0.46,-,-,-,-,-,-,,,,,,,,,Mr.JIrasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,41.67,2.35,31.3,2.3,13.75,2.49,,
PPD0225B01,2022-01-31 00:00:00,,33,33,33,75,10,0.5,252.5,0.79,19.63,0.2475,0.2475,554.2,1.75,95.75,0.547,0.547,249.1,0.78,18.71,0.2391,0.2391,577.8,1.82,78.65,0.4311,0.4311,252.7,0.79,20.02,0.2522,0.2522,549.6,1.74,87.54,0.4927,0.4927,0.20,0.00,0.00,0.00,0.04,0,0.02,0.00,0.08,0,0.14,0.00,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,,,0.2,0,0.04,0,0.14,0,,
PP0225B01,2022-01-31 00:00:00,,33,33,33,75,10,0.5,252.5,0.79,19.63,0.247,0.247,554.2,1.75,95.75,0.547,-,249.1,0.78,18.71,0.239,0.239,577.8,1.82,78.65,0.431,-,252.7,0.79,20.02,0.252,0.252,549.6,1.74,87.54,0.492,-,0.00,0.00,-,0.00,0,0,-,0.00,0,0,-,0.00,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0,0,0,0,0,0,,
PP0050B01,2022-01-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56016,2021-12-12 00:00:00,,26,38,38,69,,,189.2,0.57,0.014,0.246,0.246,,,,,,189,0.59,0.0133,0.225,0.225,,,,,,183.6,0.58,0.0129,0.22,0.22,,,,,,0.41,0.00,,,0,0,,,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Tanasak  Khunnam,Mr. Pitsanuvet  Khantee,"TIS Engineering and Service Co., Ltd",GPSC,TESTRANO600,DA212X / RA043X,2021-08-17 00:00:00,,0.41,0,0,0,0.9,0,,
EDP011601,2021-08-02 00:00:00,211028715,33,35,35,60,10,,304,0.95,28.82,0.3018,0.3833,,,,,,303.3,0.95,27.14,0.2849,0.3618,,,,,,303.6,0.95,27.16,0.2848,0.3617,,,,,,6.47,,,,0.5,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-18 00:00:00,,6.47,,0.5,,0.47,,,
EDP011601,2021-08-02 00:00:00,211028715,33,35,35,60,10,,304,0.95,28.82,0.3018,0.3833,,,,,,303.3,0.95,27.14,0.2849,0.3618,,,,,,303.6,0.95,27.16,0.2848,0.3617,,,,,,6.47,,,,0.5,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-18 00:00:00,,6.47,,0.5,,0.47,,,
512033,2021-07-21 00:00:00,211028412,32,32,32,60,10,,169.2,0.53,20.34,0.3827,0.421,,,,,,172.2,0.54,20.87,0.3857,0.43,,,,,,173.2,0.54,20.49,0.3766,0.4143,,,,,,0.24,1.05,,,0,1.6,,,1.36,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.24,1.05,0,1.6,1.36,1.59,,
4710349,2021-07-07 00:00:00,211023163,33,32,32,60,,,174.6,0.55,28.50,0.5195,0.5714,,,,,,176.3,0.55,26.36,0.4759,0.5235,,,,,,177.1,0.56,26.78,0.4814,0.5295,,,,,,16.61,1.36,,,9.06,0.96,,,8.06,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-18 00:00:00,,16.61,1.36,9.06,0.96,8.06,0.51,,
PTE 1689/01,2021-07-04 00:00:00,201022875,34,42,42,62,10,0.5,576.8,1.81,43.55,0.24,0.24,-,0.14,0.32,0.4,-,576.2,1.81,40.2,0.22,0.22,-,0.14,0.29,0.4,-,580.8,1.82,41.53,0.23,0.23,-,0.14,0.29,0.4,-,20.27,2.10,-,-,26.91,2.06,-,-,23.59,2.07,-,-,,,,,,,,,10,0.5,560.5,1.76,73.3,0.416,0.416,-,1.42,839.76,5.92,-,560.5,1.76,76.43,0.434,0.434,-,1.37,649.63,4.73,-,557.6,1.75,76.32,0.436,0.436,-,1.43,816.42,5.72,-,3.26,0.97,-,-,1.36,0.80,-,-,0.91,0.96,-,-,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,20.27,2.1,26.91,2.06,23.59,2.07,,
PTE 1689/01,2021-06-29 00:00:00,201023323,31,40,40,68,10,-,576.7,1.81,43.35,0.239,0.239,-,-,-,-,-,575.1,1.81,40.58,0.225,0.225,-,-,-,-,-,579.9,1.82,45.2,0.248,0.248,-,-,-,-,-,20.60,2.12,-,-,25.25,2.24,-,-,17.61,2.23,-,-,,,,,,,,,10,-,453.9,1.43,60.97,0.427,0.427,-,-,-,-,-,447.6,0.28,3.37,0.598,0.598,-,-,-,-,-,453.7,1.42,69.04,0.485,0.485,-,-,-,-,-,77.92,0.24,-,-,160.00,0.31,-,-,86.54,0.29,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,,77.92,2.12,160,2.24,86.54,2.23,,
PP0016B01,2021-02-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54002,2021-02-05 00:00:00,201007518,29,36,36,62,,,175.1,0.55,24.78,0.4505,0.4956,,,,,,173.7,0.55,22.34,0.4094,0.4503,,,,,,174.3,0.55,23.10,0.4219,0.4641,,,,,,0.08,0.06,,,0.07,0.74,,,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.08,0.06,0.07,0.74,0.02,0.4,,
54002,2021-02-05 00:00:00,201007518,32,32,32,61,,,175.1,0.550,24.780,0.4505,0.495,,,,,,173.7,0.550,22.340,0.40940,0.45,,,,,,174.3,0.550,23.100,0.42190,0.464,,,,,,23.90,0.06,,,12.57,0.74,,,16.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,23.9,0.06,12.57,0.74,16.02,0.4,,
615007,2020-12-06 00:00:00,-,30,36,36,62,,,261.1,0.82,21.03,0.2564,0.2948,-,0.06,0.1,-,-,261.2,0.82,20.13,0.2454,0.2822,-,0.04,4.82,-,-,259.7,0.82,20.1,0.2464,0.2833,-,0.06,0.1,-,-,17.92,0.38,-,-,8.54,0.84,-,-,2.31,0.65,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,17.92,0.38,8.54,0.84,2.31,0.65,,
PTE 1689/03,2020-11-11 00:00:00,201023345,28,30,30,57,10,0.5,576.1,1.81,46.74,0.258,0.294,-,0.14,0.41,0.605,-,575.4,1.81,49.95,0.276,0.315,,0.14,0.44,0.634,-,577.4,1.81,47.57,0.262,0.299,,0.11,0.81,0.66,-,1.38,2.72,-,-,1.87,2.46,-,,0.99,2.19,-,,,,,,,,,,10,0.5,432.9,1.36,43.37,0.319,0.319,-,15.44,455.55,0.295,-,431.7,1.36,41.15,0.303,0.303,-,16.17,425.13,0.263,-,431.7,1.36,56.18,0.314,0.314,-,16.34,428.69,0.262,-,13.93,0.39,-,-,4.48,0.54,-,-,6.44,0.44,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,,13.93,2.72,4.48,2.46,6.44,2.19,,
PTE 1689/03,2020-11-08 00:00:00,201023345,32,35,35,48,10,0.5,575.7,1.81,49.58,0.274,0.274,-,0.14,0.4,0.584,-,574.9,1.81,54.52,0.302,0.302,-,0.14,0.34,0.473,-,573.9,1.8,128.49,0.713,0.713,-,0.14,0.6,0.836,-,5.52,2.79,-,-,5.92,2.54,-,-,136.09,2.78,-,-,,,,,,,,,10,0.5,432.9,1.36,43.37,0.319,0.319,-,15.44,455.55,0.295,-,431.7,1.36,41.15,0.303,0.303,-,16.17,425.13,0.263,-,429.8,1.36,56.23,0.415,0.415,-,16.34,428.69,0.262,-,13.93,0.39,-,-,4.48,0.54,-,-,40.68,0.00,-,-,,,,,,,,,Mr.Jirasak Suksakun,Mr.Sittipong Kerdmanee,NHT/NRV,NHT/NRV,TESTRANO 600,DA193X,2018-02-18 00:00:00,Re-test for confirm HV bushing Phase C,13.93,2.79,5.92,2.54,136.09,2.78,,
9640549,2020-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTE 1689/02,2020-10-28 00:00:00,201022873,36,39,39,53,10,0.5,575.6,1.81,48.72,0.269,0.269,-,0.14,0.25,0.354,-,576.8,1.81,50.10,0.277,0.277,-,0.16,0.3,0.379,-,576.4,1.81,56.57,0.312,0.312,-,0.14,0.1,0.142,-,10.63,2.46,-,-,7.97,2.47,-,-,1.3,2.6,-,-,,,,,,,,,10,0.5,454,1.43,35.75,0.251,0.251,-,15.77,383.18,0.243,-,457.8,1.44,38.05,0.265,0.265,-,16.01,438.1,0.274,-,433.4,1.36,31.62,0.232,0.232,-,15.96,376.38,0.236,-,3.46,0.22,-,-,1.92,0.48,-,-,5.45,0.37,-,-,,,,,,,,,Mr.Jirasak S.,,NHT/NRV,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,10.63,2.46,7.97,2.47,5.45,2.6,,
508038,2020-10-08 00:00:00,,27,,,70,10,0.5,203.8,0.64,26.81,0.419,0.419,-,0.11,0.53,1.01,-,203.1,0.64,24.78,0.388,0.388,-,0.11,0.51,0.979,-,202.7,0.64,25.68,0.403,0.403,-,0.12,0.77,1.282,-,8.91,1.55,-,-,7.62,1.41,-,-,4.05,1.6,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,,NHT/NRV,,,,2018-02-16 00:00:00,,8.91,1.55,7.62,1.41,4.05,1.6,,
4710345,2020-08-20 00:00:00,191044989,,,,,10,0.5,176.5,0.55,22.88,0.4126,0.4745,430.1,0.07,0.19,0.5487,-,176.7,0.55,24.29,0.4376,0.5033,456.2,0.07,0.16,0.4565,-,175.8,0.55,25.33,0.4585,0.5272,432.6,0.07,0.18,0.5302,-,15.73,1.40,-,2.40,22.76,0.73,-,5.85,9.83,1.24,-,6.81,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,,,15.73,2.4,22.76,5.85,9.83,6.81,,
4912019,2020-05-01 00:00:00,,,34,34,,10,0.5,168.36,0.528,33,0.62,0.62,420.77,1322,138,0.88,-,170.48,0.535,42,0.79,0.79,417.81,1313,155,0.98,-,170.06,0.534,38,0.71,0.71,412.38,1296,180,0.8,-,44.19,2.12,-,7.07,79.55,1.46,-,2.40,65.12,1.13,-,5.47,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Pisit,Mr.Waranon,TIRATHAI PLC,GPSC,Doble M4100,,,,44.19,7.07,79.55,2.4,65.12,5.47,,
54001,2020-01-24 00:00:00,,36,36,36,55,,,305.65,0.9602,0.026,0.274,0.274,,,,,,304.23,0.9558,0.026,0.274,0.274,,,,,,304.66,0.9571,0.026,0.275,0.275,,,,,,11.61,1.08,,,11.61,1.22,,,11.29,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kongsak K.,,ABB,GPSC,,,,,11.61,1.08,11.61,1.22,11.29,1.4,,
510049,2019-08-31 00:00:00,191036006,32,31,31,61,10,-,643.9,2.02,84.74,0.4239,0.4832,-,-,-,-,-,643.2,2.02,80.68,0.3993,0.4552,-,-,-,-,-,641,2.01,82.54,0.4098,0.4672,-,-,-,-,-,34.22,1.84,-,-,30.06,1.8,-,-,33.49,1.84,-,-,,,,,,,,,10,-,303,0.95,34.41,0.3614,0.4120,-,-,-,-,-,298.6,0.94,33.72,0.3595,0.4098,-,-,-,-,-,301,0.95,37.52,0.3968,0.4523,-,-,-,-,-,28.75,1.30,-,-,28.06,1.13,-,-,45.90,0.99,-,-,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,34.22,1.84,30.06,1.8,45.9,1.84,,
4710347,2019-08-27 00:00:00,191045321,31,34,34,61,10,0.5,175.2,0.55,23.95,0.4352,0.5,-,-,-,-,-,166.4,0.52,19.17,0.367,0.422,-,-,-,-,-,174.8,25.88,0.471,0.542,0.47,-,-,-,-,-,8.70,1.02,-,-,5.5,1.54,-,-,0,0.68,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2019-02-16 00:00:00,,8.7,1.02,5.5,1.54,0,0.68,,
4710350,2019-07-09 00:00:00,-,32,37,37,60,10,0.5,175.6,0.55,33.63,0.6098,0.6707,-,0.07,0.13,0.3909,-,177.6,0.56,27.76,0.4975,0.5473,-,0.07,0.16,0.4536,-,176.7,0.56,30.26,0.5451,0.5997,-,0.08,0.2,0.4643,-,36.88,1.35,-,-,11.69,0.78,-,-,24.94,0.73,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,36.88,1.35,11.69,0.78,24.94,0.73,,
PTE 1689/04,2019-06-13 00:00:00,191028236,33,35,35,55,10,0.5,571.8,1.80,42.97,0.2392,0.295,-,-,-,-,-,572.7,1.80,45.59,0.2534,0.2914,-,-,-,-,-,577.2,1.81,50.66,0.2793,0.3212,-,-,-,-,-,0.00,2.67,-,-,6.6,3.01,-,-,0.37,2.8,-,-,,,,,,,,,10,0.5,452.7,1.42,40.19,0.2826,0.3250,5079.3,0.80,0.94,0.2343,0.2694,454,1.42,37.66,0.2660,0.3059,5192,0.87,1.13,0.0.2618,0.3011,-,-,-,-,-,-,-,-,-,-,35.42,0.72,12.25,2.56,33.00,0.00,25.46,0.00,-,-,-,-,,,,,,,,,Mr. Jirasak S.,Mr. Methee M.,CMT-GLOW,CMT-GLOW,TESTRANO 600,DA193X,2019-02-16 00:00:00,LV Bushing phase C can not open test tap and plan to replace next shutdown,35.42,2.67,33,3.01,0.37,2.8,,
PTE 1689/01,2019-06-12 00:00:00,191030987,34,36,35,63,10,0.5,575.5,1.81,40.37,0.233,0.233,-,2.88,81.01,0.232,-,574.6,1.8,44.43,0.247,0.247,-,2.86,94.61,0.331,-,577.4,1.81,42.08,0.232,0.232,-,2.86,91.88,0.321,-,22.59,2.33,-,-,17.94,2.33,-,-,22.92,2.65,-,-,,,,,,,,,10,0.5,453.3,1.42,36.02,0.254,0.254,-,15.99,378.71,0.237,-,446.2,1.4,34.46,0.246,0.246,-,15.94,378.03,0.237,-,452.2,1.42,41.06,0.289,0.289,-,13.58,318.45,0.234,-,5.83,0.37,-,-,6.96,0.62,-,-,11.15,0.62,-,-,,,,,,,,,Mr.Chaichaleom W.,Mr.Methee,TIS,GPSC,Testrano 600,DA212X,2019-04-19 00:00:00,,22.59,2.33,17.94,2.33,22.92,2.65,,
EDP008001,2019-03-14 00:00:00,191013282,34,35,35,65,10,0.5,301.3,0.95,31.55,0.3329,0.4028,-,-,-,-,-,302.3,0.95,25.63,0.2698,0.3265,-,-,-,-,-,303,0.95,20.34,0.2134,0.2582,-,-,-,-,-,11.89,0.89,-,-,9.31,0.89,-,-,28.28,0.98,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,11.89,0.89,9.31,0.89,28.28,0.98,,
EDP011601,2019-03-13 00:00:00,191013291,34,31,31,55,10,0.5,303.9,0.95,23.29,0.2439,0.3098,359.7,0.06,0.19,0.6758,0.6758,304,0.95,23.24,0.2324,0.3091,360.1,0.06,0.18,0.6321,0.6321,304,0.96,23.80,0.2492,0.3165,358.2,0.06,0.21,0.7242,0.7242,13.94,1.01,32.51,62.76,14.14,0.98,7.14,63.68,12.08,0.98,29.32,64.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GLOW-CMT,GLOW,TESTRANO600,DA193X,2019-02-16 00:00:00,,32.51,62.76,14.14,63.68,29.32,64.31,,
512033,2019-03-04 00:00:00,191011798,34,36,36,56,10,0.5,168.8,0.53,19.51,0.3680,0.4416,380.4,0.06,0.14,0.4072,-,173.3,0.54,22.51,0.4136,0.4963,380.4,0.06,0.12,0.4072,-,173.6,0.55,21.48,0.3939,0.4727,360.7,0.06,0.11,0.3906,-,5.14,1.29,-,0.37,15.42,0.97,-,5.37,12.55,1.36,-,7.67,,,,,,,,,-,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,5.14,1.29,15.42,5.37,12.55,7.67,,
PTE 1689/03,2018-11-03 00:00:00,181090405,37,35,35,54,10,0.5,577,1.81,45.07,0.2484,0.2484,-,0.23,0.38,0.3306,-,574.7,1.81,75.27,0.4165,0.4165,-,0.14,0.31,0.4295,-,574.9,1.81,47.46,0.2626,0.2626,-,0.15,0.23,0.3127,-,14.34,2.57,-,-,29.75,2.58,-,-,13.05,2.61,-,-,,,,,,,,,10,0.5,431.9,1.36,34.28,0.2524,0.2524,4911.2,0.78,0.95,0.2411,,430.7,1.35,34.87,0.2575,0.2575,5145.6,0.82,0.95,0.2306,,430.7,1.35,34.43,0.2542,0.2542,5196.8,0.83,0.97,0.2322,,9.86,0.16,,2.74,11.21,0.30,,2.72,13.83,0.21,,2.70,,,,,,,,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,14.34,2.74,29.75,2.72,13.83,2.7,,
PTE 1689/02,2018-10-24 00:00:00,,30,32,31,69,10,-,575.7,1.81,0.050,0.281,0.32,-,-,-,-,-,575.9,1.81,0.051,0.28,0.319,-,-,-,-,-,577.1,1.81,0.059,0.325,0.371,-,-,-,-,-,6.31,2.44,-,-,5.98,2.62,-,-,20.45,2.48,-,-,,,,,,,,,10,-,452.83,1.42,0.039,0.2788,0.318,-,-,-,-,-,457.25,1.44,0.043,0.3021,0.344,-,-,-,-,-,432.97,1.36,0.034,0.2516,0.287,-,-,-,-,-,22.31,0.48,-,-,32.31,0.60,-,-,30.45,0.47,-,-,,,,,,,,,Chaichaloem W.,Phimchart P.,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,TESTRANO600,,,Correction factor for RIP @32 C = 1.14,22.31,2.44,32.31,2.62,30.45,2.48,,
6012333,2018-10-01 00:00:00,,33,32,32,75,10,0.5,305.5,0.96,26,0.276,0.315,245,1.087,58,0.532,-,310.3,0.975,27,0.278,0.317,232,1.044,50,0.479,-,305.2,0.958,26,0.276,0.318,248,1.102,80,0.726,-,4.55,0.49,-,0.41,6.76,0.54,-,0.85,3.64,0.59,-,0.80,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,TIRATHAI,ENGIE GLOW,MEGGER TRAX-220,1800333,,,4.55,0.49,6.76,0.85,3.64,0.8,,
4710349,2018-09-04 00:00:00,181084881,30,33,33,68,10,,174,0.55,33.41,0.617,0.709,,,,,,175,0.55,42.79,0.787,0.905,,,,,,176,0.55,34.99,0.641,0.737,,,,,,44.69,1.69,,,88.54,1.69,,,50.41,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Pimchart P.,,Glow,,TESTRANO600,DA212X,2018-02-16 00:00:00,,44.69,1.69,88.54,1.69,50.41,1.12,,
EDP008001,2018-06-21 00:00:00,181071638,30,38,38,65,10,-,301.52,0.94749,32.39,0.3418,0.3931,-,-,-,-,-,302.91,0.95158,31.71,0.3333,0.3931,-,-,-,-,-,303.46,0.95334,34.98,0.3669,0.4219,-,-,-,-,-,9.19,0.82,-,-,9.19,0.69,-,-,17.19,0.83,-,-,,,,,,,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak Suksakun,,CMT-GLOW,,TESTRANO 600,DA193x,2018-02-16 00:00:00,,9.19,0.82,9.19,0.69,17.19,0.83,,
57001,2018-06-01 00:00:00,,35,36,36,60,10,,270,0.85,0.0352,0.3598,0.413,,,,,,270.6,0.85,0.0288,0.3391,0.39,,,,,,272,0.85,0.028,0.3279,0.3771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Methee Meechitti,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,TESTRANO600,DA212X,,,11.62,0.37,5.41,0.51,3.31,1.09,,
