SN&Phase,Serial_No,Parent_Serial_No,Status,Phase,Device,Local_Equipment_Code,Manufacturer,Manufacturer_Year,Model,Type,Insulation,kV,mA,Watts,Meas_PF_C1,Corr_Fact,Corr_PF,Capacitance_C1,Meas_PF_C2,Capacitance_C2,File_Upload
PTE 1689/03X1,85789,PTE 1689/03,Energized,X1,,,PASSONI VILLA,2013,PAO.115.550.800.1200,OIP,Porcelain,115,1200,,0.28,140,1092,431.2,,4780,1543738662-85789X1.jpg
PTE 1689/04X1,D4235,PTE 1689/04,Energized,X1,-,LV Bushing,HAEFELY TRENCH,1997,COTA115,OIP,Oil impregnated paper bushing,115,800,550,0.24,595,,456,0.24,5213,
T012006X1,268304,T012006,Energized,X1,,,ABB,2000,GOH 170/16,OIP,Porcelain,36,16000,,0.3,175,415,586,0.34,412,
T012023X1,265629,T012023,Energized,X1,-,-,ABB,2000,GOH 170/16,OIP,Porcelain,36,16000,80,0.23,,,585,0.33,409,
TP70279703X1,0916758,TP70279703,Energized,X1,,,TRENCH,,30HC212-300,OIP,Porcelein,,31500,95,0.46,,,5090,,,
20083122TIC003X2,1ZSC358707,20083122TIC003,Energized,X2,-,-,ABB,2008,GOH 170/16,OIP,OIP,36,,,0.31,175,760,574.9,,,
20083122TIC008X2,1ZSC358705,20083122TIC008,Energized,X2,-,-,ABB,2008,GOH 170/16,OIP,OIP,36,,,0.3,175,760,403.42,,,
510049X2,1ZSC371283,510049,Energized,X2,-,KT2A,ABB,2011,GSA123-OA/1600/0.3,RIP,-,170,1600,170,0.32,50,555,302,0.44,256,1568115038-preview.jpg
PTE 1689/01X2,EA20210776.2.1,PTE 1689/01,Energized,X2,,,MGC,2022,DTOI P550-115-R13-23-T1-BT1,RIP,Silicone Composite,115,1300,,0.46,130,2742,594,0.79,324,
PTE 1689/02X2,EA20220106.2.1,PTE 1689/02,Energized,X2,-,-,MOSER GLASER,2022,P550-115-R13-23-T1-BT1,RIP,Silicone composite,115,1300,,0.42,,,581,,330,
PTE 1689/03X2,85790,PTE 1689/03,Energized,X2,,,PASSONI VILLA,2013,PAO.115.550.800.1200,OIP,Porcelain,,1200,,0.29,140,1092,429.4,,5009.2,1543739388-85790X2.jpg
PTE 1689/04X2,D4236,PTE 1689/04,Energized,X2,-,LV Bushing,HAEFELY TRENCH,1997,COTA115,OIP,Oil impregnated paper bushing,115,800,550,0.23,595,,454,0.24,5192,
T012006X2,268302,T012006,Energized,X2,,,ABB,2000,GOH 170/16,OIP,Porcelain,36,16000,80,0.26,175,415,581,0.28,424,
T012023X2,265630,T012023,Energized,X2,-,-,ABB,2000,GOH 170/16,OIP,Porcelain,36,16000,80,0.23,,,589,0.4,410,
TP70279703X2,0916759,TP70279703,Energized,X2,,,TRENCH,2009,30HC212-300,OIP,Porcelain,,31500,95,0.4,,,4473,,,
20083122TIC003X3,1ZSC358708,20083122TIC003,Energized,X3,-,-,ABB,2008,GOH 170/16,OIP,OIP,36,,,0.32,175,760,571,,,
20083122TIC008X3,1ZSC358704,20083122TIC008,Energized,X3,-,-,ABB,2008,GOH 170/16,OIP,OIP,36,,,0.3,175,760,405.7,,,
510049X3,1ZSC371282,510049,Energized,X3,,KT2A,ABB,2011,GSA123-OA/1600/0.3,RIP,,170,1600,170,0.31,50,555,304,0.49,257,1568115047-preview.jpg
PTE 1689/01X3,EA20210776.3.1,PTE 1689/01,Energized,X3,,,MGC,2022,DTOI P550-115-R13-23-T1-BT1,RIP,Silicone Composite,115,1300,,0.46,130,2742,596,0.79,336,
PTE 1689/02X3,EA20220106.3.1,PTE 1689/02,Energized,X3,-,-,MOSER GLASER,2022,P550-115-R13-23-T1-BT1,RIP,Silicone composite,115,1300,,0.43,,,588,,353,
PTE 1689/03X3,85791,PTE 1689/03,Energized,X3,,,PASSONI VILLA,2013,PAO.115.550.800.1200,OIP,Porcelain,,1200,,0.295,140,1092,429.8,,5060,1543739584-85791X3.jpg
PTE 1689/04X3,D4237,PTE 1689/04,Energized,X3,-,LV Bushing,HAEFELY TRENCH,1997,COTA115,OIP,Oil impregnated paper bushing,115,800,550,0.23,595,,451,0.24,5192,
T012006X3,271163,T012006,Energized,X3,-,-,ABB,2000,GOH 170/16,OIP,Porcelain,36,16000,80,0.24,175,415,576,0.29,414,
T012023X3,265628,T012023,Energized,X3,-,-,ABB,2000,GOH 170/16,OIP,Porcelain,36,2500,80,0.23,,,585,0.35,414,
TP70279703X3,0916760,TP70279703,Energized,X3,,,TRENCH,2009,30HC212-300,OIP,Porcelain,,31500,95,0.39,,,4239,,,
