SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
6012333,8/3/2023,10000,14.894,17.539,21.059,,-,,-,5.305,6.232,7.419,-,-,14.653,17.368,20.845,-,-,0.03,0.05,0.04,-,-,0.09,0.03,0.26,-,-,0.02,0.05,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,8/27/2021,,,,,,0.26
6110201,4/24/2023,10000,67.866,86.446,104.073,,-,,-,44.32,57.716,70.801,-,-,68.911,87.461,104.938,-,-,0.2,0.52,0.07,-,-,0.73,1.26,1.14,-,-,1.34,0.53,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,8/27/2021,32,35,35,62,,1.34
6110202,8/19/2024,10000,12.224,14.546,17.808,-,-,-,-,5.252,6.239,7.712,-,-,12.657,15.135,18.41,-,-,1.87,3.9,4.75,-,-,5.04,3.98,10.17,-,-,5.48,8.11,2.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,1/15/2024,36,38,38,63,,10.17
6110203,4/25/2023,200,16.27,19.205,23.112,,-,,-,11.546,13.455,16.058,-,-,16.505,19.468,23.588,-,-,0,0.03,0.01,-,-,0.05,0.04,0.05,-,-,0.03,0.04,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Worapon J.,Mr.Sanan N.,TIS,GPSC,TESTRANO 600,DA212X,3/9/2023,32,34,33,70,,0.05
6110289,9/30/2018,200,0.529,0.581,0.652,,,,,0.392,0.427,0.469,,,0.516,0.567,0.632,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,Jaturawit B.,Komsan K.,TIRATHAI,GLOW-ENG,Megger TRAX-220,1800333,,32,32,,60,,0
6110289,8/3/2023,5000,-,11.13,-,,-,,-,-,4.36,-,-,-,-,11.83,-,-,-,-,1.18,-,-,-,-,9,-,-,-,-,7.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,8/27/2021,,,,,,9
615007,12/3/2016,200,,11.551,,,,,,,8.687,,,,,11.473,,,,,0,,,,,0,,,,,0,,,,200,67.5,49.26,66.81,,,,,,,,,,,,MR Anisit Sara,Mr.Chanin Sornbunthong,"TIS Engineering and Service co., ltd",ENGIE-GLOW,Vanguard / WRM-10,88700532,32016-12-01,34,45,45,47,,0
615007,12/3/2020,10000,-,42.78,-,,-,,-,-,30.65,-,-,-,-,43.44,-,-,-,-,0,-,-,-,-,0.01,-,-,-,-,0,-,,,-,-,-,-,-,-,-,-,-,-,,-,-,,191019509,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,2/16/2018,30,36,36,62,,0.01
6310535,1/7/2026,10000,46.8,59.64,77.92,-,-,-,-,31.3,40.48,53.96,-,-,47.36,60.08,78.33,-,-,1.74,1.08,1.19,-,-,0.97,1.2,1.81,-,-,0.77,0.13,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,10/2/2025,,,,,,1.81
6310537,11/26/2025,10000,43.57,55.16,71.73,,-,,-,32.08,40.9,53.86,-,-,44.8,56.09,72.59,-,-,1.33,0.29,1.03,-,-,0.25,2.25,1.62,-,-,1.82,0.16,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,CPC 100,,,,,,,,2.25
